Date,Open,High,Low,Close,Volume
2019-01-10,0.36167,0.5388,0.36167,0.5388,3553957
2019-01-11,0.5388,0.6421,0.43548,0.43548,3693049
2019-01-14,0.44286,0.48714,0.44286,0.45762,915691
2019-01-15,0.45762,0.5167,0.28048,0.28048,3830858
2019-01-16,0.28048,0.33214,0.28048,0.33214,1355278
2019-01-17,0.3469,0.39857,0.22881,0.22881,6299492
2019-01-18,0.22881,0.25833,0.22143,0.25095,1709288
2019-01-21,0.25833,0.2731,0.23619,0.2731,2643933
2019-01-22,0.28048,0.28048,0.16976,0.16976,10345486
2019-01-23,0.155,0.1919,0.14762,0.17714,3630206
2019-01-24,0.16976,0.18452,0.16238,0.16976,1927491
2019-01-25,0.17714,0.18452,0.1181,0.1181,11266071
2019-01-28,0.09595,0.1181,0.08119,0.09595,18416321
2019-01-29,0.09595,0.1181,0.09595,0.11071,8846422
2019-01-30,0.11071,0.13286,0.09595,0.10333,9786905
2019-01-31,0.09595,0.11071,0.09595,0.11071,4975572
2019-02-01,0.11071,0.1181,0.10333,0.11071,2160611
2019-02-04,0.1181,0.1181,0.10333,0.10333,537745
2019-02-05,0.10333,0.11071,0.09595,0.10333,1575875
2019-02-06,0.11071,0.11071,0.09595,0.10333,1175083
2019-02-07,0.10333,0.11071,0.09595,0.10333,1172804
2019-02-08,0.10333,0.11071,0.09595,0.10333,1394591
2019-02-11,0.10333,0.13286,0.10333,0.1181,3592282
2019-02-12,0.12548,0.12548,0.10333,0.1181,2641861
2019-02-13,0.11071,0.12548,0.10333,0.1181,1596081
2019-02-14,0.12548,0.14762,0.11071,0.14762,3920001
2019-02-15,0.14762,0.17714,0.14762,0.16976,5056078
2019-02-18,0.16976,0.18452,0.14024,0.14762,5583274
2019-02-19,0.155,0.16976,0.14762,0.16976,2533420
2019-02-20,0.16976,0.17714,0.14762,0.155,3179011
2019-02-21,0.155,0.19929,0.14762,0.1919,5152500
2019-02-22,0.1919,0.20667,0.17714,0.19929,4891687
2019-02-25,0.20667,0.20667,0.16976,0.17714,3669131
2019-02-26,0.17714,0.1919,0.16976,0.18452,1734222
2019-02-27,0.18452,0.1919,0.16976,0.17714,1256775
2019-02-28,0.16976,0.17714,0.16238,0.16238,1676404
2019-03-01,0.16238,0.16976,0.14762,0.155,1220221
2019-03-04,0.13987,0.14755,0.12917,0.14762,2009292
2019-03-05,0.14127,0.15419,0.14024,0.14762,263503
2019-03-06,0.15005,0.16976,0.15005,0.16238,947852
2019-03-07,0.16238,0.17242,0.155,0.16976,607380
2019-03-08,0.16976,0.16976,0.16312,0.16238,155507
2019-03-11,0.16902,0.16902,0.15574,0.16976,309582
2019-03-12,0.16755,0.1677,0.15721,0.16976,177107
2019-03-13,0.16238,0.16733,0.15205,0.155,451942
2019-03-14,0.14917,0.1581,0.14917,0.155,146974
2019-03-15,0.15751,0.15817,0.1502,0.155,524207
2019-03-18,0.15677,0.15766,0.14983,0.155,343376
2019-03-19,0.15589,0.17242,0.15315,0.16976,663593
2019-03-20,0.16976,0.19781,0.16976,0.1919,1551147
2019-03-21,0.18969,0.19692,0.17722,0.17714,416660
2019-03-22,0.16245,0.1764,0.15869,0.16238,784788
2019-04-01,0.17714,0.1919,0.16976,0.18452,699209
2019-04-02,0.18452,0.18785,0.16991,0.17714,912226
2019-04-03,0.17345,0.17899,0.16607,0.16976,355157
2019-04-04,0.17124,0.17419,0.1626,0.16976,339951
2019-04-05,0.16829,0.16925,0.16268,0.16238,163295
2019-04-08,0.17345,0.17345,0.14799,0.155,736290
2019-04-09,0.17,0.189,0.169,0.17,933741
2019-04-10,0.173,0.1738,0.1601,0.17,148145
2019-04-11,0.1739,0.1739,0.157,0.17,185653
2019-04-12,0.1658,0.1659,0.158,0.16,193904
2019-04-15,0.155,0.1578,0.1466,0.15,380232
2019-04-16,0.1525,0.1525,0.1452,0.15,174849
2019-04-17,0.1523,0.1523,0.1412,0.15,131961
2019-04-18,0.1476,0.1524,0.135,0.15,425987
2019-04-23,0.1519,0.1519,0.1411,0.15,33000
2019-04-24,0.145,0.1498,0.14,0.15,24244
2019-04-25,0.1524,0.1524,0.1373,0.15,13777
2019-04-26,0.138,0.145,0.1375,0.14,82309
2019-04-29,0.149,0.149,0.1325,0.13,267764
2019-04-30,0.1327,0.1328,0.1212,0.12,341123
2019-05-02,0.1249,0.1396,0.1249,0.14,124229
2019-05-06,0.1396,0.1414,0.1333,0.14,46854
2019-05-07,0.1418,0.142,0.136,0.14,76258
2019-05-08,0.128,0.138,0.1265,0.13,292924
2019-05-09,0.13,0.137,0.127,0.14,29228
2019-05-10,0.1345,0.1345,0.127,0.13,53199
2019-05-13,0.1324,0.1495,0.1324,0.15,179544
2019-05-14,0.15,0.16,0.1415,0.16,188516
