Date,Open,High,Low,Close,Volume
2010-01-04,7.3646,7.6301,7.0894,7.3057,7181
2010-01-05,7.3843,7.3843,7.1287,7.1287,6383
2010-01-06,7.3253,7.3253,7.0304,7.227,58890
2010-01-07,7.3253,7.3253,6.991,7.0697,5899
2010-01-08,7.2762,7.2762,6.991,7.2663,2077
2010-01-11,7.0402,7.227,7.0304,7.2172,15300
2010-01-12,7.227,7.227,7.0402,7.1975,3356
2010-01-13,7.1778,7.1778,7.0304,7.1778,1745
2010-01-14,7.0304,7.1778,7.0304,7.1778,1671
2010-01-15,7.1778,7.1778,7.0107,7.0402,2944
2010-01-18,7.0304,7.1483,6.9222,7.0894,13569
2010-01-19,7.1483,7.1483,7.0107,7.1287,55970
2010-01-20,7.1287,7.227,6.991,7.0697,5926
2010-01-21,7.0107,7.1582,7.0107,7.0304,3105
2010-01-22,6.991,7.0795,6.9419,6.9419,4871
2010-01-25,6.9419,6.9419,6.7059,6.7846,4144
2010-01-26,6.7157,6.9222,6.3912,6.9222,16316
2010-01-27,6.6371,7.1188,6.5191,7.0795,22021
2010-01-28,6.9419,7.1778,6.8927,7.0697,105116
2010-01-29,6.8706,7.0488,6.7914,7.0488,5136
2010-02-01,7.0304,7.0304,6.7846,6.8042,1913
2010-02-02,6.7944,6.873,6.7944,6.873,3394
2010-02-03,6.873,6.873,6.8337,6.873,2671
2010-02-04,6.873,6.873,6.5781,6.7649,25311
2010-02-05,6.6567,6.6567,6.1945,6.46,5592
2010-02-08,6.4698,6.6961,6.3027,6.3617,5161
2010-02-09,6.6371,6.6371,6.401,6.6076,2387
2010-02-10,6.7256,6.7256,6.4502,6.5978,4638
2010-02-11,6.5781,6.6764,6.4502,6.5683,1994
2010-02-12,6.5781,6.6666,6.46,6.5879,2099
2010-02-15,6.5879,6.7452,6.5093,6.6076,1981
2010-02-16,6.5879,6.6764,6.5388,6.6764,2379
2010-02-17,6.5486,6.7059,6.5486,6.7059,2217
2010-02-18,6.6371,6.7452,6.6371,6.7059,1049
2010-02-19,6.7354,6.7846,6.6371,6.7551,4530
2010-02-22,6.6469,6.7747,6.6371,6.7747,1346
2010-02-23,6.5879,6.7649,6.5781,6.5781,6190
2010-02-24,6.5584,6.7354,6.1945,6.4895,8788
2010-02-25,6.4895,6.5879,6.401,6.4305,6140
2010-02-26,6.5683,6.5683,6.4108,6.5388,182
2010-03-01,6.6371,6.6371,6.3814,6.5683,3828
2010-03-02,6.5683,6.5683,6.2929,6.5388,5595
2010-03-03,6.5584,6.5584,6.3617,6.5486,1721
2010-03-04,6.5584,6.6371,6.3912,6.6371,3898
2010-03-05,6.5879,7.1877,6.5781,7.0304,10493
2010-03-08,7.0795,7.1287,6.8337,7.1287,8599
2010-03-09,7.1778,7.1778,6.9615,7.1582,3141
2010-03-10,7.0304,7.227,6.9615,7.227,10594
2010-03-11,7.1385,7.2368,7.0992,7.109,6130
2010-03-12,7.227,7.522,7.0992,7.227,12923
2010-03-15,7.3253,7.3843,7.0795,7.3646,7463
2010-03-16,7.2762,7.345,7.2368,7.345,909
2010-03-17,7.345,7.3941,7.1877,7.3253,5284
2010-03-18,7.1778,7.3745,7.1778,7.2958,419
2010-03-19,7.1778,7.2958,7.1287,7.2958,671
2010-03-22,7.0992,7.2762,7.0992,7.2762,3315
2010-03-23,7.109,7.7678,7.109,7.5711,12838
2010-03-24,7.7874,7.7874,7.286,7.3843,5025
2010-03-25,7.3253,7.6596,7.3253,7.6498,4405
2010-03-26,7.7776,7.8661,7.6694,7.7284,12677
2010-03-29,7.7579,7.7579,7.404,7.5711,3609
2010-03-30,7.7678,7.7678,7.1188,7.1188,15267
2010-03-31,7.1379,7.5141,7.0389,7.1775,5544
2010-04-01,7.4531,7.4531,7.05,7.227,2302
2010-04-06,7.1778,7.2762,7.0894,7.1778,1909
2010-04-07,7.0992,7.1778,6.9615,7.0795,6271
2010-04-08,6.9812,6.9812,6.8534,6.932,7344
2010-04-09,6.932,7.1287,6.932,7.109,1603
2010-04-12,7.0795,7.109,6.9714,7.109,951
2010-04-13,7.2172,7.227,6.932,7.1188,1287
2010-04-14,7.1975,7.2172,7.0107,7.1483,2505
2010-04-15,7.0894,7.0894,6.991,7.0795,4916
2010-04-16,7.1287,7.1582,7.0009,7.1287,4885
2010-04-19,7.0009,7.05,6.7157,6.8632,9642
2010-04-20,6.8632,6.9222,6.7846,6.9124,9734
2010-04-21,6.932,7.0304,6.8436,7.0304,13067
2010-04-22,7.0402,7.1188,6.8829,7.109,9315
2010-04-23,6.9003,7.128,6.9003,7.128,7608
2010-04-26,7.0205,7.1287,7.0107,7.1287,6130
2010-04-27,7.1188,7.2073,7.05,7.2073,8355
2010-04-28,7.0795,7.3253,6.932,7.2762,14310
2010-04-29,7.3253,7.4236,7.1778,7.3941,17155
2010-04-30,7.3953,7.425,7.2369,7.2666,3957
2010-05-04,7.2663,7.2663,6.8239,7.1287,12791
2010-05-05,6.932,7.1975,6.932,7.0009,14956
2010-05-06,7.1188,7.1188,6.8632,7.109,4245
2010-05-07,6.9124,7.0599,6.8436,7.0009,20751
2010-05-10,6.9714,7.0304,6.8829,7.0304,9347
2010-05-11,7.0205,7.0205,6.8829,6.9812,1817
2010-05-12,7.0205,7.0205,6.8632,6.9812,1513
2010-05-13,7.0205,7.0205,6.8829,6.9517,1936
2010-05-14,6.9517,6.9812,6.8436,6.9812,1147
2010-05-17,6.8337,6.8927,6.8239,6.8829,52918
2010-05-18,6.8829,6.9714,6.8042,6.9714,6192
2010-05-19,6.9714,6.9714,6.6666,6.873,9994
2010-05-20,6.7846,6.8829,6.5093,6.6764,6157
2010-05-21,6.8337,6.8337,6.4994,6.8042,2283
2010-05-24,6.7846,6.7846,6.7846,6.7846,10
2010-05-25,6.7649,6.7649,6.5388,6.5781,1790
2010-05-26,6.5879,6.7846,6.5683,6.7747,3271
2010-05-27,6.7649,6.7649,6.5978,6.7649,546
2010-05-28,6.7649,6.7649,6.5879,6.7551,918
2010-05-31,6.7518,6.7518,6.5835,6.732,283
2010-06-01,6.5879,6.6862,6.5093,6.6862,501
2010-06-02,6.5093,6.7452,6.5093,6.6862,261
2010-06-04,6.7452,6.7452,6.4895,6.5879,2086
2010-06-07,6.5879,6.5879,6.1945,6.4403,3196
2010-06-08,6.6862,6.6862,6.2437,6.3814,1213
2010-06-09,6.2339,6.3617,6.2339,6.3617,4504
2010-06-10,6.2044,6.3617,6.2044,6.2929,1889
2010-06-11,6.342,6.3519,6.3125,6.3224,2279
2010-06-14,6.3322,6.3715,6.2929,6.3027,3598
2010-06-15,6.3027,6.342,6.1945,6.3224,1941
2010-06-16,6.3224,6.3224,5.9979,6.2732,6199
2010-06-17,6.2073,6.2766,6.1479,6.1974,2490
2010-06-18,6.2732,6.4403,6.1552,6.4305,9360
2010-06-21,6.3912,6.6666,6.3617,6.6666,5173
2010-06-22,6.6666,6.8337,6.5289,6.8239,15443
2010-06-23,6.6862,6.8829,6.4797,6.5486,21692
2010-06-24,6.7157,6.7157,6.4207,6.6272,1220
2010-06-25,6.5879,7.0304,6.4895,6.6862,25605
2010-06-28,6.5683,6.5683,6.3027,6.3027,11900
2010-06-29,6.3027,6.3912,6.2142,6.3912,10993
2010-06-30,6.3855,6.3855,6.2172,6.3459,12026
2010-07-01,6.3814,6.7846,6.3027,6.7551,15137
2010-07-02,6.7649,6.7747,6.6371,6.7747,2891
2010-07-05,6.6371,6.8239,6.6371,6.6862,3112
2010-07-06,6.6764,6.6862,6.4698,6.5879,2006
2010-07-07,6.4305,6.7059,6.4305,6.7059,2008
2010-07-08,6.7256,6.7256,6.5093,6.7256,1301
2010-07-09,6.7846,6.7846,6.7452,6.7452,2547
2010-07-12,6.732,6.732,6.5142,6.7122,791
2010-07-13,6.732,6.9003,6.5142,6.8904,18929
2010-07-14,6.8904,6.9993,6.7815,6.9894,5526
