Date,Open,High,Low,Close,Volume
2010-01-04,5.4644,5.7633,5.4644,5.7633,196
2010-01-05,5.8333,5.8398,5.7188,5.8398,445
2010-01-06,5.8398,5.8398,5.8398,5.8398,2
2010-01-07,5.8398,5.8398,5.5979,5.5979,181
2010-01-08,5.8398,5.8398,4.7329,4.7965,1951
2010-01-11,4.7329,4.7329,4.3066,4.7201,4474
2010-01-12,4.7201,4.7201,4.701,4.701,2
2010-01-13,4.701,5.5343,4.4275,4.701,1272
2010-01-14,4.6437,4.6437,4.5802,4.5802,319
2010-01-15,4.6119,4.6119,4.6056,4.6056,1196
2010-01-18,4.6119,4.6119,4.2431,4.5802,1126
2010-01-19,4.5484,4.5484,4.5484,4.5484,217
2010-01-20,4.5802,4.5802,4.5419,4.5419,601
2010-01-21,4.5484,5.0127,4.5484,4.93,663
2010-01-22,4.86,4.9173,4.86,4.9173,489
2010-01-25,5.0701,5.0954,4.7137,5.0954,468
2010-01-26,5.0954,5.0954,4.3066,4.3639,320
2010-01-29,4.3639,5.0445,4.3639,5.0445,2333
2010-02-01,4.86,4.86,4.8537,4.8537,18
2010-02-02,4.8537,4.8537,4.8537,4.8537,3
2010-02-03,4.8537,4.8537,4.2558,4.3383,1454
2010-02-04,4.2621,4.2621,4.2621,4.2621,486
2010-02-05,4.3639,4.3639,4.3639,4.3639,162
2010-02-08,4.7329,4.7329,4.7137,4.7137,2
2010-02-09,4.6947,4.6947,4.6374,4.6374,2
2010-02-10,4.6311,4.6311,4.5992,4.5992,2
2010-02-11,4.5992,4.5992,4.5929,4.5929,2
2010-02-12,4.5865,4.5865,4.5484,4.5484,2
2010-02-15,4.5484,4.5484,4.5484,4.5484,2
2010-02-16,4.5484,4.5484,4.4275,4.5166,560
2010-02-17,4.5166,4.5166,4.5166,4.5166,2
2010-02-18,4.5419,4.5419,4.4275,4.4275,2
2010-02-19,4.5419,4.5865,4.5419,4.5865,326
2010-02-22,4.4275,4.6628,4.2112,4.6628,624
2010-02-23,4.6628,4.6628,4.6564,4.6564,165
2010-02-24,4.6056,4.6056,4.6056,4.6056,2
2010-02-25,4.6564,4.6564,4.5992,4.5992,2
2010-02-26,4.6947,4.6947,4.6056,4.6056,327
2010-03-01,4.6056,4.6056,4.5674,4.5674,2
2010-03-02,4.6056,4.6056,4.5674,4.5674,2
2010-03-03,4.6056,4.6819,4.1794,4.6693,67
2010-03-04,4.5738,4.5738,4.5738,4.5738,2
2010-03-05,4.5738,4.5738,4.5674,4.5674,221
2010-03-08,4.5674,4.5674,4.5674,4.5674,2
2010-03-09,4.5802,4.5802,4.5611,4.5611,2
2010-03-10,4.4275,4.6056,4.4275,4.6056,215
2010-03-11,4.6819,4.6819,4.6819,4.6819,2
2010-03-12,4.6819,4.6819,4.1794,4.6819,492
2010-03-15,4.6819,4.6819,4.6819,4.6819,2
2010-03-16,4.6819,4.6819,4.6819,4.6819,2
2010-03-17,4.6819,4.6819,4.6819,4.6819,2
2010-03-18,4.6819,4.6819,4.6819,4.6819,2
2010-03-19,4.6819,4.6819,4.6819,4.6819,2
2010-03-22,4.6819,4.6819,4.6819,4.6819,2
2010-03-23,4.6819,4.6819,4.6819,4.6819,19
2010-03-24,4.6819,4.6819,4.6819,4.6819,2
2010-03-25,4.6819,4.6819,4.6374,4.6374,2
2010-03-26,4.6374,4.6374,4.6248,4.6248,2
2010-03-29,4.6119,4.6119,4.6119,4.6119,2
2010-03-30,4.3066,4.3066,4.3066,4.3066,169
2010-03-31,4.5738,4.5738,4.5738,4.5738,1
2010-04-01,4.5419,4.5419,4.5419,4.5419,1
2010-04-06,4.2558,4.5738,4.2558,4.5738,2
2010-04-07,4.5674,4.5674,4.5674,4.5674,1
2010-04-08,4.4275,4.4275,4.4275,4.4275,91
2010-04-09,4.3639,4.3639,4.3639,4.3639,181
2010-04-12,4.5484,4.5674,4.5484,4.5674,2
2010-04-13,4.5419,4.5674,4.5419,4.5674,2
2010-04-14,4.5674,4.5674,4.5674,4.5674,2
2010-04-15,4.5674,4.5674,4.5674,4.5674,2
2010-04-16,4.5992,4.5992,4.5992,4.5992,2
2010-04-19,4.5992,4.5992,4.5992,4.5992,2
2010-04-20,4.5992,4.5992,4.1222,4.3639,409
2010-04-21,4.6374,4.6374,4.6374,4.6374,2
2010-04-22,4.6374,4.6374,4.6374,4.6374,2
2010-04-23,4.6374,4.6374,4.5992,4.5992,2
2010-04-26,4.491,4.491,4.491,4.491,2
2010-04-27,4.6374,4.6756,4.6374,4.6756,2
2010-04-28,4.6756,4.6756,4.6756,4.6756,2
2010-04-29,4.6756,4.6756,4.6756,4.6756,2
2010-04-30,4.6756,4.6756,4.2431,4.2431,620
2010-05-04,4.2431,4.2431,4.2431,4.2431,929
2010-05-06,3.9949,4.6947,3.9949,4.6947,220
2010-05-07,4.6947,4.6947,4.6947,4.6947,2
2010-05-10,4.6947,4.6947,4.6756,4.6756,2
2010-05-11,4.6819,4.6819,4.6819,4.6819,2
2010-05-12,4.6819,4.6947,4.6819,4.6947,2
2010-05-13,4.6947,4.6947,4.6693,4.6693,2
2010-05-14,4.6693,4.6693,4.6693,4.6693,2
2010-05-17,4.6693,4.6693,4.6693,4.6693,2
2010-05-18,4.6693,4.6693,4.4593,4.6693,115
2010-05-19,4.6693,4.6693,4.6693,4.6693,2
2010-05-20,4.6693,4.6693,4.3066,4.6693,349
2010-05-21,4.6693,4.6693,4.6693,4.6693,2
2010-05-24,4.6693,4.6693,4.3003,4.3003,1351
2010-05-25,4.491,4.491,4.4783,4.4783,2
2010-05-26,4.4783,4.4783,4.4275,4.4275,2
2010-05-27,4.4275,4.4783,4.2431,4.4783,327
2010-05-28,4.472,4.472,4.4275,4.4275,2
2010-05-31,4.4275,4.4275,4.4275,4.4275,2
2010-06-01,4.4211,4.4211,4.4211,4.4211,2
2010-06-02,4.4211,4.4211,4.2431,4.4211,300
2010-06-04,4.4211,4.4211,4.4211,4.4211,2
2010-06-07,4.4211,4.4211,4.4146,4.4146,2
2010-06-08,4.4211,4.4211,4.4083,4.4083,2
2010-06-09,4.4146,4.4146,4.2431,4.4146,345
2010-06-10,4.4146,4.4146,4.4083,4.4083,2
2010-06-11,4.4083,4.4083,4.4083,4.4083,2
2010-06-14,4.5611,4.5611,4.5166,4.5166,2
2010-06-15,4.5166,4.5166,4.3258,4.5102,161
2010-06-16,4.5102,4.5102,4.5102,4.5102,2
2010-06-17,4.5102,4.5102,4.5102,4.5102,2
2010-06-18,4.5166,4.5166,4.5166,4.5166,2
2010-06-21,4.5166,4.5166,4.5166,4.5166,2
2010-06-22,4.5166,4.5166,4.5166,4.5166,2
2010-06-23,4.5166,4.5166,4.5166,4.5166,3
2010-06-24,4.491,4.491,4.453,4.453,2
2010-06-25,4.453,4.453,4.4402,4.4402,2
2010-06-28,4.5038,4.5038,4.3639,4.3639,217
2010-06-29,4.5166,4.5166,4.5166,4.5166,2
2010-06-30,4.5183,4.5183,4.5183,4.5183,2
2010-07-01,4.5166,4.5166,4.5166,4.5166,2
2010-07-02,4.5166,4.5166,4.5166,4.5166,2
2010-07-05,4.5166,4.5166,4.5166,4.5166,2
2010-07-06,4.5166,4.5166,4.5166,4.5166,2
2010-07-07,4.5166,4.5166,4.5038,4.5038,2
2010-07-08,4.5166,4.5166,4.5166,4.5166,2
2010-07-09,4.5166,4.5166,4.5166,4.5166,2
2010-07-12,4.5166,4.5166,4.5166,4.5166,2
2010-07-13,4.4847,4.4847,4.4847,4.4847,2
2010-07-14,4.4847,4.4847,4.2494,4.4847,606
2010-07-15,4.4847,4.4847,4.4847,4.4847,2
2010-07-16,4.4847,4.4847,4.1985,4.4847,319
2010-07-19,4.4847,4.5166,4.383,4.5166,550
2010-07-20,4.4975,5.2799,4.4975,4.4975,2322
2010-07-21,4.5102,4.5102,4.5102,4.5102,35
2010-07-27,4.5802,4.5802,4.5802,4.5802,2
2010-07-28,4.5802,4.5802,4.5802,4.5802,2
2010-07-29,4.5802,4.7709,4.1348,4.5674,386
2010-07-30,4.5674,4.5674,4.3258,4.5484,308
2010-08-02,4.5419,4.5419,4.5419,4.5419,77
2010-08-13,4.3575,4.3575,4.3575,4.3575,158
2010-08-16,4.453,4.453,4.453,4.453,1
2010-08-18,4.4466,4.4466,4.4466,4.4466,668
2010-08-19,4.4466,4.4466,4.2367,4.2367,1887
2010-08-26,4.4847,4.7073,4.4847,4.7073,258
2010-08-27,4.9618,4.9618,4.9618,4.9618,2
2010-08-30,5.2163,5.2163,4.1348,4.1411,1471
2010-08-31,4.2621,4.2621,4.2048,4.2048,318
2010-09-01,4.2048,4.2048,4.2048,4.2048,1
2010-09-02,4.2304,4.2304,4.0777,4.1094,669
2010-09-06,4.1094,4.1094,4.1094,4.1094,1
2010-09-08,4.3258,4.3575,4.3258,4.3575,329
2010-09-13,4.8028,4.8028,4.7645,4.7645,17
2010-09-14,4.7645,4.7645,4.7645,4.7645,2
2010-09-15,4.7645,4.7645,4.7645,4.7645,2
2010-09-16,4.8537,5.7253,4.8537,5.7253,1419
2010-09-17,5.7253,6.2341,5.7253,6.2341,881
2010-09-20,6.3613,6.3613,6.3613,6.3613,276
2010-09-21,5.7253,6.3613,5.7253,6.3613,329
2010-09-22,6.3485,6.3485,6.3485,6.3485,10
2010-09-23,6.3485,6.3485,6.3485,6.3485,2
2010-09-24,6.3613,6.3613,6.3613,6.3613,2
2010-09-27,6.3485,6.3485,5.7253,6.2341,710
2010-09-28,6.3613,6.3613,6.3613,6.3613,2
2010-09-29,6.3549,6.3549,5.7888,6.0433,347
2010-09-30,6.0433,6.0433,6.0433,6.0433,2
