Date,Open,High,Low,Close,Volume
2010-01-12,6.8435,6.8435,6.8435,6.8435,153
2010-01-13,7.459,7.459,7.459,7.459,1
2010-03-01,8.0812,8.0812,8.0812,8.0812,3
2010-04-06,4.3608,7.4651,4.3608,7.4651,2
2010-04-09,7.4651,7.4651,7.4651,7.4651,2
2010-05-06,8.0812,8.6471,8.0812,8.6471,126
2010-05-10,8.6471,8.6471,8.6471,8.6471,130
2010-05-13,8.6471,8.6471,8.0871,8.6471,73
2010-05-18,8.6471,9.642,8.6471,9.642,44
2010-05-19,9.642,9.642,9.642,9.642,297
2010-05-20,10.886,10.886,10.886,10.886,93
2010-05-24,9.704,12.131,7.4651,12.131,373
2010-06-07,9.642,9.642,9.642,9.642,30
2010-06-10,9.642,9.642,9.642,9.642,158
2010-06-22,10.886,10.886,10.886,10.886,2
2010-06-23,9.642,10.824,9.642,10.824,416
2010-06-25,9.954,9.954,9.954,9.954,165
2010-07-21,10.575,10.575,10.575,10.575,2
2010-08-12,9.891,9.954,9.891,9.954,218
2010-09-07,6.2208,6.2208,5.9098,5.9098,321
2010-09-08,8.0871,8.0871,8.0871,8.0871,5
2010-09-09,5.9098,5.9098,5.9098,5.9098,112
2010-09-10,5.661,6.2208,5.661,5.661,416
2010-09-16,8.2739,8.2739,5.7854,5.7854,318
2010-09-28,8.6471,8.6471,8.6471,8.6471,2
2010-09-30,5.8475,5.8475,5.8475,5.8475,269
2010-10-01,8.6471,8.6471,8.6471,8.6471,1
2010-10-20,8.9578,8.9578,7.4651,7.4651,240
2010-10-28,8.0871,8.0871,8.0871,8.0871,162
2010-11-09,8.7098,8.7098,8.7098,8.7098,174
2010-11-16,8.7216,8.7216,8.7216,8.7216,107
2010-11-17,8.7098,9.828,8.7098,9.828,386
2010-11-22,10.264,10.264,10.264,10.264,112
2010-11-23,11.135,12.131,11.135,12.131,565
2010-11-25,12.131,14.309,12.131,14.241,1156
2010-11-26,14.247,14.93,14.247,14.93,337
2010-11-29,15.241,16.796,15.241,16.796,571
2010-11-30,16.796,16.796,14.93,16.791,387
2010-12-01,16.796,17.419,16.796,17.108,258
2010-12-02,17.108,17.108,17.108,17.108,170
2010-12-03,16.796,16.796,16.796,16.796,39
2010-12-06,16.791,16.796,16.791,16.796,97
2010-12-07,16.783,16.796,16.783,16.796,256
2010-12-08,16.791,16.796,16.791,16.796,96
2010-12-10,16.174,17.724,16.174,17.724,920
2010-12-13,17.724,18.04,17.724,18.04,230
2010-12-15,17.885,17.885,16.796,17.885,439
2010-12-16,17.728,18.29,17.728,18.29,565
2010-12-17,18.04,18.04,17.728,17.978,254
2010-12-20,18.29,24.261,18.29,18.351,313
2010-12-21,18.04,18.29,15.347,16.032,3863
2010-12-22,15.546,17.954,13.778,15.534,3394
2010-12-23,14.93,15.864,12.441,12.441,6197
2010-12-27,12.69,12.69,11.323,11.323,1122
2010-12-28,11.011,11.011,9.3314,10.502,2842
2010-12-29,10.498,11.049,9.955,10.137,2042
2010-12-30,10.264,10.512,9.955,10.512,710
2010-12-31,10.498,10.7,10.498,10.7,112
2011-01-03,10.699,10.699,10.699,10.699,81
2011-01-04,10.706,10.706,9.954,10.451,480
2011-01-05,9.891,10.202,9.642,10.202,309
2011-01-07,10.078,10.078,9.954,9.954,105
2011-01-10,9.58,9.954,9.0205,9.4127,388
2011-01-11,9.4127,9.4127,8.5223,8.7098,1082
2011-01-12,8.7098,9.2072,8.7098,9.2072,311
2011-01-13,8.5223,8.5223,8.2739,8.3359,321
2011-01-14,8.827,8.827,8.827,8.827,32
2011-01-17,8.827,8.8334,8.2425,8.2425,163
2011-01-18,8.2739,8.585,8.2739,8.585,48
2011-01-19,8.585,8.7725,8.585,8.7725,51
2011-01-20,8.7725,8.7725,8.7098,8.7098,73
2011-01-21,8.7098,8.7098,8.7098,8.7098,96
2011-01-24,8.7098,8.7098,7.8383,7.901,564
2011-01-25,7.8383,9.3935,7.8383,9.3935,589
2011-01-26,9.3935,9.3935,9.3935,9.3935,5
2011-01-27,9.3935,9.3935,9.3935,9.3935,5
2011-01-28,9.3257,9.3257,9.3257,9.3257,5
2011-01-31,9.3916,9.3916,9.3916,9.3916,5
2011-02-01,9.362,9.362,7.9622,8.0871,493
2011-02-03,8.3986,8.3986,8.0871,8.3986,112
2011-02-07,8.3986,8.3986,8.3986,8.3986,21
2011-02-09,8.3924,8.3924,8.0251,8.0871,761
2011-02-10,8.0871,8.0871,8.0871,8.0871,89
2011-02-11,8.0871,8.149,7.9061,7.9127,393
2011-02-14,7.901,8.0871,7.901,8.0871,163
2011-02-15,8.0871,8.7026,7.714,8.5223,501
2011-02-16,8.0871,8.8334,8.0871,8.8334,112
2011-02-17,8.149,8.149,8.149,8.149,109
2011-02-18,8.0871,8.0871,7.5271,7.5271,506
2011-02-21,7.5332,8.7098,7.5332,8.3986,483
2011-02-22,8.2672,8.2672,7.7758,7.7758,135
2011-02-23,7.5271,8.896,7.5271,8.8833,1071
2011-02-24,8.8833,8.9897,8.3359,8.9897,845
2011-02-25,9.0205,10.078,9.0205,10.016,1368
2011-02-28,9.948,10.081,9.948,10.081,500
2011-03-01,10.202,10.202,9.0205,10.14,483
2011-03-02,10.202,10.202,9.3314,10.016,272
2011-03-07,9.642,10.202,8.9578,10.202,826
2011-03-08,9.954,10.575,8.4604,10.575,1278
2011-03-09,10.514,10.514,10.085,10.463,1994
2011-03-10,10.451,10.857,10.333,10.857,989
2011-03-14,10.886,11.011,10.886,11.011,36
2011-03-15,10.732,10.732,10.264,10.637,199
2011-03-16,10.637,11.011,10.637,11.011,23
2011-03-22,10.886,10.886,10.886,10.886,4
2011-03-23,9.704,9.954,8.7098,9.954,859
2011-03-24,9.642,9.642,9.642,9.642,17
2011-03-25,9.642,9.642,9.3935,9.3935,259
2011-03-28,9.3314,9.3314,8.4604,8.7725,386
2011-03-29,8.7643,8.7643,8.7643,8.7643,47
2011-03-30,8.4604,8.7725,8.4604,8.7725,87
2011-03-31,8.3986,8.7725,8.24,8.7725,258
2011-04-01,8.585,8.9578,8.3986,8.9578,288
2011-04-04,8.7098,9.0641,8.3986,8.7725,432
2011-04-05,8.7725,8.7725,8.3054,8.3054,197
