Date,Open,High,Low,Close,Volume
2011-12-21,0.25,0.26,0.17,0.17,333143
2011-12-22,0.2,0.2,0.16,0.17,51747
2011-12-23,0.15,0.15,0.12,0.12,47553
2011-12-27,0.12,0.16,0.1,0.15,368308
2011-12-28,0.15,0.21,0.12,0.15,122579
2011-12-29,0.16,0.2,0.15,0.2,69558
2011-12-30,0.22,0.25,0.18,0.25,102382
2012-01-02,0.23,0.23,0.2,0.22,18850
2012-01-03,0.22,0.24,0.22,0.24,11000
2012-01-05,0.21,0.21,0.21,0.21,2000
2012-01-09,0.21,0.21,0.18,0.21,4601
2012-01-12,0.18,0.21,0.18,0.21,26150
2012-01-18,0.18,0.19,0.17,0.18,52830
2012-01-20,0.16,0.16,0.16,0.16,2000
2012-01-25,0.16,0.18,0.16,0.17,14500
2012-01-31,0.17,0.17,0.16,0.16,20501
2012-02-03,0.16,0.16,0.16,0.16,1300
2012-02-06,0.18,0.18,0.18,0.18,1000
2012-02-09,0.17,0.17,0.15,0.15,5050
2012-02-10,0.18,0.18,0.18,0.18,800
2012-02-20,0.17,0.2,0.17,0.2,18383
2012-03-01,0.19,0.19,0.19,0.19,500
2012-03-02,0.19,0.19,0.19,0.19,385
2012-03-05,0.19,0.19,0.19,0.19,100
2012-03-06,0.17,0.17,0.17,0.17,5000
2012-03-19,0.17,0.17,0.17,0.17,5000
2012-03-21,0.16,0.16,0.15,0.16,37550
2012-03-22,0.16,0.16,0.16,0.16,7450
2012-03-28,0.17,0.17,0.17,0.17,1000
2012-04-10,0.14,0.14,0.14,0.14,38000
2012-04-13,0.14,0.14,0.14,0.14,1
2012-04-17,0.15,0.15,0.15,0.15,1008
2012-04-27,0.14,0.14,0.14,0.14,2800
2012-05-24,0.12,0.12,0.12,0.12,5000
2012-05-25,0.12,0.12,0.12,0.12,5000
2012-06-04,0.12,0.16,0.12,0.16,91991
2012-06-05,0.17,0.17,0.14,0.16,12501
2012-06-08,0.12,0.13,0.11,0.13,24950
2012-06-12,0.14,0.14,0.11,0.11,1985
2012-06-22,0.13,0.13,0.13,0.13,1980
2012-06-26,0.14,0.15,0.14,0.15,7012
2012-06-28,0.15,0.15,0.15,0.15,101
2012-07-13,0.15,0.17,0.15,0.17,22899
2012-07-19,0.16,0.16,0.16,0.16,100
2012-07-31,0.13,0.13,0.11,0.11,24300
2012-08-01,0.13,0.13,0.13,0.13,1000
2012-08-02,0.15,0.15,0.15,0.15,1000
2012-08-29,0.1,0.1,0.1,0.1,230
2012-09-25,0.1,0.1,0.1,0.1,19642
2012-10-18,0.12,0.12,0.12,0.12,3500
2012-10-22,0.1,0.13,0.1,0.13,3591
2012-10-31,0.13,0.13,0.13,0.13,10
2012-11-09,0.13,0.13,0.13,0.13,6490
2012-11-12,0.14,0.14,0.14,0.14,800
2012-12-13,0.14,0.14,0.14,0.14,50
2012-12-14,0.14,0.14,0.14,0.14,700
2013-02-01,0.09,0.09,0.09,0.09,10050
2013-02-11,0.1,0.1,0.1,0.1,9999
2013-02-14,0.1,0.1,0.09,0.09,2600
2013-03-11,0.12,0.12,0.12,0.12,100
2013-03-12,0.12,0.12,0.12,0.12,11900
2013-03-13,0.14,0.14,0.14,0.14,1016
2013-05-27,0.13,0.13,0.13,0.13,3570
2013-06-11,0.09,0.09,0.09,0.09,3570
2013-06-14,0.11,0.11,0.11,0.11,3500
2013-06-24,0.13,0.13,0.13,0.13,1000
2013-06-25,0.09,0.09,0.09,0.09,2000
2013-07-09,0.12,0.12,0.12,0.12,1000
2013-07-15,0.12,0.13,0.12,0.13,2000
2013-08-06,0.13,0.13,0.13,0.13,2200
2013-08-08,0.15,0.15,0.15,0.15,1000
2013-08-12,0.14,0.14,0.14,0.14,1000
2013-09-03,0.14,0.14,0.14,0.14,200
2013-09-30,0.12,0.12,0.12,0.12,5000
2013-11-12,0.1,0.1,0.1,0.1,5000
2013-11-14,0.12,0.12,0.12,0.12,5000
2013-11-15,0.14,0.16,0.14,0.16,13000
2013-12-10,0.12,0.12,0.12,0.12,6000
2013-12-17,0.11,0.11,0.11,0.11,5000
2013-12-19,0.12,0.13,0.12,0.13,5000
2013-12-30,0.11,0.11,0.11,0.11,1000
2014-01-02,0.11,0.11,0.11,0.11,10000
2014-01-22,0.11,0.11,0.11,0.11,1000
2014-01-24,0.11,0.11,0.11,0.11,4000
2014-01-31,0.11,0.11,0.11,0.11,5000
2014-03-21,0.11,0.11,0.11,0.11,300
2014-04-01,0.1,0.12,0.1,0.12,10400
2014-04-04,0.11,0.11,0.11,0.11,1000
2014-04-09,0.11,0.11,0.11,0.11,4000
2014-04-25,0.11,0.12,0.11,0.12,6000
2014-05-14,0.1,0.1,0.1,0.1,3700
2014-05-20,0.1,0.1,0.1,0.1,300
2014-05-28,0.1,0.1,0.1,0.1,1000
2014-06-03,0.1,0.11,0.1,0.11,6000
2014-06-09,0.11,0.11,0.11,0.11,1000
2014-06-25,0.11,0.11,0.11,0.11,4000
2014-06-26,0.12,0.12,0.1,0.1,11000
2014-07-04,0.09,0.09,0.09,0.09,152060
2014-07-30,0.1,0.1,0.1,0.1,1500
2014-11-24,0.08,0.08,0.08,0.08,16250
2015-01-07,0.06,0.06,0.06,0.06,8334
2015-01-08,0.06,0.06,0.06,0.06,91
2015-01-26,0.08,0.08,0.08,0.08,6000
2015-01-28,0.09,0.09,0.09,0.09,1000
2015-02-11,0.08,0.08,0.08,0.08,3000
2015-02-20,0.08,0.08,0.08,0.08,1000
2015-03-04,0.09,0.09,0.09,0.09,1100
2015-10-12,0.08,0.08,0.08,0.08,1
2015-10-14,0.09,0.09,0.09,0.09,900
2015-11-16,0.08,0.08,0.08,0.08,99
2015-11-18,0.07,0.07,0.07,0.07,3901
2015-11-19,0.07,0.07,0.07,0.07,7143
2015-12-17,0.07,0.07,0.07,0.07,27
2015-12-18,0.07,0.07,0.07,0.07,13223
2015-12-21,0.07,0.07,0.07,0.07,225000
2016-02-09,0.08,0.08,0.08,0.08,1000
2016-02-11,0.09,0.09,0.09,0.09,1000
2016-02-17,0.09,0.09,0.09,0.09,1000
2016-02-18,0.11,0.11,0.11,0.11,1000
2016-02-19,0.11,0.11,0.11,0.11,50
2016-03-09,0.11,0.11,0.11,0.11,370
2017-01-11,0.11,0.11,0.11,0.11,1000
2017-02-09,0.11,0.11,0.11,0.11,1877
2017-02-10,0.11,0.14,0.11,0.14,8180
2017-02-13,0.16,0.16,0.16,0.16,1000
2017-02-14,0.16,0.16,0.16,0.16,500
2017-02-24,0.13,0.13,0.13,0.13,100
2017-03-01,0.12,0.12,0.1,0.11,88940
2017-03-02,0.1,0.13,0.1,0.13,65564
2017-03-03,0.13,0.18,0.13,0.18,21799
