Date,Open,High,Low,Close,Volume
2017-07-12,2.4879,3.6558,2.4879,3.5609,492441
2017-07-13,3.6843,5.2986,3.6653,5.2986,1166211
2017-07-14,5.9822,6.552,4.387,5.0707,777715
2017-07-17,5.1276,5.308,4.5674,4.8428,281019
2017-07-18,4.7953,5.0232,4.5674,4.6054,109130
2017-07-19,4.6054,4.7288,3.6843,3.8267,270708
2017-07-20,3.9027,4.5104,3.4184,4.5009,156434
2017-07-21,4.7573,4.9852,4.5104,4.6054,171733
2017-07-24,4.4914,4.6529,4.1781,4.2445,48579
2017-07-25,4.2255,4.5579,3.9597,4.273,73555
2017-07-26,4.273,4.273,3.9977,4.0071,17599
2017-07-27,4.0071,4.0166,3.6843,3.7033,62524
2017-07-28,3.6178,3.7888,3.5134,3.6558,44378
2017-07-31,3.7603,4.5104,3.6368,4.1306,136065
2017-08-01,4.5009,4.5009,4.0641,4.1876,47438
2017-08-02,4.2635,4.2635,3.8552,3.9407,39911
2017-08-03,4.0356,4.425,3.8932,4.1781,37663
2017-08-04,4.3395,4.5199,4.0831,4.1971,72075
2017-08-07,4.273,4.2825,4.0166,4.1591,14060
2017-08-08,4.1591,4.235,3.9882,4.1781,28498
2017-08-09,4.1686,4.1686,3.9882,4.1306,7648
2017-08-10,4.1306,4.1306,4.0166,4.1116,5121
2017-08-11,4.1021,4.3205,4.0831,4.2635,35131
2017-08-14,4.3395,4.3395,3.9882,4.0166,31759
2017-08-16,3.9407,4.1021,3.8932,3.9122,11795
2017-08-17,3.8932,4.1211,3.7128,3.9882,26448
2017-08-18,4.0166,4.0166,3.8647,3.9692,3756
2017-08-21,3.9217,4.0071,3.8172,3.9882,9983
2017-08-22,3.8742,3.9407,3.7888,3.8647,13959
2017-08-23,3.8457,3.9502,3.7982,3.8172,20505
2017-08-24,3.9027,3.9027,3.7982,3.8552,5433
2017-08-25,3.8552,3.8932,3.8552,3.8932,3503
2017-08-28,3.8077,3.8932,3.7603,3.8932,8702
2017-08-29,3.8932,3.9122,3.8172,3.8647,4466
2017-08-30,3.8172,3.9217,3.7223,3.7603,3574
2017-08-31,3.7603,3.8932,3.7508,3.7603,19372
2017-09-01,3.8837,3.9027,3.7698,3.8362,4010
2017-09-04,3.8172,4.4155,3.8077,4.368,68316
2017-09-05,4.406,4.4155,4.0926,4.3965,23377
2017-09-06,4.2825,4.406,3.8552,3.9787,41377
2017-09-07,3.9787,4.2255,3.9787,3.9977,11620
2017-09-08,4.0831,4.1971,3.9122,4.0736,9002
2017-09-11,4.1781,4.4155,4.0831,4.368,24330
2017-09-12,4.4155,4.4345,4.1781,4.1876,16705
2017-09-13,4.1971,4.3965,4.1306,4.3585,4547
2017-09-14,4.273,4.4914,4.273,4.4914,48875
2017-09-15,4.5009,4.5484,4.273,4.5484,32198
