Date,Open,High,Low,Close,Volume
2011-06-14,5.9978,5.9978,3.9774,4.2894,27534
2011-06-15,4.7183,4.8745,4.3674,4.3674,6060
2011-06-16,4.4843,5.0694,4.4843,5.0694,4749
2011-06-17,5.0694,5.0694,4.4649,4.4649,2101
2011-06-20,4.4649,4.6675,4.4494,4.6675,1078
2011-06-21,4.6597,4.6597,4.4494,4.4494,2615
2011-06-22,4.4766,4.9913,4.4766,4.9913,1623
2011-06-28,4.6795,5.4552,4.6795,4.9132,2162
2011-06-29,4.9526,4.9526,4.9526,4.9526,512
2011-07-01,4.9756,4.9756,4.9716,4.9716,743
2011-07-04,5.0302,5.6541,4.9716,5.6467,4563
2011-07-05,4.9913,5.4983,4.9913,5.4983,3688
2011-07-06,5.3033,5.3033,5.3033,5.3033,257
2011-07-08,5.0694,5.0694,5.0694,5.0694,245
2011-07-13,5.1864,5.1864,5.0694,5.0694,783
2011-07-22,5.1475,5.1475,5.1475,5.1475,130
2011-07-27,5.0657,5.6153,5.0657,5.6153,1987
2011-07-28,5.6153,5.6153,5.6153,5.6153,1068
2011-07-29,5.4633,5.4633,5.4633,5.4633,130
2011-08-01,5.6196,6.3053,5.6196,6.2934,4245
2011-08-02,5.6541,5.6541,5.6541,5.6541,130
2011-08-03,5.6153,6.2396,5.0731,6.2396,687
2011-08-04,5.6584,6.2396,5.6541,6.2396,2298
2011-08-05,5.4596,5.4596,5.4596,5.4596,1538
2011-08-08,5.4596,6.2396,5.4596,5.4596,991
2011-08-09,5.4596,5.849,5.4596,5.849,1919
2011-08-10,5.1901,5.1901,5.1901,5.1901,130
2011-08-11,5.4478,5.4516,5.4478,5.4516,132
2011-08-17,5.2645,5.2645,5.2645,5.2645,93
2011-08-18,5.4478,5.849,5.1475,5.4596,2128
2011-08-19,5.2294,5.849,5.2252,5.849,969
2011-08-24,5.4596,6.3053,5.4596,6.2396,6692
2011-08-25,5.4596,5.4596,5.4596,5.4596,130
2011-08-29,5.4596,5.849,5.4596,5.4596,743
2011-09-01,5.4208,5.6541,5.4208,5.6541,155
2011-09-02,5.2645,5.2645,5.2645,5.2645,130
2011-09-05,5.2645,5.849,5.2645,5.272,1412
2011-09-06,5.3814,5.6541,5.3814,5.6541,566
2011-09-08,5.0694,5.0694,5.0694,5.0694,130
2011-09-09,5.0694,5.6541,5.0694,5.6541,306
2011-09-14,5.2645,5.6153,5.2645,5.2645,665
2011-09-15,5.2645,5.849,5.2645,5.849,437
2011-09-19,5.2645,5.2645,5.2645,5.2645,130
2011-09-20,5.2645,5.849,5.2645,5.849,155
2011-09-21,5.2645,5.2645,5.2645,5.2645,130
2011-09-23,5.0694,5.2645,5.0694,5.2645,155
2011-09-26,5.2645,5.849,5.2645,5.4596,1257
2011-10-03,5.6541,5.849,5.6541,5.849,848
2011-10-04,6.4302,6.4302,6.4302,6.4302,50
2011-10-05,6.2396,6.3949,5.849,6.3949,948
2011-10-06,5.8102,5.8102,5.8102,5.8102,75
2011-10-07,5.467,5.467,5.4633,5.4633,766
2011-10-10,5.4596,5.4596,5.4596,5.4596,130
2011-10-11,5.2682,5.2682,5.2682,5.2682,456
2011-10-13,5.2645,5.2645,5.2645,5.2645,130
2011-10-20,5.0731,5.0731,5.0694,5.0694,642
2011-10-24,4.8745,4.8745,4.6795,4.6795,385
2011-10-25,4.8745,4.8745,4.6795,4.6795,1412
2011-10-31,5.4516,5.4516,5.4516,5.4516,75
2011-11-09,4.6795,4.6795,4.6795,4.6795,42
2011-11-10,4.6795,4.8706,4.6795,4.8706,385
2011-11-14,4.8706,4.8745,4.8706,4.8745,487
2011-11-15,4.8745,4.8745,4.8745,4.8745,257
2011-11-16,4.8745,5.0694,4.8745,5.0694,155
2011-11-21,5.0694,5.0694,5.0694,5.0694,130
2011-11-22,5.0694,5.0694,5.0694,5.0694,320
2011-11-25,5.0694,5.0694,5.0694,5.0694,385
2011-11-29,5.0694,5.6504,5.0694,5.6504,969
2011-12-01,5.6073,5.6073,5.4596,5.4596,385
2011-12-02,5.5723,5.5723,5.5723,5.5723,257
2011-12-05,5.849,6.5593,5.849,6.5593,437
2011-12-06,5.849,6.5593,5.6541,5.6541,1104
2011-12-07,5.8454,5.8454,5.8454,5.8454,2
2011-12-14,5.0694,5.0694,5.0694,5.0694,1282
2011-12-19,4.6872,4.7575,4.6872,4.7575,320
2011-12-20,4.7575,5.2645,4.7575,5.2645,301
2011-12-23,5.2565,5.2645,5.2565,5.2645,303
2011-12-28,4.6833,4.6833,4.6795,4.6795,465
2011-12-29,5.3814,5.3814,5.3814,5.3814,93
2012-01-03,5.4596,5.4596,5.4596,5.4596,67
2012-02-16,5.377,5.377,4.6795,4.6795,1872
2012-02-17,4.8745,5.206,4.6795,4.6795,1564
2012-03-12,5.0694,5.0694,5.0694,5.0694,512
2012-03-29,5.0694,5.2645,5.0694,5.2645,2358
2012-04-03,5.3814,5.3814,5.3033,5.3033,850
2012-04-04,5.4596,5.4983,5.4596,5.4983,2525
2012-04-05,5.5329,5.576,5.4983,5.576,944
2012-04-10,5.576,6.5552,5.576,6.0443,3112
2012-04-11,5.849,5.8878,5.8102,5.8878,2444
2012-04-12,5.6153,5.6153,5.6153,5.6153,933
2012-04-13,5.9105,5.9105,5.9105,5.9105,590
2012-04-17,5.9882,5.9882,5.849,5.849,2306
2012-04-18,5.8531,5.8531,5.8531,5.8531,1538
2012-04-20,5.9661,6.1226,5.9661,6.1226,566
2012-04-23,5.9661,5.9661,5.849,5.849,465
2012-04-24,5.6632,5.849,5.6632,5.849,3748
2012-04-25,5.9786,5.9786,5.5462,5.5462,1310
2012-04-30,5.5462,5.9315,5.5462,5.9315,1729
2012-05-08,5.9274,5.9274,5.9274,5.9274,332
2012-05-10,5.9274,5.9274,5.849,5.849,940
2012-05-11,5.6328,5.6328,5.6328,5.6328,348
2012-05-14,5.1991,5.1991,5.1991,5.1991,34
2012-05-16,5.6285,5.6285,5.6285,5.6285,172
2012-05-21,5.6285,6.0657,5.6285,5.6328,1186
2012-05-22,5.4159,5.4596,5.4159,5.4596,900
2012-05-23,5.3294,5.3294,5.3294,5.3294,461
2012-05-24,4.8961,4.8961,4.8961,4.8961,461
2012-05-25,4.7662,4.7662,4.7662,4.7662,461
2012-05-28,5.1991,5.1991,5.1991,5.1991,461
2012-05-29,5.1991,5.1991,5.1991,5.1991,367
2012-05-30,5.1948,5.1991,5.1948,5.1991,1753
2012-06-05,4.9827,4.9827,4.9827,4.9827,22
2012-06-06,4.8529,4.8529,4.8529,4.8529,28
2012-06-08,4.8529,4.8529,4.4627,4.4627,227
2012-06-18,5.0694,5.0694,5.0694,5.0694,60
2012-06-19,5.0694,5.1125,5.0694,5.1125,1393
2012-06-20,5.6242,5.6242,5.6242,5.6242,52
2012-07-04,5.5893,5.6328,5.5893,5.6328,310
2012-07-05,5.8669,6.0657,5.8669,6.0657,922
2012-07-09,6.0657,6.0657,6.0657,6.0657,119
2012-07-11,6.0443,6.0443,6.0443,6.0443,41
2012-07-13,5.8447,5.8447,5.5462,5.5462,291
2012-07-19,5.8447,5.8447,5.8447,5.8447,62
2012-07-27,5.849,5.849,5.849,5.849,28
2012-08-06,5.8191,5.8191,5.8191,5.8191,42
2012-08-21,5.425,5.4292,5.425,5.4292,697
2012-08-30,5.4596,5.4596,5.4596,5.4596,461
2012-08-31,5.2427,5.2427,5.2427,5.2427,160
2012-09-03,5.8191,5.8191,5.8191,5.8191,108
2012-09-04,5.9619,5.9619,5.9619,5.9619,117
2012-09-05,5.9786,5.9786,5.9786,5.9786,22
2012-09-06,5.9786,5.9786,5.9786,5.9786,22
2012-09-07,5.9786,5.9786,5.9786,5.9786,13
2012-09-10,5.6632,5.6632,5.6632,5.6632,265
2012-09-12,5.6328,5.6328,5.6328,5.6328,22
2012-09-13,5.6328,5.6328,5.6328,5.6328,13
2012-09-14,5.7277,5.7277,5.7277,5.7277,82
2012-09-18,5.7277,5.7277,5.7277,5.7277,264
2012-09-24,6.0138,6.0138,6.0138,6.0138,160
2012-09-25,6.0138,6.0138,6.0138,6.0138,22
2012-09-26,6.0181,6.0181,6.0054,6.0054,255
2012-09-27,6.0181,6.0181,6.0181,6.0181,13
2012-09-28,6.0181,6.0181,6.0181,6.0181,13
2012-10-01,5.6456,5.6456,5.6456,5.6456,424
2012-10-02,5.7755,5.7755,5.7755,5.7755,117
2012-10-03,6.0181,6.0181,6.0181,6.0181,13
2012-10-04,5.7623,5.7623,5.7623,5.7623,13
2012-10-05,5.5069,5.5244,5.5026,5.5244,663
2012-10-11,5.4159,5.4159,5.4159,5.4159,13
2012-10-12,5.4159,5.4159,5.3511,5.3511,385
2012-11-05,5.3985,5.3985,5.3985,5.3985,13
2012-11-07,5.4027,5.4027,5.4027,5.4027,39
2012-11-08,5.3985,5.3985,5.3985,5.3985,22
2012-11-12,5.4027,5.4027,5.4027,5.4027,279
2012-11-13,5.1991,5.1991,5.1991,5.1991,289
2012-11-14,5.3985,5.4027,5.3985,5.4027,289
2012-11-15,5.3942,5.3942,5.3942,5.3942,22
2012-11-16,5.3985,5.3985,5.3985,5.3985,22
2012-11-19,5.3985,5.3985,5.3985,5.3985,19
2012-11-20,5.3985,5.3985,5.3985,5.3985,22
2012-11-21,5.3985,5.3985,5.3985,5.3985,13
2012-11-22,5.3985,5.3985,5.3985,5.3985,13
2012-11-23,5.3985,5.3985,5.3985,5.3985,22
2012-11-26,5.3985,5.3985,5.3985,5.3985,13
2012-11-27,5.3985,5.3985,5.3985,5.3985,13
2012-11-29,5.2427,5.2427,5.2427,5.2427,22
2012-12-11,5.3985,5.3985,5.3985,5.3985,22
2012-12-12,5.3985,5.3985,5.3985,5.3985,22
2012-12-13,5.3985,5.3985,5.3985,5.3985,13
2012-12-14,5.0258,5.1125,5.0258,5.1125,232
2012-12-17,5.1991,5.4027,5.1991,5.4027,117
2012-12-18,5.3985,5.3985,5.3985,5.3985,9
2012-12-19,5.3985,5.3985,5.3985,5.3985,3
2012-12-20,5.3985,5.3985,5.3985,5.3985,3
2012-12-21,5.3985,5.3985,5.3985,5.3985,13
2012-12-27,5.3985,5.3985,5.3985,5.3985,2
2012-12-28,5.3985,5.3985,5.3985,5.3985,1
2013-01-02,5.3985,5.3985,5.3985,5.3985,2
2013-01-07,5.1991,5.1991,5.1991,5.1991,13
2013-01-08,5.1991,5.1991,5.1991,5.1991,567
2013-01-09,5.1991,5.1991,5.1991,5.1991,401
2013-01-11,5.4027,5.4027,5.4027,5.4027,117
2013-01-14,5.4159,5.4159,5.4159,5.4159,22
2013-01-15,5.4463,5.4463,5.4463,5.4463,45
2013-01-16,5.4463,5.4505,5.4463,5.4505,117
2013-01-17,5.4548,5.4548,5.4548,5.4548,13
2013-01-24,5.4548,5.4548,5.4548,5.4548,13
