Date,Open,High,Low,Close,Volume
2010-01-04,2.4426,2.4426,2.4426,2.4426,3046
2010-01-05,2.4426,2.4556,2.4426,2.4426,9119
2010-01-06,2.4426,2.4556,2.4101,2.4556,4922
2010-01-07,2.4426,2.4688,2.4101,2.4688,2057
2010-01-08,2.358,2.4556,2.358,2.4426,1859
2010-01-11,2.4426,2.4426,2.4426,2.4426,921
2010-01-12,2.4753,2.5664,2.4296,2.5664,4324
2010-01-13,2.4753,2.5534,2.4101,2.5534,5997
2010-01-14,2.5664,2.5664,2.5664,2.5664,342
2010-01-15,2.4556,2.5664,2.4556,2.5664,2456
2010-01-18,2.5404,2.5404,2.5404,2.5404,5327
2010-01-19,2.5404,2.5404,2.4688,2.4688,768
2010-01-20,2.4753,2.5664,2.4688,2.5664,6025
2010-01-21,2.4688,2.5664,2.4426,2.5664,2452
2010-01-22,2.4622,2.5664,2.4622,2.5664,2207
2010-01-25,2.5664,2.6512,2.5664,2.6512,4668
2010-01-26,2.6512,2.7032,2.6055,2.7032,3881
2010-01-27,2.7163,2.7358,2.6772,2.6772,3434
2010-01-28,2.6577,2.7358,2.6577,2.7358,3184
2010-01-29,2.7163,2.7358,2.6772,2.7358,1459
2010-02-01,2.7358,2.7358,2.6772,2.7032,7332
2010-02-02,2.6837,2.7032,2.6837,2.7032,1345
2010-02-03,2.7099,2.7423,2.7099,2.7358,3119
2010-02-04,2.7358,2.7358,2.6055,2.6055,11491
2010-02-05,2.5925,2.5925,2.4818,2.5729,4092
2010-02-08,2.4883,2.5729,2.4818,2.5729,4700
2010-02-09,2.5729,2.5925,2.5729,2.5925,6553
2010-02-10,2.5925,2.5925,2.5925,2.5925,613
2010-02-11,2.5925,2.5925,2.3775,2.5273,5461
2010-02-12,2.5925,2.6055,2.5404,2.5404,6403
2010-02-15,2.5078,2.6837,2.5078,2.6837,7983
2010-02-16,2.6055,2.6055,2.6055,2.6055,523
2010-02-17,2.6055,2.7358,2.6055,2.7228,11420
2010-02-18,2.6119,2.7099,2.6055,2.7099,3448
2010-02-19,2.6707,2.7032,2.6707,2.7032,121
2010-02-22,2.6055,2.6119,2.5404,2.6055,12538
2010-02-23,2.4818,2.4948,2.4036,2.4948,34391
2010-02-24,2.4883,2.5729,2.4883,2.5729,8235
2010-02-25,2.4948,2.4948,2.4818,2.4883,35116
2010-02-26,2.4948,2.6055,2.4948,2.6055,339
2010-03-01,2.6055,2.6055,2.6055,2.6055,166
2010-03-02,2.4818,2.5925,2.4753,2.5925,4316
2010-03-03,2.5925,2.5925,2.5925,2.5925,583
2010-03-04,2.6055,2.8011,2.6055,2.788,7638
2010-03-05,2.7684,2.7684,2.6381,2.6381,2420
2010-03-08,2.6837,2.6837,2.6055,2.6577,4372
2010-03-09,2.6055,2.6381,2.6055,2.6055,18752
2010-03-10,2.6055,2.6055,2.6055,2.6055,6095
2010-03-11,2.6055,2.6381,2.6055,2.6381,9082
2010-03-12,2.6447,2.6837,2.6381,2.6837,9466
2010-03-15,2.6577,2.6577,2.5925,2.5989,22119
2010-03-16,2.6055,2.6642,2.6055,2.6642,3878
2010-03-17,2.6055,2.6642,2.6055,2.6055,7106
2010-03-18,2.6055,2.6381,2.6055,2.6055,12009
2010-03-19,2.6055,2.6251,2.6055,2.6251,15048
2010-03-22,2.6055,2.6251,2.6055,2.6251,7113
2010-03-23,2.6642,2.7684,2.6119,2.6707,9269
2010-03-24,2.6707,2.6707,2.6707,2.6707,613
2010-03-25,2.7684,2.7684,2.6381,2.7423,3103
2010-03-26,2.6381,2.7163,2.6381,2.7163,2456
2010-03-29,2.6447,2.6447,2.6447,2.6447,3991
2010-03-30,2.6512,2.6512,2.6512,2.6512,18534
2010-03-31,2.6577,2.7423,2.6577,2.7423,8282
2010-04-06,2.6381,2.7489,2.6381,2.7489,13212
2010-04-07,2.6837,2.7684,2.6837,2.6837,12096
2010-04-08,2.6837,2.7944,2.6251,2.7944,10989
2010-04-09,2.814,3.2505,2.814,3.0745,16783
2010-04-12,3.0679,3.0745,2.9312,3.0745,3374
2010-04-13,3.0876,3.0876,2.9638,2.9638,5272
2010-04-14,2.9573,2.9573,2.9312,2.9312,3025
2010-04-15,2.9312,3.2177,2.9312,3.2177,4169
2010-04-16,3.0876,3.0876,3.029,3.029,1088
2010-04-19,2.9702,2.9702,2.8011,2.8856,8968
2010-04-20,2.8921,3.029,2.788,3.029,7714
2010-04-21,2.9051,2.9051,2.9051,2.9051,1535
2010-04-22,3.0941,3.0941,2.9508,2.9508,5242
2010-04-23,2.9312,3.042,2.9312,3.042,4028
2010-04-26,3.0354,3.0354,2.8986,3.0354,5103
2010-04-27,3.042,3.042,2.9638,2.9638,1636
2010-04-28,2.9051,3.029,2.9051,3.029,16214
2010-04-29,3.029,3.0745,3.029,3.0745,842
2010-04-30,3.0745,3.0745,3.0745,3.0745,813
2010-05-04,2.9312,2.9378,2.8856,2.9312,5161
2010-05-05,2.8986,2.9116,2.8726,2.8726,14229
2010-05-06,2.8596,2.8986,2.8596,2.8986,1134
2010-05-07,2.8204,2.8531,2.7944,2.8531,6946
2010-05-10,2.9312,3.0745,2.9312,2.9312,3934
2010-05-11,2.9312,2.9312,2.9312,2.9312,1413
2010-05-12,2.9312,2.9312,2.9312,2.9312,1842
2010-05-13,2.9638,2.9638,2.9312,2.9312,4011
2010-05-14,2.9312,2.9312,2.9312,2.9312,7279
2010-05-17,2.9312,2.9312,2.827,2.9312,5804
2010-05-18,2.8726,2.9312,2.8661,2.8986,3667
2010-05-19,2.8986,2.9312,2.8204,2.9312,15550
2010-05-21,2.9312,2.9312,2.9312,2.9312,514
2010-05-24,2.9312,3.0876,2.9312,3.0876,12848
2010-05-25,2.9508,3.029,2.8986,3.029,75874
2010-05-26,3.0615,3.0615,2.9508,2.9638,2187
2010-05-27,2.9638,2.9638,2.9312,2.9638,10844
2010-05-28,2.9312,3.029,2.9312,3.029,11114
2010-05-31,2.9312,2.9312,2.9312,2.9312,3131
2010-06-01,2.9312,3.0094,2.8661,3.0028,5765
2010-06-02,3.0028,3.0745,2.9378,3.0615,5392
2010-06-04,2.9638,3.0224,2.9312,3.0224,4638
2010-06-08,2.9312,2.9312,2.8204,2.8204,3707
2010-06-09,2.9247,2.9312,2.8531,2.9312,1930
2010-06-10,2.8661,2.9312,2.8596,2.9312,768
2010-06-11,2.9312,2.9833,2.8986,2.9833,2716
2010-06-14,2.8791,3.0615,2.8791,3.0615,6374
2010-06-15,3.042,3.042,3.042,3.042,799
2010-06-17,3.029,3.042,3.029,3.042,865
2010-06-18,2.9312,2.9312,2.9312,2.9312,1707
2010-06-21,2.9312,2.9312,2.9312,2.9312,493
2010-06-22,2.9312,2.9638,2.9312,2.9312,4068
2010-06-23,3.0224,3.0615,2.9312,2.9963,4749
2010-06-24,2.9312,3.0941,2.9312,3.0941,16433
2010-06-25,3.0615,3.1266,3.0615,3.1266,2403
2010-06-28,3.1201,3.1266,3.0679,3.0679,5292
2010-06-29,3.0679,3.0941,3.0679,3.0941,3938
2010-06-30,3.0941,3.257,3.0941,3.257,8757
2010-07-01,3.257,3.5826,3.1592,3.4198,11437
2010-07-02,3.4263,3.4849,3.257,3.3546,3295
2010-07-09,3.335,3.335,3.1917,3.257,2089
2010-07-12,3.1982,3.3155,3.1982,3.3155,3785
2010-07-13,3.2243,3.2243,3.2243,3.2243,3072
2010-07-14,3.1658,3.1658,3.1007,3.1658,2109
2010-07-15,3.1592,3.1592,2.6055,3.1592,7913
2010-07-16,3.0094,3.0094,2.8986,3.0094,3461
2010-07-19,3.0094,3.0094,3.0094,3.0094,6777
2010-07-20,3.1072,3.1072,3.1072,3.1072,4333
2010-07-22,3.1592,3.1592,3.1592,3.1592,4
2010-07-23,3.1137,3.1592,3.0354,3.1592,4280
2010-07-26,3.1592,3.1592,3.1592,3.1592,308
2010-07-27,3.1917,3.3221,3.1917,3.257,18047
2010-07-28,3.3221,3.3221,3.257,3.309,11754
2010-07-29,3.257,3.309,3.257,3.309,15844
2010-07-30,3.2896,3.309,3.1787,3.309,31486
2010-08-02,3.257,3.3025,3.257,3.2896,43140
2010-08-03,3.257,3.309,3.2505,3.309,14126
2010-08-04,3.3155,3.3155,3.257,3.257,9367
2010-08-05,3.2896,3.4198,3.1917,3.257,37120
2010-08-06,3.3807,3.3807,3.257,3.309,15413
2010-08-09,3.257,3.257,3.2243,3.257,18423
2010-08-10,3.283,3.283,3.2243,3.2765,10320
2010-08-11,3.2699,3.2765,3.2699,3.2765,629
2010-08-12,3.257,3.2765,3.257,3.2765,1358
2010-08-13,3.257,3.283,3.1917,3.2699,15211
2010-08-16,3.257,3.2896,3.257,3.2896,20870
2010-08-17,3.257,3.257,3.2047,3.257,10270
2010-08-18,3.1917,3.2896,3.1917,3.257,29502
2010-08-19,3.257,3.2896,3.257,3.2896,61
2010-08-20,3.257,3.257,3.257,3.257,3072
2010-08-23,3.257,3.257,3.0941,3.2243,13911
2010-08-24,3.2896,3.2896,3.1462,3.1592,3288
2010-08-25,3.1462,3.2243,3.1462,3.2243,1542
2010-08-26,3.2243,3.2243,3.2243,3.2243,904
2010-08-27,3.1592,3.2896,3.1592,3.2896,1136
2010-08-30,3.3025,3.3676,3.257,3.3676,559
2010-09-01,3.3676,3.4001,3.3676,3.4001,1068
2010-09-02,3.257,3.3546,3.257,3.3546,977
2010-09-03,3.348,3.348,3.2765,3.348,1210
2010-09-07,3.3417,3.348,3.3417,3.348,2425
2010-09-08,3.3417,3.3871,3.3221,3.3871,8897
2010-09-09,3.3871,3.4784,3.3871,3.4784,4621
2010-09-10,3.4849,3.6478,3.2896,3.5826,15602
2010-09-13,3.5826,3.5826,3.5826,3.5826,308
2010-09-14,3.5044,3.6087,3.4198,3.6087,5080
2010-09-15,3.6478,3.9018,3.5826,3.778,7235
2010-09-16,3.6478,3.6478,3.5826,3.6478,7157
2010-09-17,3.5826,3.6348,3.5435,3.6348,7987
2010-09-20,3.6348,3.6348,3.5175,3.5175,2460
2010-09-21,3.5239,3.6152,3.4523,3.6152,8064
2010-09-22,3.5175,3.5826,3.5175,3.5826,1686
2010-09-23,3.6413,3.6413,3.5826,3.5826,19
2010-09-24,3.4784,3.5826,3.4784,3.5175,3296
2010-09-27,3.4329,3.5175,3.4198,3.5175,2306
2010-09-28,3.4068,3.4914,3.257,3.4914,21322
2010-09-29,3.4523,3.4523,3.4523,3.4523,271
2010-09-30,3.335,3.4458,3.2896,3.4458,4300
2010-10-04,3.2896,3.2896,3.2896,3.2896,247
2010-10-05,3.3221,3.3937,3.2896,3.3937,1307
2010-10-06,3.3871,3.3871,3.3286,3.3286,5768
2010-10-08,3.2896,3.2896,3.257,3.257,4291
2010-10-11,3.1917,3.4001,3.1917,3.2896,5590
2010-10-12,3.257,3.4198,3.1917,3.4001,8290
2010-10-13,3.2635,3.4198,3.257,3.4198,2296
2010-10-14,3.2635,3.3741,3.257,3.3741,2010
2010-10-15,3.2635,3.3676,3.257,3.3676,3946
2010-10-18,3.257,3.257,3.2243,3.2243,308
2010-10-19,3.1917,3.1982,3.1917,3.1917,3958
2010-10-20,3.1917,3.1917,3.1917,3.1917,5662
