Date,Open,High,Low,Close,Volume
2010-10-27,4.8808,4.8808,4.5718,4.707,136310
2010-10-28,4.7135,4.7135,4.3144,4.3205,68846
2010-10-29,4.322,4.3817,3.9309,4.375,164150
2010-11-02,4.3785,4.3785,4.3013,4.3722,36486
2010-11-03,4.2627,4.3465,4.1339,4.1339,5516
2010-11-04,4.3465,4.3465,4.1853,4.34,2098
2010-11-05,4.1853,4.34,4.1274,4.2819,3649
2010-11-08,4.2239,4.2885,4.1853,4.2885,9027
2010-11-09,4.2885,4.3144,4.0888,4.2434,8801
2010-11-10,4.1853,4.2498,4.1211,4.2434,3263
2010-11-12,4.1274,4.2434,4.1211,4.2434,2002
2010-11-15,4.1274,4.2434,4.1274,4.2176,404
2010-11-16,4.1339,4.1467,4.0567,4.1211,6522
2010-11-17,4.1211,4.1211,3.9923,3.9923,4130
2010-11-18,3.9602,3.9602,3.7798,3.9472,33604
2010-11-19,3.9472,4.0567,3.9472,4.0567,16688
2010-11-22,3.915,4.0501,3.8893,3.8893,5825
2010-11-23,3.9923,3.9923,3.8248,3.9858,8187
2010-11-24,3.9923,4.0116,3.928,4.0116,21750
2010-11-25,3.928,3.9794,3.8313,3.8571,10025
2010-11-26,3.8571,3.928,3.8119,3.9085,13078
2010-11-29,3.902,3.902,3.902,3.902,2409
2010-11-30,3.8571,3.8957,3.767,3.8957,8703
2010-12-01,3.8957,3.8957,3.8957,3.8957,4338
2010-12-02,3.8634,3.8634,3.8571,3.8571,979
2010-12-03,3.8634,3.8634,3.6059,3.8634,22238
2010-12-06,3.8634,3.8634,3.7411,3.7991,7680
2010-12-07,3.8634,3.8634,3.8056,3.8634,4656
2010-12-08,3.7798,3.9666,3.7477,3.9666,19966
2010-12-09,3.9536,4.1211,3.9536,4.1211,8396
2010-12-10,4.1211,4.1211,3.9858,3.9923,7173
2010-12-13,3.928,3.9923,3.8764,3.9923,6209
2010-12-14,3.9923,4.166,3.9602,4.166,7004
2010-12-15,4.0631,4.1533,3.9923,4.1533,9607
2010-12-16,4.1791,4.2756,4.1402,4.2756,2548
2010-12-17,4.1918,4.3079,4.1533,4.3079,7710
2010-12-20,4.0952,4.1211,3.928,4.0631,8991
2010-12-21,4.0246,4.0246,3.9085,3.928,4196
2010-12-22,3.8957,4.1211,3.8957,4.0567,6216
2010-12-23,4.1211,4.1533,4.1211,4.1533,1320
2010-12-27,4.0373,4.1339,3.9987,4.1274,8664
