Date,Open,High,Low,Close,Volume
2011-07-13,31.2,37.4,31.2,36,20710
2011-07-15,55.1,55.1,55.1,55.1,8941
2011-07-18,50,59.5,47.1,47.5,4303
2011-07-19,47.3,54.5,45,50,21590
2011-07-20,50.1,72,50,72,7056
2011-07-21,86,103.2,72,92,1808
2011-07-22,101,121.2,81,105.5,2656
2011-07-25,110,118,75,75.5,3212
2011-07-26,46,46,33,33,21983
2011-07-27,31,37.2,20.4,20.4,34203
2011-07-28,21,24.4,19.9,22,14726
2011-07-29,22.1,23.6,20.3,21.8,1823
2011-08-01,21.7,23.4,17.6,18.8,6939
2011-08-02,18.8,20,16.6,19.2,5635
2011-08-03,18,18.5,14.4,15.8,4166
2011-08-04,15.8,18,13.6,16.9,4072
2011-08-05,16.4,16.5,13.6,16.4,1830
2011-08-08,15.9,16.4,13.3,15.4,4271
2011-08-09,13.1,15.4,13,13.8,1808
2011-08-10,15,15.3,12.2,13.5,886
2011-08-11,11.5,13.7,10.7,12.5,1397
2011-08-12,12.8,14.9,11.6,12.2,1627
2011-08-16,11.7,12.1,10,10.2,2626
2011-08-17,10.9,14.6,9.6,14.5,7089
2011-08-18,14.5,14.5,11.7,12.6,1151
2011-08-19,12.7,15.1,12.2,13,878
2011-08-22,14.7,14.7,11.8,13.1,1683
2011-08-23,12.8,12.8,11.5,11.8,263
2011-08-24,11,11.7,10.2,11.2,852
2011-08-25,10.5,11.3,10.1,10.9,577
2011-08-26,10.9,11.2,10.1,10.1,551
2011-08-29,10.5,10.9,10.1,10.5,123
2011-08-30,10.5,10.8,9.6,10.6,293
2011-08-31,10.8,11.1,10.4,11.1,527
2011-09-01,11.1,11.2,9.2,10.5,714
2011-09-02,11.5,11.5,8.3,8.3,1406
2011-09-05,9,9.2,8.4,9.2,834
2011-09-06,9.1,10.4,8.2,9.4,3714
2011-09-07,9.4,9.5,8.4,9,1020
2011-09-08,9.3,9.3,8.6,9.3,96
2011-09-09,9.3,9.4,7.5,8.2,1320
2011-09-12,8.1,8.1,7.5,8.1,409
2011-09-13,8.1,8.1,7,7.9,421
2011-09-14,7.9,7.9,6.8,7.4,56
2011-09-15,6.9,8,6.9,8,175
2011-09-16,8.1,8.1,8,8,65
2011-09-19,7,7.5,7,7.5,15
2011-09-20,7,7,6.5,7,270
2011-09-21,6.9,7,6.3,6.9,508
2011-09-22,6.3,6.5,5.9,6.5,501
2011-09-23,6.2,6.9,6,6.9,194
2011-09-26,6.3,6.3,6.3,6.3,67
2011-09-27,6.4,7.2,6.4,7.2,123
2011-09-28,7.4,8.1,6.5,7.4,1068
2011-09-30,7.3,7.9,7,7.9,211
2011-10-03,7.9,8,7.5,8,210
2011-10-04,8.1,8.1,7.3,7.3,375
2011-10-05,7.5,7.9,6.9,7.5,2830
2011-10-06,7.7,8.6,7.7,8.6,563
2011-10-07,8,8.3,7.7,8,750
2011-10-10,8,10.2,7.9,10.2,3366
2011-10-11,10.2,10.8,9,9.8,436
2011-10-12,9.8,10.2,9.2,9.9,3755
2011-10-13,10.4,11.8,10,11.8,1051
2011-10-14,11.7,14.2,10.8,13,2683
2011-10-17,14.1,16.9,13.1,16.3,5166
2011-10-18,17,20.3,14.9,19.9,4042
2011-10-19,19.5,19.5,15.6,16.5,3008
2011-10-20,16.5,17.1,14,14,272
2011-10-21,14.2,15.9,14.2,15.9,171
2011-10-24,16.5,16.5,10.1,14.3,1614
2011-10-25,13,14,11.9,12.1,511
2011-10-26,12.1,12.2,12.1,12.2,36
2011-10-27,12.2,13.3,12,12,232
2011-10-28,12.8,16.6,11.2,15,1618
2011-10-31,16.6,17.2,14,15.5,341
2011-11-02,14.9,14.9,13,13.7,586
2011-11-03,13.6,13.6,13,13,178
2011-11-04,12.7,12.7,10.5,12.5,329
2011-11-07,12.5,15,12.5,15,1972
2011-11-08,14.5,14.5,14.4,14.4,338
2011-11-09,14.4,14.5,11.7,13.6,891
2011-11-10,12,15,12,14.8,647
2011-11-14,14.5,15.5,13.9,15.5,767
2011-11-15,17.5,19.9,14.1,18.8,203
2011-11-16,22.4,24.8,17,17,32
2011-11-17,15.8,15.8,13.6,15.8,263
2011-11-18,15.8,15.8,14.6,14.7,138
2011-11-21,14.5,15.8,14.1,15.8,387
2011-11-22,16.8,16.8,15.2,15.2,30
2011-11-23,16.8,17.5,15.9,16.3,278
2011-11-24,16.3,16.3,15.3,15.4,245
2011-11-28,14.3,15.9,12.6,15.9,658
2011-11-29,14.7,15.2,12.8,15.2,523
2011-11-30,15,15,15,15,2
2011-12-01,14.8,14.8,13.8,13.8,99
2011-12-02,14.3,14.3,13.1,13.1,250
2011-12-05,13.8,14.1,13.8,14.1,200
2011-12-06,13.5,14.3,13.5,14.3,49
2011-12-07,13.8,13.8,13,13.6,333
2011-12-09,13.5,13.5,13.5,13.5,10
2011-12-12,13,14.2,12.8,14.2,278
2011-12-13,14.2,15,12,12,387
2011-12-14,12,13.3,11.4,13.3,267
2011-12-15,12.3,13.4,12.3,13.4,249
2011-12-19,13.1,13.6,13.1,13.6,16
2011-12-23,13.2,14,12.2,14,412
2011-12-27,13,13,13,13,10
2011-12-29,13.3,13.6,13.3,13.6,20
2011-12-30,13,13.4,12.6,13.4,47
2012-01-02,13.7,13.7,13,13,11
2012-01-03,12.8,12.8,12.8,12.8,10
2012-01-04,12.8,12.8,12.4,12.4,252
2012-01-05,12.5,12.5,12.5,12.5,100
2012-01-09,12.5,12.5,12.2,12.2,14
2012-01-10,12.2,12.2,11.4,11.4,100
2012-01-11,11.3,11.5,10.7,11.5,160
2012-01-13,11.5,11.5,11.5,11.5,45
2012-01-16,11.5,11.5,11.5,11.5,10
2012-01-17,11.2,12.5,11.2,12.5,215
2012-01-18,11.8,11.8,10.7,10.7,157
2012-01-19,10.7,10.7,10.7,10.7,5
2012-01-23,12.2,12.2,12.2,12.2,20
2012-01-24,12.2,12.7,12,12.7,245
2012-01-25,13.1,13.1,13.1,13.1,1
2012-01-26,13.1,13.8,13.1,13.8,28
2012-01-27,13.8,14,13.1,13.1,30
2012-01-30,13.5,13.5,13.5,13.5,5
2012-01-31,13.5,13.5,13.5,13.5,1
2012-02-03,13.5,13.5,13.5,13.5,8
2012-02-06,13.3,13.3,13.3,13.3,5
2012-02-08,13.3,13.5,12.2,12.2,72
2012-02-09,12.9,13.1,12.9,13.1,189
2012-02-13,13.5,13.8,13.5,13.8,20
2012-02-14,13.6,14.3,13.6,14,157
2012-02-15,14.2,16.8,14.2,16.8,273
2012-02-16,16.5,16.5,16.3,16.3,20
2012-02-17,16,16,15.8,16,85
2012-02-20,16.2,16.2,16,16.1,85
2012-02-21,16.2,16.2,16.2,16.2,58
2012-02-22,16.2,17.8,16.2,17.8,176
2012-02-23,17.8,20,17.8,19.5,376
2012-02-24,20.8,22,19.7,19.7,385
2012-02-27,20.3,20.3,15.8,16.7,839
2012-02-28,18.7,19.6,15.7,19.6,20
2012-02-29,19,19.7,19,19.7,193
2012-03-01,19.7,20.1,18.6,18.6,319
2012-03-02,19.5,19.5,19.5,19.5,5
2012-03-06,19,19,18.8,18.8,34
2012-03-07,19.1,19.1,19.1,19.1,59
2012-03-08,19,20.8,19,20.8,64
2012-03-09,20.7,20.7,18.1,18.1,173
2012-03-12,19.1,19.1,18.1,18.1,150
2012-03-13,18.2,18.2,18.1,18.1,130
2012-03-14,18.3,18.3,18,18,59
2012-03-15,17.9,17.9,17.9,17.9,10
2012-03-16,17.9,17.9,16.4,17.3,336
2012-03-20,16.8,16.8,16.4,16.4,37
2012-03-21,16.2,16.2,16.2,16.2,10
2012-03-22,16.2,16.2,16.2,16.2,5
2012-03-23,16.2,16.2,16.2,16.2,10
2012-03-26,16.2,17.1,16.2,17,324
2012-03-27,17.3,20.3,17.3,17.8,1180
2012-03-28,18,19.6,18,19.6,230
2012-03-29,19.6,23,18.7,22,1553
2012-03-30,21,21,19.1,19.1,171
2012-04-02,19.1,20,19,19,397
2012-04-03,18.3,18.3,16.7,17.2,1231
2012-04-04,17.8,17.8,17.8,17.8,1
2012-04-05,17.8,17.8,16.8,16.8,541
2012-04-10,16.8,16.8,15.8,15.8,486
2012-04-11,15.8,15.8,15.2,15.2,301
2012-04-12,15.2,15.2,15.2,15.2,4
2012-04-13,15.2,15.2,15.2,15.2,170
2012-04-16,15.2,21.5,15.2,20.9,4204
2012-04-17,20.9,20.9,15.3,15.3,2623
2012-04-18,15.2,15.2,13,14.8,1542
2012-04-19,15.5,15.5,13.5,15.2,196
2012-04-20,14.2,16.8,14,15.6,1145
2012-04-23,15.4,15.4,13,13.7,850
2012-04-24,13.3,13.3,13.3,13.3,1
2012-04-25,12.8,12.8,11.5,12.4,1154
2012-04-26,11.1,11.7,10,10.9,1067
2012-04-27,10,10.5,10,10.5,60
2012-04-30,10.1,10.3,10.1,10.3,175
2012-05-02,10.3,10.5,10.3,10.5,459
2012-05-04,10,11,9.9,11,413
2012-05-07,11,11,11,11,3
2012-05-08,11,11,11,11,3
2012-05-09,10.6,10.6,10.3,10.3,293
2012-05-10,10,10,10,10,5
2012-05-14,9.6,9.6,9.4,9.4,200
2012-05-15,9,9,9,9,20
2012-05-16,8.5,8.5,7.2,7.2,379
2012-05-18,7.3,7.3,7.3,7.3,85
2012-05-21,7.6,8.1,7.1,8.1,230
2012-05-22,7.8,8.8,7.8,8.6,433
2012-05-23,8.1,9.2,8.1,9.2,80
2012-05-24,9.3,9.3,8.4,8.4,40
2012-05-25,8.7,8.7,8.7,8.7,2
2012-05-28,8.7,8.7,8,8,200
2012-05-30,8,8,7.2,7.2,703
2012-05-31,7,7,7,7
2012-06-04,7,8.1,6.7,8.1,1125
2012-06-05,6.5,6.5,6.5,6.5,520
2012-06-06,6,6,4.2,4.9,1385
2012-06-08,4.9,4.9,4,4,71
2012-06-11,4.4,5.7,4.4,5,2132
2012-06-12,5,7.2,5,7.1,5427
2012-06-13,7.1,7.1,4.6,5.5,5321
2012-06-14,5.8,5.8,4.5,5.3,740
2012-06-15,5,5,4.4,4.4,383
2012-06-18,4.8,4.9,4.2,4.2,1950
2012-06-19,4.5,4.8,4,4.2,1134
2012-06-20,4.2,4.4,4.1,4.4,561
2012-06-21,4.2,4.3,4.1,4.3,1855
2012-06-22,4.3,4.3,4.1,4.1,573
2012-06-25,4.2,4.3,3.7,3.7,600
2012-06-26,3.7,4.2,3.6,4.2,420
2012-06-27,4.2,4.3,3.6,3.9,195
2012-06-28,3.6,3.8,3.6,3.8,95
2012-06-29,3.9,4.1,3.9,4.1,95
2012-07-02,4.1,4.1,2.7,2.7,1439
2012-07-03,3,3.8,3,3.5,4078
2012-07-04,3.4,3.7,3.1,3.7,3070
2012-07-05,3.4,3.9,3.4,3.9,2746
2012-07-06,3.6,3.6,3.4,3.4,120
2012-07-09,3.2,3.2,3,3,1562
2012-07-11,3,3,3,3,10
2012-07-12,3.1,3.4,3,3.4,491
2012-07-16,3.1,3.1,3.1,3.1,50
2012-07-17,3,3,3,3,25
2012-07-18,3.2,3.4,3,3,775
2012-07-19,3.2,3.2,3.1,3.2,2100
2012-07-20,3.3,3.6,3.2,3.5,2128
2012-07-23,4,4.8,4,4.4,1719
2012-07-24,4.9,5.8,4.9,5.8,10642
2012-07-25,6.5,7.8,5.9,6.6,9944
2012-07-26,6,6.7,5.6,5.7,3234
2012-07-27,5.7,6.2,4.6,5.7,3960
2012-07-30,5.5,5.5,5,5.1,502
2012-07-31,5.1,5.6,4.9,5.4,1860
2012-08-01,5.7,5.7,4.9,5.1,628
2012-08-02,4.9,5.2,4.8,5.2,616
2012-08-03,5.5,5.5,4.2,5,515
2012-08-06,4.6,4.8,4.3,4.8,218
2012-08-07,4.2,4.2,4.2,4.2,25
2012-08-08,4.7,5,4.7,5,132
2012-08-09,5.2,6,5.2,6,1717
2012-08-10,6,7.1,5.5,5.9,8124
2012-08-13,5.6,6.5,5.6,6.5,730
2012-08-14,6.1,6.1,5.5,5.5,807
2012-08-16,5.6,6.5,5.1,6.3,1577
2012-08-17,5.7,5.7,5.2,5.5,2088
2012-08-20,5.3,5.4,5.1,5.4,638
2012-08-21,5.2,5.2,5.1,5.1,139
2012-08-22,5.1,5.4,4.5,5.4,1270
2012-08-27,5.5,6,5,5.3,671
2012-08-28,5.5,5.5,4.3,4.3,568
2012-08-29,4.1,4.5,3.8,4.5,667
2012-08-30,4.1,4.2,4,4.2,200
2012-08-31,4.2,4.4,4.2,4.2,298
2012-09-03,4.1,4.4,4.1,4.4,55
2012-09-04,4.2,4.2,4.1,4.1,220
2012-09-05,4,4,3.3,4,740
2012-09-06,4.4,4.8,4.3,4.8,181
2012-09-07,4.8,4.8,4.2,4.4,466
2012-09-10,4.4,4.9,4.4,4.8,540
2012-09-11,4.7,5.5,4.7,5.5,260
2012-09-12,5.4,5.4,4.7,5.3,258
2012-09-13,5,6.3,4.8,5.9,838
2012-09-14,5.5,5.8,5,5.6,908
2012-09-17,5.1,5.5,4.9,5.5,206
2012-09-18,5.1,5.1,5,5,172
2012-09-19,5,5,4.5,4.9,815
2012-09-20,4.9,4.9,4,4.8,785
2012-09-21,4.8,5.4,4.5,4.6,707
2012-09-24,4.5,4.8,4.5,4.8,69
2012-09-26,4.5,4.5,4.4,4.4,26
2012-09-27,4.7,4.8,4.7,4.8,231
2012-09-28,4.7,4.7,4.3,4.3,250
2012-10-01,4.5,4.7,4.5,4.7,47
2012-10-04,4.5,5.4,4.5,5,114
2012-10-05,4.7,6,4.7,5.5,1667
2012-10-08,5.5,5.8,4.9,5.3,466
2012-10-10,5.3,5.3,4.6,4.9,110
2012-10-11,5,5,5,5,5
2012-10-12,4.6,5,4.4,5,358
2012-10-19,4.6,4.6,3.6,4.1,635
2012-10-22,3.9,4,3.7,4,86
2012-10-23,3.9,4,3.9,4,21
2012-10-24,4.2,4.2,4.2,4.2,3
2012-10-25,4,4.2,4,4.2,105
2012-10-26,4.2,4.2,4.1,4.2,43
2012-10-29,4.2,4.2,4.2,4.2,3
2012-10-30,4.2,4.2,4.2,4.2,32
2012-10-31,4.2,4.7,4.1,4.4,429
2012-11-02,4.6,4.6,3.7,4.5,180
2012-11-05,4.6,4.6,4.1,4.5,26
2012-11-06,4.4,4.4,3.7,4.4,437
2012-11-07,4.4,4.5,4,4.5,118
2012-11-08,4.5,4.5,4.5,4.5,10
2012-11-09,4.5,4.6,4.5,4.6,23
2012-11-12,4.1,4.7,4.1,4.7,62
2012-11-13,4.7,4.7,4.3,4.5,42
2012-11-15,4.5,4.5,4,4,195
2012-11-16,4.6,4.6,4.4,4.5,376
2012-11-19,4.4,4.6,4.4,4.6,80
2012-11-20,4.7,5.5,4.7,5.5,1022
2012-11-21,5.8,5.8,4.8,4.8,410
2012-11-23,4.6,4.8,4.5,4.8,40
2012-11-26,4.8,5.6,4.8,5,740
2012-11-27,5,5.4,5,5.4,550
2012-11-29,5.2,5.7,5.2,5.7,280
2012-11-30,5.7,5.7,5.6,5.7,105
2012-12-03,5.7,5.8,5.5,5.8,147
2012-12-04,5.8,5.9,5.7,5.9,582
2012-12-05,5.5,5.8,5.4,5.8,190
2012-12-06,5.9,5.9,5.3,5.8,479
2012-12-07,5.8,5.8,5,5.5,1033
2012-12-10,5.5,5.9,5.5,5.9,321
2012-12-11,5.9,5.9,5.8,5.9,1047
2012-12-12,5.7,5.7,5.5,5.7,555
2012-12-13,5.6,5.6,5.6,5.6,5
2012-12-14,5.7,5.7,5.4,5.6,110
2012-12-17,5.5,5.6,5.3,5.6,85
2012-12-18,5.6,5.9,4.9,5.4,506
2012-12-19,5.1,5.4,5,5.4,269
2012-12-20,5,5.4,4.9,5.4,505
2012-12-21,5,5.4,5,5.4,151
2013-01-02,5.4,5.6,4.7,5,155
2013-01-03,5,5.3,4.4,5.1,1453
