Date,Open,High,Low,Close,Volume
2012-12-17,1.64,1.64,1.64,1.64,12960
2012-12-18,1.67,2.21,1.53,1.65,31710
2012-12-19,1.7,1.81,1.51,1.73,14853
2012-12-20,1.8,1.8,1.17,1.32,21448
2012-12-21,1.32,1.32,1.2,1.22,12550
2012-12-27,1.23,1.45,1.23,1.3,9059
2012-12-28,1.27,1.27,1.22,1.22,3840
2013-01-02,1.22,1.27,1.18,1.27,2313
2013-01-03,1.26,1.26,1.12,1.12,3257
2013-01-04,1.18,1.18,1.18,1.18,100
2013-01-07,1.15,1.34,1.15,1.34,13708
2013-01-08,1.4,1.45,1.19,1.26,14617
2013-01-09,1.26,1.26,1.25,1.26,1525
2013-01-10,1.26,1.26,1.26,1.26,1050
2013-01-11,1.24,1.24,1.17,1.21,1365
2013-01-14,1.21,1.21,1.21,1.21,15
2013-01-15,1.21,1.21,1.17,1.17,610
2013-01-16,1.2,1.2,1.2,1.2,20
2013-01-17,1.2,1.2,1.08,1.08,1120
2013-01-18,1.08,1.08,1.08,1.08,700
2013-01-21,1.06,1.06,0.97,0.97,2000
2013-01-22,0.92,0.92,0.92,0.92,757
2013-01-24,0.9,0.9,0.9,0.9,2228
2013-01-25,0.9,0.9,0.9,0.9,72
2013-01-31,0.9,1.05,0.9,1.05,3650
2013-02-01,1.01,1.01,0.99,0.99,1600
2013-02-04,0.99,0.99,0.99,0.99,2020
2013-02-05,1,1,1,1,15
2013-02-06,1,1,0.96,0.96,373
2013-02-07,0.96,0.96,0.94,0.96,2060
2013-02-08,0.98,1.11,0.98,1.08,7314
2013-02-11,1.08,1.08,1.08,1.08,15
2013-02-12,1.05,1.05,1.05,1.05,283
2013-02-13,1.05,1.05,1.05,1.05,5217
2013-02-14,1.02,1.02,1.01,1.01,1100
2013-02-15,1.01,1.01,0.98,0.98,5520
2013-02-18,0.98,1.04,0.98,1.04,3570
2013-02-19,1.04,1.04,1.04,1.04,1150
2013-02-20,1.02,1.02,1,1,2140
2013-02-21,1.01,1.05,1.01,1.05,1070
2013-02-22,1.05,1.05,1.05,1.05,550
2013-02-25,1.06,1.07,1.03,1.07,1750
2013-02-26,1.07,1.08,1.07,1.08,3235
2013-02-27,1.09,1.15,1.09,1.11,9531
2013-02-28,1.12,1.13,1.07,1.13,3050
2013-03-01,1.14,1.15,1.06,1.06,9582
2013-03-04,1.05,1.05,1.05,1.05,2700
2013-03-05,1.09,1.11,1.06,1.06,2325
2013-03-06,1.06,1.06,1.06,1.06,320
2013-03-07,1.09,1.2,1.03,1.2,4271
2013-03-08,1.19,1.19,1.1,1.1,1382
2013-03-11,1.1,1.1,1.1,1.1,938
2013-03-12,1.08,1.08,1.03,1.03,770
2013-03-13,1.05,1.05,1.05,1.05,50
2013-03-14,1.05,1.14,1.05,1.14,1330
2013-03-15,1.1,1.16,1.1,1.16,130
2013-03-19,1.15,1.15,1.14,1.14,53
2013-03-20,1.14,1.14,1.08,1.08,2537
2013-03-21,1.08,1.17,1.08,1.17,1060
2013-03-22,1.17,1.17,1.17,1.17,30
2013-03-25,1.15,1.15,1.15,1.15,10
2013-03-26,1.15,1.15,1.15,1.15,50
2013-03-27,1.1,1.1,1.06,1.06,461
2013-03-28,1.06,1.06,1.06,1.06,25
2013-04-02,1.06,1.06,1.06,1.06,18
2013-04-03,1.06,1.06,1.06,1.06,925
2013-04-04,1.06,1.06,1.06,1.06,1274
2013-04-05,1.02,1.02,1.02,1.02,1300
2013-04-08,1.01,1.01,1.01,1.01,10
2013-04-09,1.01,1.01,1.01,1.01,100
2013-04-10,1.01,1.01,1.01,1.01,50
2013-04-11,1.01,1.01,1.01,1.01,25
2013-04-12,1.01,1.07,0.98,1.07,2416
2013-04-17,1.07,1.07,1.07,1.07,3325
2013-04-18,1.05,1.05,1.01,1.01,1500
2013-04-19,1.01,1.01,1.01,1.01,20
2013-04-22,1.01,1.01,0.96,0.98,4490
2013-04-23,0.98,0.98,0.98,0.98,30
2013-04-24,0.98,0.98,0.98,0.98,15
2013-04-25,0.98,1.03,0.98,1.03,1360
2013-04-30,1,1,0.99,0.99,1170
2013-05-02,1.04,1.04,1.04,1.04,300
2013-05-06,1.04,1.04,1.04,1.04,200
2013-05-07,1.04,1.04,1.04,1.04,100
2013-05-08,1.04,1.1,1.01,1.1,7700
2013-05-09,1.1,1.1,1.1,1.1,100
2013-05-10,1.11,1.11,1.11,1.11,100
2013-05-13,1.11,1.11,1.11,1.11,100
2013-05-14,1.08,1.08,1.08,1.08,100
2013-05-15,1.06,1.06,1.06,1.06,771
2013-05-16,1.06,1.06,1.06,1.06,50
2013-05-17,1.06,1.06,1.06,1.06,30
2013-05-20,1.06,1.06,1.06,1.06,50
2013-05-21,1.06,1.06,1.06,1.06,20
2013-05-22,1.05,1.05,1.05,1.05,30
2013-05-23,1.05,1.05,1.03,1.03,1731
2013-05-24,1.03,1.03,1.03,1.03,30
2013-05-27,1.03,1.03,1.03,1.03,45
2013-05-28,1.03,1.03,1.03,1.03,30
2013-05-29,1.03,1.03,1.03,1.03,20
2013-05-31,1.03,1.03,1.03,1.03,326
2013-06-03,1.03,1.03,1.03,1.03,30
2013-06-04,1.03,1.03,1.03,1.03,30
2013-06-05,1.03,1.03,1.03,1.03,30
2013-06-06,1.03,1.03,1.03,1.03,60
