Date,Open,High,Low,Close,Volume
2011-03-24,1.17,1.26,1.1,1.15,287982
2011-03-25,1.1,1.18,1,1.04,164784
2011-03-28,1.06,1.15,1.01,1.02,78914
2011-03-29,1.02,1.06,0.97,1,47710
2011-03-30,0.99,1.04,0.95,1.04,15894
2011-03-31,1,1.06,0.89,0.95,45391
2011-04-01,0.98,1.11,0.91,1.04,58110
2011-04-04,1.08,1.25,1.08,1.15,212434
2011-04-05,1.2,1.28,1.05,1.08,114028
2011-04-06,1.1,1.1,0.93,1,73907
2011-04-07,0.99,1.09,0.98,1.08,65307
2011-04-08,1.04,1.12,1,1.09,62900
2011-04-11,1.09,1.09,1.02,1.07,11474
2011-04-12,1.07,1.07,1.03,1.05,679
2011-04-13,1.04,1.06,1,1.06,12951
2011-04-14,1.06,1.06,1.01,1.01,701
2011-04-15,1.03,1.05,1,1.01,6314
2011-04-18,1,1.07,1,1.01,6261
2011-04-19,1.02,1.07,1,1.07,10142
2011-04-20,1.06,1.06,1,1.05,11726
2011-04-21,1.05,1.05,1.01,1.02,6073
2011-04-26,1.02,1.02,0.96,0.98,6590
2011-04-27,0.98,1,0.98,1,1300
2011-04-28,1.01,1.01,1.01,1.01,30
2011-04-29,1,1,0.97,0.99,2688
2011-05-02,1,1,0.98,0.98,1300
2011-05-04,0.99,0.99,0.95,0.96,4223
2011-05-05,0.97,0.97,0.95,0.95,31
2011-05-09,0.97,1.1,0.97,1.05,8447
2011-05-10,1.05,1.05,1,1,2100
2011-05-11,0.99,1.03,0.93,1,10130
2011-05-12,0.92,1,0.92,1,4192
2011-05-13,1,1,0.98,0.98,1240
2011-05-16,0.98,0.98,0.97,0.97,1170
2011-05-17,0.96,0.96,0.93,0.95,1066
2011-05-18,0.97,1,0.97,1,1345
2011-05-19,0.99,1,0.95,0.96,4415
2011-05-20,0.97,0.99,0.96,0.97,1110
2011-05-23,0.96,0.97,0.94,0.97,810
2011-05-24,0.98,0.98,0.96,0.96,4003
2011-05-25,0.96,0.99,0.96,0.99,5300
2011-05-26,0.98,0.98,0.96,0.96,1700
2011-05-27,0.97,0.97,0.97,0.97,10
2011-05-30,0.97,0.97,0.91,0.95,4909
2011-05-31,0.95,0.96,0.9,0.93,3377
2011-06-01,0.93,0.93,0.92,0.92,485
2011-06-02,0.94,0.94,0.9,0.9,4950
2011-06-03,0.9,0.9,0.9,0.9,11037
2011-06-06,0.9,0.92,0.8,0.92,14626
2011-06-07,0.89,0.98,0.89,0.94,17720
2011-06-08,0.94,0.94,0.9,0.9,2120
2011-06-09,0.93,0.94,0.9,0.94,1505
2011-06-10,0.94,0.94,0.91,0.91,1989
2011-06-13,0.91,0.91,0.91,0.91,636
2011-06-14,0.91,0.93,0.91,0.93,350
2011-06-15,0.93,0.95,0.93,0.93,460
2011-06-16,0.94,0.94,0.91,0.93,310
2011-06-17,0.9,0.94,0.9,0.94,1100
2011-06-20,0.94,0.94,0.9,0.9,5115
2011-06-21,0.92,0.92,0.89,0.9,2400
2011-06-22,0.9,0.9,0.88,0.89,1005
2011-06-24,0.89,0.89,0.89,0.89,100
2011-06-28,0.92,0.92,0.92,0.92,5
2011-06-29,0.89,0.89,0.89,0.89,200
2011-06-30,0.89,0.89,0.89,0.89,110
2011-07-01,0.89,0.89,0.89,0.89,100
2011-07-04,0.88,0.88,0.88,0.88,5
2011-07-05,0.84,0.84,0.84,0.84,100
2011-07-06,0.84,0.84,0.81,0.81,1311
2011-07-07,0.83,0.84,0.78,0.84,3417
2011-07-11,0.83,0.84,0.73,0.82,4398
2011-07-12,0.82,0.82,0.77,0.8,2397
2011-07-13,0.8,0.8,0.7,0.7,3541
2011-07-14,0.73,0.75,0.73,0.75,1550
2011-07-15,0.78,0.78,0.78,0.78,10
2011-07-18,0.75,0.75,0.73,0.73,4436
2011-07-19,0.74,0.74,0.74,0.74,500
2011-07-20,0.75,0.75,0.75,0.75,10
2011-07-21,0.74,0.74,0.72,0.72,1700
2011-07-22,0.71,0.74,0.71,0.72,2470
2011-07-25,0.72,0.72,0.72,0.72,200
2011-07-26,0.72,0.72,0.72,0.72,9790
2011-07-27,0.72,0.75,0.72,0.75,960
2011-08-02,0.75,0.75,0.75,0.75,200
2011-08-03,0.75,0.8,0.7,0.7,1360
2011-08-04,0.7,0.7,0.7,0.7,250
2011-08-09,0.56,0.67,0.56,0.63,5501
2011-08-10,0.63,0.63,0.62,0.62,300
2011-08-11,0.63,0.63,0.63,0.63,100
2011-08-12,0.63,0.81,0.63,0.81,8935
2011-08-16,0.8,0.8,0.78,0.78,567
2011-08-17,0.77,0.77,0.77,0.77,190
2011-08-18,0.78,0.78,0.62,0.62,2514
2011-08-19,0.72,0.72,0.72,0.72,600
2011-08-22,0.74,0.74,0.74,0.74,200
2011-08-23,0.7,0.7,0.7,0.7,1145
2011-08-25,0.69,0.69,0.69,0.69,300
2011-08-26,0.69,0.77,0.67,0.67,21110
2011-08-30,0.68,0.72,0.68,0.72,410
2011-09-02,0.72,0.77,0.7,0.71,4960
2011-09-05,0.69,0.69,0.69,0.69,60
2011-09-07,0.69,0.69,0.69,0.69,200
2011-09-08,0.67,0.67,0.62,0.64,5701
2011-09-09,0.63,0.63,0.6,0.63,1701
2011-09-12,0.61,0.61,0.61,0.61,250
2011-09-13,0.6,0.6,0.6,0.6,750
2011-09-14,0.6,0.71,0.6,0.71,862
2011-09-15,0.68,0.68,0.68,0.68,100
2011-09-19,0.66,0.67,0.66,0.67,605
2011-09-20,0.67,0.67,0.67,0.67,100
2011-09-21,0.68,0.68,0.68,0.68,200
2011-09-22,0.64,0.64,0.6,0.63,6650
2011-09-23,0.6,0.6,0.58,0.58,30051
2011-09-28,0.58,0.59,0.47,0.59,10700
