Date,Open,High,Low,Close,Volume
2012-09-04,0.47786,0.5348,0.38458,0.41655,129283
2012-09-05,0.39831,0.45288,0.38694,0.45288,8841
2012-09-06,0.45288,0.45288,0.36413,0.43242,30757
2012-09-07,0.45058,0.45058,0.36183,0.40968,78434
2012-09-10,0.45513,0.45513,0.45513,0.45513,17
2012-09-11,0.45513,0.45513,0.39831,0.43242,3885
2012-09-12,0.45513,0.45513,0.40968,0.45513,3798
2012-09-13,0.45513,0.45513,0.40281,0.45513,3534
2012-09-14,0.45513,0.45513,0.45513,0.45513,17
2012-09-17,0.45513,0.45513,0.38916,0.45513,9536
2012-09-18,0.45513,0.45513,0.45513,0.45513,17
2012-09-19,0.45513,0.45513,0.38694,0.38694,68119
2012-09-20,0.45513,0.45513,0.37558,0.45513,12670
2012-09-21,0.45513,0.45513,0.39152,0.45513,4410
2012-09-24,0.46433,0.46433,0.38006,0.40968,11939
2012-09-25,0.45058,0.45058,0.37558,0.38694,8362
2012-09-26,0.45058,0.45058,0.45058,0.45058,2
2012-09-27,0.45058,0.45058,0.36874,0.38237,6864
2012-09-28,0.45058,0.45058,0.45058,0.45058,2
2012-10-01,0.45058,0.45058,0.44616,0.44616,14
2012-10-02,0.4415,0.4415,0.38694,0.4415,13855
2012-10-03,0.45058,0.45058,0.36637,0.44837,1117
2012-10-04,0.45058,0.45058,0.36874,0.45058,5895
2012-10-05,0.45058,0.45058,0.45058,0.45058,17
2012-10-08,0.45058,0.45058,0.45058,0.45058,17
2012-10-09,0.45058,0.45058,0.36874,0.45058,3089
2012-10-10,0.45058,0.45058,0.36637,0.45058,3048
2012-10-11,0.45058,0.45058,0.45058,0.45058,14
2012-10-12,0.45058,0.45058,0.36874,0.45058,3309
2012-10-15,0.45058,0.45058,0.45058,0.45058,17
2012-10-16,0.45058,0.45058,0.36874,0.45058,6413
2012-10-17,0.45058,0.45058,0.3596,0.39831,19826
2012-10-18,0.39831,0.39831,0.32774,0.33001,4842
2012-10-19,0.34141,0.34141,0.34141,0.34141,882
2012-10-22,0.34141,0.35275,0.31864,0.35275,25223
2012-10-23,0.35275,0.35275,0.35275,0.35275,17
2012-10-24,0.35275,0.35275,0.35275,0.35275,7
2012-10-25,0.35275,0.35275,0.30725,0.35275,19389
2012-10-26,0.35275,0.35275,0.35275,0.35275,14
2012-10-29,0.35275,0.35275,0.28221,0.30725,19783
2012-10-30,0.35275,0.35275,0.35275,0.35275,7
2012-10-31,0.35275,0.35275,0.30725,0.35275,6160
2012-11-02,0.35275,0.35275,0.30725,0.35275,1590
2012-11-05,0.35275,0.35275,0.33457,0.35275,1765
2012-11-06,0.35275,0.38694,0.28221,0.38694,18020
2012-11-07,0.39831,0.39831,0.25491,0.36413,26790
2012-11-08,0.2731,0.2731,0.2731,0.2731,4392
2012-11-09,0.30725,0.31864,0.2731,0.29586,30634
2012-11-12,0.31636,0.31636,0.28449,0.30725,5112
2012-11-13,0.33679,0.33679,0.2731,0.2731,17629
2012-11-14,0.31408,0.31408,0.2731,0.2731,7
2012-11-15,0.31408,0.31408,0.31408,0.31408,2
2012-11-16,0.2731,0.2754,0.2731,0.2731,6994
2012-11-19,0.2731,0.2731,0.2731,0.2731,7
2012-11-20,0.2731,0.2731,0.22757,0.22757,9588
2012-11-21,0.2731,0.2731,0.26173,0.2731,2205
