Date,Open,High,Low,Close,Volume
2015-12-16,8.8956,8.9039,7.6673,8.5036,37758
2015-12-17,8.5036,8.7209,8.1042,8.7209,13410
2015-12-18,8.7209,8.8956,8.5103,8.5103,651
2015-12-21,8.3073,8.7209,8.3073,8.7209,1354
2015-12-22,8.7941,8.7941,8.7209,8.7209,8
2015-12-23,8.7209,8.7209,8.576,8.7209,37
2015-12-28,8.7142,8.7142,8.5036,8.6851,73
2015-12-29,8.6784,8.6851,8.5036,8.6851,1721
2015-12-30,8.7209,8.7941,8.5036,8.7941,2265
2016-01-04,8.7941,8.7941,8.5036,8.7941,6442
2016-01-05,8.7575,8.7575,8.7209,8.7209,4304
2016-01-07,8.7575,8.7575,8.576,8.7209,4938
2016-01-08,8.7575,8.7575,8.7209,8.7209,7
2016-01-11,8.7941,8.7941,8.3505,8.358,1340
2016-01-12,8.358,8.4238,8.031,8.14,1292
2016-01-13,8.2207,8.2207,8.2207,8.2207,69
2016-01-14,8.2058,8.2058,7.6315,7.704,20697
2016-01-15,7.704,7.704,7.5588,7.5588,1658
2016-01-18,7.5588,7.5588,7.2099,7.2099,284
2016-01-19,7.268,7.268,7.2026,7.2389,287
2016-01-20,7.2607,7.2607,6.8318,6.8318,3298
2016-01-21,7.0136,7.0136,6.5412,6.8245,2062
2016-01-22,6.8245,6.8245,6.8245,6.8245,137
2016-01-25,6.5775,6.6356,6.5484,6.6356,11248
2016-01-26,6.6356,6.8245,6.6356,6.8245,344
2016-01-27,6.8683,7.413,6.8174,7.413,4804
2016-01-28,7.3405,7.8498,7.268,7.8419,1607
2016-01-29,7.8419,7.8498,7.486,7.8052,2022
2016-02-01,7.8498,7.8498,7.8498,7.8498,387
2016-02-02,7.9877,7.9877,7.2824,7.2824,1900
2016-02-03,7.3405,7.3405,7.3405,7.3405,286
2016-02-04,7.2752,7.3405,7.079,7.3405,202
2016-02-05,7.3405,7.3765,7.268,7.3765,639
2016-02-08,7.2752,7.3844,7.2752,7.3844,34
2016-02-09,7.3844,7.7765,7.1953,7.7765,1161
2016-02-10,7.7765,7.7765,7.704,7.704,3
2016-02-11,7.704,7.704,7.704,7.704,5
2016-02-12,7.704,7.704,7.704,7.704,7
2016-02-15,7.704,7.704,7.704,7.704,2
2016-02-16,7.704,7.704,7.704,7.704,6
2016-02-17,7.704,7.704,7.704,7.704,2
2016-02-18,7.704,7.704,7.4495,7.4495,1616
2016-02-19,7.4495,7.4495,7.4495,7.4495,67
2016-02-22,7.4495,7.4495,7.2752,7.2752,302
2016-02-23,7.268,7.3405,7.268,7.268,14351
2016-02-24,7.268,7.2752,7.268,7.268,4894
2016-02-25,7.268,7.268,7.1662,7.268,409
2016-02-26,7.268,7.2752,7.268,7.2752,352
2016-02-29,7.268,7.3765,7.1081,7.3765,2103
2016-03-01,7.3552,7.3552,7.268,7.268,532
2016-03-02,7.2752,7.3765,7.2752,7.3624,1297
2016-03-03,7.3624,7.6315,7.3624,7.6315,191
2016-03-04,7.6315,7.6315,7.3624,7.5956,104
2016-03-07,7.6092,7.6315,7.6092,7.6315,2
2016-03-08,7.3765,7.6315,7.3765,7.486,1916
2016-03-09,7.3765,7.413,7.3765,7.413,14
2016-03-10,7.413,7.7184,7.413,7.7184,700
2016-03-11,7.4495,7.704,7.4495,7.704,454
2016-03-14,7.9794,7.9794,7.7765,7.7765,8
2016-03-15,7.9794,7.9877,7.7399,7.9877,523
2016-03-16,8.0959,8.0959,7.9586,7.9586,53
2016-03-17,7.9586,7.9586,7.7981,7.8498,966
2016-03-18,7.8498,7.8498,7.8498,7.8498,2
2016-03-21,7.9794,7.9794,7.6171,7.6171,965
2016-03-22,7.704,7.704,7.5588,7.5588,25534
2016-03-23,7.6968,7.6968,7.3405,7.3405,1675
2016-03-24,7.8498,7.8498,7.079,7.348,9003
2016-03-29,7.3405,7.3405,7.3405,7.3405,779
2016-03-30,7.4208,7.4208,7.4208,7.4208,2
2016-03-31,7.4929,7.4929,7.4208,7.4929,283
2016-04-01,7.486,7.9295,7.3043,7.9295,2733
2016-04-04,7.922,7.922,7.922,7.922,91
2016-04-05,7.8498,7.8498,7.6673,7.8419,28
2016-04-06,7.7765,7.8419,7.7765,7.8419,69
2016-04-07,7.8419,7.8419,7.7765,7.7765,2
2016-04-08,7.6673,7.8132,7.6673,7.8132,269
2016-04-11,7.8132,7.8132,7.6315,7.6673,1117
2016-04-12,7.6315,7.6315,7.6315,7.6315,1
2016-04-13,7.6315,7.6315,7.6315,7.6315,2
2016-04-14,7.5956,7.6315,7.5956,7.6315,268
2016-04-15,7.3405,7.6315,7.3405,7.6315,183
2016-04-18,7.6315,7.6673,7.6315,7.6673,196
2016-04-19,7.9295,8.0094,7.6315,8.0094,38205
2016-04-20,8.0019,8.8515,7.9586,8.8515,11105
2016-04-21,8.7941,8.7941,8.576,8.7874,1186
2016-04-22,8.8515,8.8515,8.7209,8.8307,4744
2016-04-25,8.6343,8.7209,8.6343,8.7209,68830
2016-04-26,8.8515,8.8515,8.8307,8.8307,209
2016-04-27,8.8307,8.8307,8.5036,8.5036,676
2016-04-28,8.8307,8.8307,8.5036,8.5036,881
2016-04-29,8.7142,8.7209,8.5036,8.7209,1398
2016-05-02,8.7209,8.7209,8.7209,8.7209,69
2016-05-04,8.7209,8.7209,8.6126,8.7209,993
2016-05-05,8.7209,8.7209,8.7142,8.7142,2
2016-05-06,8.7209,8.7209,8.7142,8.7142,2
2016-05-09,8.7142,8.7142,8.7142,8.7142,2
2016-05-10,8.7142,8.7142,7.8498,8.1758,1287
2016-05-11,8.1758,8.1758,8.1758,8.1758,275
2016-05-13,8.6492,8.6492,8.2848,8.358,294
2016-05-16,8.576,8.576,8.2424,8.2424,692
2016-05-17,8.2424,8.4238,8.2424,8.4238,24
2016-05-18,8.576,8.576,8.576,8.576,7
2016-05-19,8.358,8.358,8.1841,8.358,280
2016-05-20,8.1841,8.358,8.1841,8.358,54
2016-05-23,8.576,8.576,8.2124,8.358,1034
2016-05-24,8.576,8.576,8.1841,8.576,268
2016-05-25,8.5686,8.5686,8.5394,8.5394,2
2016-05-27,8.576,8.576,8.576,8.576,2
2016-05-30,8.5686,8.5686,8.5619,8.5619,2
2016-05-31,8.5619,8.5619,8.5544,8.5544,25
2016-06-01,8.5619,8.5619,8.279,8.5394,547
2016-06-02,8.5394,8.5394,8.5036,8.5394,120
2016-06-03,8.5394,8.5394,8.5394,8.5394,2
2016-06-06,8.5394,8.5394,8.5394,8.5394,309
2016-06-07,8.5394,8.5394,8.279,8.5036,141
2016-06-08,8.5394,8.5394,8.031,8.031,1321
2016-06-09,8.031,8.1758,7.7917,7.7917,166620
2016-06-10,7.6315,7.922,7.6315,7.922,291
2016-06-13,8.1758,8.1758,7.8858,7.8858,700
2016-06-14,8.1758,8.1758,7.922,7.922,60
2016-06-15,7.9794,7.9794,7.9794,7.9794,2
2016-06-16,7.9952,8.1758,7.7184,8.1758,14
2016-06-17,8.1758,8.1758,7.7399,7.7399,30
2016-06-20,7.7184,7.7255,7.7184,7.7255,2
2016-06-21,7.7184,7.7255,7.7184,7.7255,3
2016-06-22,7.7255,7.7335,7.7255,7.7335,2
2016-06-23,7.7335,8.1841,7.7335,8.1841,44
2016-06-24,7.6315,7.8498,7.5588,7.8498,1500
2016-06-27,7.8419,7.8419,7.6315,7.8419,532
2016-06-28,7.8419,7.8419,7.8419,7.8419,2
2016-06-29,7.8419,7.8419,7.8419,7.8419,2
2016-06-30,7.8419,8.0094,7.8419,8.0094,663
2016-07-01,8.1841,8.358,8.0959,8.358,578
2016-07-04,8.358,8.358,8.2848,8.2848,2
2016-07-05,8.2848,8.2848,7.922,8.2124,77
2016-07-06,8.2124,8.2124,8.2058,8.2058,2
2016-07-07,8.2058,8.2058,7.8347,8.14,590
2016-07-08,8.358,8.358,8.358,8.358,16
2016-07-11,8.358,8.358,8.358,8.358,2
2016-07-12,8.358,8.358,8.2848,8.2848,2
2016-07-13,8.0743,8.1184,7.893,7.9001,881
2016-07-14,7.9001,8.14,7.9001,7.9952,17
2016-07-15,7.9001,8.3214,7.9001,8.3214,6259
2016-07-18,8.1042,8.4162,8.1042,8.358,104
2016-07-19,8.358,8.5036,8.2848,8.5036,8487
2016-07-20,8.5036,8.5036,8.4961,8.4961,22
2016-07-21,8.4961,8.4961,8.1983,8.4961,86
2016-07-22,8.4961,8.4961,8.1983,8.4961,564
2016-07-25,8.4313,8.4313,8.358,8.4238,3
2016-07-26,8.358,8.358,8.358,8.358,2
2016-07-27,8.358,8.358,8.14,8.358,376
2016-07-28,8.358,8.358,8.14,8.14,317
2016-07-29,8.0676,8.14,8.0676,8.14,8
2016-08-01,8.1625,8.358,8.14,8.358,3710
2016-08-02,8.3955,8.3955,8.358,8.358,418
2016-08-03,8.358,8.358,8.358,8.358,3
2016-08-04,8.358,8.358,8.14,8.3505,345
2016-08-05,8.3505,8.3505,8.14,8.2565,1701
2016-08-08,8.3214,8.3214,8.3214,8.3214,347
2016-08-09,8.2124,8.358,8.2124,8.358,466
2016-08-10,8.373,8.4745,8.373,8.4379,2712
2016-08-11,8.4379,8.4379,8.4313,8.4379,5886
2016-08-12,8.4379,8.5619,8.4313,8.5619,2597
2016-08-16,8.5686,8.7291,8.5686,8.7209,2287
2016-08-17,8.7209,8.7209,8.7209,8.7209,1455
2016-08-18,8.7209,8.7209,8.6126,8.7209,118
2016-08-19,8.7209,8.7209,8.6126,8.6709,486
2016-08-22,8.7209,8.7209,8.467,8.6492,518
2016-08-23,8.7209,8.7209,8.3148,8.467,326
2016-08-24,8.7209,8.7209,8.467,8.467,141
2016-08-25,8.7209,8.7209,8.6418,8.7209,1393
2016-08-26,8.7209,8.7209,8.373,8.7209,1226
2016-08-29,8.7209,8.7209,8.7209,8.7209,2
2016-08-30,8.7209,8.7209,8.7075,8.7142,1829
2016-08-31,8.6126,8.6126,8.6126,8.6126,17
