Date,Open,High,Low,Close,Volume
2010-01-04,26.719,27.701,26.719,27.676,337922
2010-01-05,27.676,28.138,27.676,27.971,352645
2010-01-06,28.138,28.138,27.76,28.138,224072
2010-01-07,27.971,28.012,27.592,27.635,132696
2010-01-08,27.963,27.963,27.3,27.3,168827
2010-01-11,27.886,28.054,27.551,27.719,142646
2010-01-12,27.878,27.878,26.711,26.786,254287
2010-01-13,26.693,26.88,26.299,26.668,298406
2010-01-14,26.88,27.063,26.702,26.786,116706
2010-01-15,27.004,27.534,26.743,26.743,257632
2010-01-18,26.82,27.131,26.752,26.895,145626
2010-01-19,26.895,27.029,26.375,27.029,249688
2010-01-20,26.752,27.215,26.752,26.938,111779
2010-01-21,26.88,26.88,26.123,26.123,532740
2010-01-22,25.442,25.442,24.358,24.695,2223915
2010-01-25,24.552,24.686,24.25,24.25,452047
2010-01-26,24.098,24.098,23.098,23.562,516265
2010-01-27,23.603,24.013,23.409,23.409,707095
2010-01-28,24.064,24.064,23.518,23.518,249061
2010-01-29,23.72,23.72,23.477,23.562,317551
2010-02-01,23.518,23.762,23.166,23.233,169342
2010-02-02,23.359,23.72,23.359,23.603,288554
2010-02-03,23.939,24.132,23.518,23.518,507179
2010-02-04,23.686,23.686,22.302,22.427,387426
2010-02-05,21.83,22.133,21.209,21.805,582448
2010-02-08,22.025,22.57,21.587,21.797,279996
2010-02-09,21.923,22.183,21.838,21.923,216586
2010-02-10,22.217,22.343,21.763,21.797,231043
2010-02-11,22.032,22.107,21.436,21.436,329948
2010-02-12,21.83,22.107,21.611,21.923,248157
2010-02-15,21.94,22.065,21.763,21.897,157277
2010-02-16,22.007,22.2,21.805,21.814,219032
2010-02-17,22.174,23.016,22.091,22.973,458703
2010-02-18,22.889,23.183,22.687,22.94,182253
2010-02-19,22.712,23.048,22.435,22.696,309082
2010-02-22,23.226,23.267,22.762,22.847,215603
2010-02-23,23.335,23.343,22.259,22.679,350298
2010-02-24,22.502,22.638,22.284,22.302,146340
2010-02-25,22.302,22.629,21.041,21.486,327431
2010-02-26,21.671,22.931,21.671,22.931,605526
2010-03-01,23.098,23.267,22.78,23.107,253060
2010-03-02,23.686,23.771,23.115,23.771,342067
2010-03-03,23.896,23.939,23.544,23.813,226556
2010-03-04,23.72,24.148,23.518,23.518,215657
2010-03-05,23.603,23.939,23.518,23.914,180376
2010-03-08,24.081,24.123,23.896,24.09,283734
2010-03-09,23.939,23.981,22.931,23.771,407028
2010-03-10,23.468,24.174,23.468,23.939,331528
2010-03-11,24.191,24.191,23.813,24.107,245979
2010-03-12,24.157,24.71,23.948,24.098,474589
2010-03-15,24.191,24.358,23.695,23.754,230275
2010-03-16,23.771,24.4,23.771,24.267,218505
2010-03-17,24.611,24.988,24.434,24.568,473781
2010-03-18,24.628,25.055,24.628,24.813,495153
2010-03-19,25.072,25.182,24.241,24.988,1375050
2010-03-22,24.988,25.14,24.611,24.778,138401
2010-03-23,25.182,25.207,24.778,24.787,157997
2010-03-24,24.947,25.131,22.931,24.2,449184
2010-03-25,24.518,25.182,24.4,25.182,264749
2010-03-26,25.182,25.325,24.778,25.325,385276
2010-03-29,25.334,25.702,24.988,25.072,246697
2010-03-30,25.156,25.334,24.947,25.199,84793
2010-03-31,25.174,25.241,24.778,24.778,227300
2010-04-01,25.191,25.451,25.031,25.442,276928
2010-04-06,25.619,26.777,25.492,26.375,462983
2010-04-07,26.501,26.752,26.233,26.501,362169
2010-04-08,26.291,26.45,26.139,26.45,179199
2010-04-09,26.543,27.266,26.543,27.131,318924
2010-04-12,27.131,28.054,27.131,27.929,520415
2010-04-13,27.845,27.929,27.467,27.719,1136040
2010-04-14,27.929,27.929,27.525,27.719,208053
2010-04-15,27.845,27.845,26.88,27.509,202071
2010-04-16,27.148,27.886,27.089,27.719,397112
2010-04-19,27.139,27.139,26.308,26.752,308937
2010-04-20,26.88,27.004,26.501,26.954,254881
2010-04-21,26.963,27.3,26.752,26.795,155273
2010-04-22,26.459,26.661,25.535,25.744,241607
2010-04-23,26.123,26.283,26.039,26.249,125017
2010-04-26,26.886,27.534,26.886,27.509,247095
2010-04-27,27.063,27.802,27.063,27.676,553559
2010-04-28,26.921,27.34,26.88,26.88,222773
2010-04-29,26.88,27.3,26.88,27.223,637310
2010-04-30,27.886,28.113,27.3,27.719,536588
2010-05-04,28.012,28.096,26.459,26.711,545649
2010-05-05,26.375,27.122,26.046,26.123,705741
2010-05-06,25.619,26.021,25.031,25.366,904339
2010-05-07,24.358,25.031,24.358,24.552,554850
2010-05-10,24.787,26.299,24.787,26.249,429965
2010-05-11,26.661,26.693,26.064,26.383,310911
2010-05-12,26.459,27.635,26.375,27.038,319645
2010-05-13,27.3,27.467,26.459,26.668,271326
2010-05-14,26.777,26.862,25.702,25.702,287755
2010-05-17,25.602,25.778,25.072,25.619,290303
2010-05-18,26.332,26.332,25.661,26.039,651222
2010-05-19,25.787,25.787,24.527,24.804,514797
2010-05-20,25.115,25.199,23.518,23.562,282492
2010-05-21,23.562,24.358,23.518,24.276,548322
2010-05-24,24.51,24.804,24.031,24.434,234657
2010-05-25,23.603,24.013,23.527,23.703,576117
2010-05-26,24.064,24.947,23.981,24.947,376735
2010-05-27,24.947,25.912,24.947,25.912,199613
2010-05-28,26.039,26.752,26.039,26.668,378944
2010-05-31,26.594,26.752,26.039,26.752,94885
2010-06-01,26.416,26.442,25.956,26.055,144503
2010-06-02,26.039,27.047,25.888,26.871,205342
2010-06-04,26.921,27.3,25.719,26.375,154005
2010-06-07,25.702,26.375,25.56,26.332,201399
2010-06-08,26.425,26.459,25.543,26.425,91511
2010-06-09,26.702,26.702,26.039,26.459,144180
2010-06-10,26.459,26.786,26.046,26.752,87291
2010-06-11,26.88,27.047,26.13,26.13,157573
2010-06-14,26.627,26.627,26.207,26.207,120244
2010-06-15,26.249,26.366,25.871,26.039,88752
2010-06-16,26.627,26.627,25.787,26.283,66055
2010-06-17,26.046,26.752,25.971,25.971,160245
2010-06-18,26.039,26.459,25.619,25.619,381628
2010-06-21,26.08,26.332,25.997,26.249,66407
2010-06-22,26.207,26.416,26.046,26.291,90639
2010-06-23,26.123,26.257,25.611,25.862,73632
2010-06-24,25.912,25.921,24.947,25.619,130768
2010-06-25,25.862,25.912,25.3,25.619,74423
2010-06-28,25.619,25.787,24.964,25.081,163270
2010-06-29,25.115,25.115,24.35,24.695,168385
2010-06-30,24.778,24.879,24.232,24.232,110852
2010-07-01,24.191,24.343,23.813,23.813,355315
2010-07-02,24.174,24.358,23.981,24.241,69086
2010-07-05,24.426,24.442,24.191,24.276,44914
2010-07-06,24.536,24.863,24.527,24.695,98662
2010-07-07,24.358,24.358,24.039,24.267,163643
2010-07-08,24.704,24.863,24.568,24.653,106562
2010-07-09,24.863,25.031,24.745,24.778,82029
2010-07-12,24.82,25.737,24.778,25.199,154009
2010-07-13,25.433,26.039,24.897,24.897,150151
2010-07-14,25.871,25.871,25.334,25.535,228548
2010-07-15,25.744,26.207,25.661,26.039,203346
2010-07-16,26.123,26.233,25.787,25.956,202787
2010-07-19,25.702,26.039,25.594,25.997,56231
2010-07-20,25.787,26.021,25.366,25.787,191884
2010-07-21,25.871,26.543,25.795,26.543,342639
2010-07-22,26.442,27.047,26.224,27.047,342497
2010-07-23,27.047,27.172,26.88,27.172,223979
2010-07-26,27.3,27.3,26.727,27.013,103776
2010-07-27,27.266,27.34,27.054,27.3,229005
2010-07-28,27.3,27.34,26.88,26.88,91491
2010-07-29,26.963,27.331,26.803,26.963,88129
2010-07-30,26.963,27.207,26.668,27.157,329620
2010-08-02,27.291,27.886,27.157,27.845,351689
2010-08-03,27.845,28.054,26.921,27.845,359686
2010-08-04,27.795,28.81,27.475,28.642,353070
2010-08-05,28.39,29.314,28.39,28.39,443670
2010-08-06,28.592,28.769,27.92,27.987,104749
2010-08-09,28.323,28.39,27.719,27.719,121002
2010-08-10,27.719,27.719,26.375,26.375,391752
2010-08-11,26.375,26.61,25.956,26.13,356742
2010-08-12,26.249,26.661,25.956,26.039,232554
2010-08-13,26.45,26.492,26.123,26.123,164200
2010-08-16,26.123,26.375,26.08,26.375,53202
2010-08-17,26.366,26.752,26.123,26.711,55766
2010-08-18,26.963,26.963,26.215,26.215,95284
2010-08-19,26.459,26.618,25.956,26.383,251282
2010-08-20,25.938,26.123,25.921,26.03,96747
