Date,Open,High,Low,Close,Volume
2010-01-04,0.5711,0.6091,0.5711,0.594,13266
2010-01-05,0.6015,0.6091,0.5331,0.5331,14659
2010-01-06,0.5786,0.6091,0.5482,0.6015,13414
2010-01-07,0.6015,0.6015,0.5862,0.6015,1668
2010-01-08,0.6015,0.6397,0.594,0.6319,4067
2010-01-11,0.6319,0.6319,0.594,0.6319,3021
2010-01-12,0.6319,0.6319,0.5862,0.6243,14892
2010-01-13,0.6167,0.6243,0.5482,0.6167,15747
2010-01-15,0.5786,0.7384,0.5786,0.708,115280
2010-01-18,0.7384,0.7384,0.6471,0.7384,41421
2010-01-19,0.7384,0.8299,0.7006,0.7614,72726
2010-01-20,0.7995,0.9442,0.7614,0.9138,132061
2010-01-21,0.9138,0.9442,0.8224,0.8984,97750
2010-01-22,0.7995,0.8376,0.7614,0.7844,37776
2010-01-25,0.7692,0.8147,0.7384,0.7918,18649
2010-01-26,0.8376,0.8376,0.6852,0.7157,27330
2010-01-27,0.7462,0.7995,0.6928,0.7844,64689
2010-01-28,0.8376,0.9366,0.7614,0.891,326680
2010-01-29,0.8376,0.9061,0.8147,0.8758,36897
2010-02-01,0.8299,0.9671,0.8299,0.929,38523
2010-02-02,0.9138,1.1117,0.8984,1.066,234292
2010-02-03,1.0965,1.3325,1.066,1.3325,188596
2010-02-04,1.3628,1.4925,1.2259,1.2259,202270
2010-02-05,1.1497,1.2563,1.0508,1.1877,109504
2010-02-08,1.1877,1.1877,1.0739,1.1497,63294
2010-02-09,1.1269,1.1877,1.0888,1.1649,27232
2010-02-10,1.1953,1.3935,1.1953,1.3097,111593
2010-02-11,1.3554,1.3858,1.2183,1.302,53374
2010-02-12,1.3097,1.3097,1.2183,1.2489,15657
2010-02-15,1.2944,1.2944,1.2183,1.2563,19757
2010-02-16,1.2259,1.2259,1.1422,1.1877,37568
2010-02-17,1.1953,1.1953,1.066,1.1193,19508
2010-02-18,1.1041,1.2335,1.0965,1.1117,56279
2010-02-19,1.2031,1.2031,1.1041,1.1574,41209
2010-02-22,1.0739,1.1497,1.0739,1.1041,5703
2010-02-23,1.0432,1.1422,1.0432,1.0965,9092
2010-02-24,1.0432,1.0432,0.9366,0.9747,48661
2010-02-25,1.0432,1.0508,0.929,1.028,21252
2010-02-26,0.9518,1.1344,0.9518,1.066,25111
2010-03-01,1.1041,1.1041,0.9594,1.066,21401
2010-03-02,1.066,1.066,1.0051,1.066,6231
2010-03-03,1.066,1.066,0.9594,1.0508,33935
2010-03-04,1.0508,1.1803,1.0508,1.1497,42541
2010-03-05,1.1193,1.1877,1.0888,1.1344,33587
2010-03-08,1.0888,1.1574,1.066,1.1269,4355
2010-03-09,1.066,1.1803,1.066,1.1725,31488
2010-03-10,1.1117,1.1574,1.066,1.1574,8116
2010-03-11,1.0888,1.1193,1.066,1.1041,36355
2010-03-12,1.1041,1.1041,1.0432,1.0888,18066
2010-03-15,1.1041,1.1041,1.028,1.0813,1486
2010-03-16,1.0508,1.0888,0.9899,1.0585,34323
2010-03-17,1.0888,1.0888,0.9899,1.0739,28350
2010-03-18,0.9974,1.0508,0.9671,1.0204,18021
2010-03-19,0.9823,1.0204,0.9594,1.0204,4331
2010-03-22,0.9671,0.9671,0.9671,0.9671,2758
2010-03-23,0.9899,1.0204,0.9899,1.0204,2041
2010-03-24,1.0508,1.0508,1.0432,1.0432,525
2010-03-25,1.0432,1.0432,1.0432,1.0432,131
2010-03-26,0.9899,1.0204,0.9594,1.0204,2380
2010-03-29,0.9899,1.0432,0.9671,1.0432,3345
2010-03-30,0.9671,1.0357,0.9671,1.028,2000
2010-04-01,0.9823,1.028,0.9823,1.028,4282
2010-04-06,0.9974,1.028,0.9974,1.028,1262
2010-04-07,1.028,1.066,1.028,1.066,14579
2010-04-08,0.9899,1.1344,0.9899,1.1193,35175
2010-04-09,1.1193,1.1574,1.0888,1.1344,13748
2010-04-12,1.1574,1.1574,1.0739,1.1193,5862
2010-04-13,0.9671,1.1041,0.9671,1.066,4335
2010-04-14,1.0432,1.0432,1.0432,1.0432,11
2010-04-15,1.028,1.028,1.0128,1.0128,8546
2010-04-19,0.9899,1.028,0.9899,1.028,1564
2010-04-21,0.9899,1.028,0.9899,0.9974,2311
2010-04-22,1.028,1.0357,1.0204,1.0357,4989
2010-04-23,1.0357,1.0432,0.9899,1.028,8763
2010-04-26,1.0585,1.0585,1.028,1.028,1756
2010-04-28,1.0204,1.0357,1.0204,1.0357,3237
2010-04-30,1.0508,1.0585,1.0508,1.0585,9853
2010-05-04,1.0965,1.0965,1.0965,1.0965,131
2010-05-05,1.1193,1.1193,1.1193,1.1193,131
2010-05-06,1.028,1.0965,1.028,1.0965,1438
2010-05-07,0.9671,1.0585,0.9671,1.0585,1030
2010-05-10,0.9594,1.0739,0.9594,1.0739,863
2010-05-11,1.066,1.0888,0.9899,1.0888,19859
2010-05-17,1.066,1.066,0.9823,0.9823,19503
2010-05-18,1.028,1.0585,1.028,1.0585,2886
2010-05-19,0.9823,1.0508,0.9823,1.0508,766
2010-05-20,0.9671,1.0357,0.9594,1.0357,2758
2010-05-24,0.9823,1.0204,0.9823,1.0204,525
2010-05-25,0.9594,1.0357,0.8681,1.028,264
2010-05-28,0.9899,0.9899,0.9899,0.9899,1575
2010-05-31,0.9899,0.9899,0.9899,0.9899,1707
2010-06-01,1.0204,1.0204,1.0204,1.0204,131
2010-06-02,0.9138,0.9899,0.9138,0.9823,3810
2010-06-04,0.9823,0.9823,0.9138,0.929,3070
2010-06-07,1.0128,1.0128,0.8984,0.9594,4990
2010-06-08,0.9138,0.9823,0.8832,0.8832,3953
2010-06-09,0.8681,0.8832,0.7918,0.8603,13787
2010-06-10,0.7995,0.8603,0.7995,0.8603,938
2010-06-11,0.8529,0.8529,0.8529,0.8529,13
2010-06-15,0.8529,0.8529,0.8529,0.8529,6
2010-06-17,0.7918,0.7918,0.7006,0.7844,14296
2010-06-21,0.7233,0.7233,0.7157,0.7157,3941
2010-06-22,0.7233,0.7844,0.7233,0.7844,5056
2010-06-24,0.7766,0.7766,0.6547,0.7614,22139
2010-06-25,0.7844,0.7844,0.7614,0.7766,563
2010-06-28,0.7844,0.7844,0.7844,0.7844,82
2010-07-01,0.731,0.7766,0.731,0.7766,874
2010-07-02,0.731,0.7766,0.731,0.7766,3256
