Date,Open,High,Low,Close,Volume
2010-01-04,9.758,9.819,9.698,9.764,2792861
2010-01-05,9.843,10.106,9.771,10.003,5404258
2010-01-06,10.014,10.117,9.947,10.117,3187798
2010-01-07,9.947,10.088,9.923,9.99,2989729
2010-01-08,10.063,10.173,10.033,10.112,3390662
2010-01-11,10.039,10.154,10.003,10.117,1540322
2010-01-12,9.978,10.112,9.892,10.088,2302668
2010-01-13,10.003,10.289,9.971,10.277,3979570
2010-01-14,10.307,10.307,9.899,9.996,2430047
2010-01-15,9.954,9.978,9.875,9.892,4061860
2010-01-18,9.813,9.959,9.813,9.838,1551644
2010-01-19,9.849,9.947,9.808,9.868,3977541
2010-01-20,9.881,9.996,9.771,9.996,5403283
2010-01-21,9.978,9.978,9.813,9.875,1933052
2010-01-22,9.782,9.856,9.734,9.789,2985843
2010-01-25,9.856,9.868,9.764,9.856,2051563
2010-01-26,9.758,9.868,9.71,9.8,2483245
2010-01-27,9.808,9.99,9.739,9.819,3298610
2010-01-28,9.929,9.929,9.789,9.819,4084249
2010-01-29,9.875,9.956,9.788,9.908,4288778
2010-02-01,9.838,9.941,9.789,9.789,1692822
2010-02-02,9.789,9.849,9.612,9.667,4709004
2010-02-03,9.789,9.789,9.618,9.739,3713946
2010-02-04,9.672,9.739,9.429,9.4529,2184909
2010-02-05,9.4777,9.4844,9.1846,9.239,6205811
2010-02-08,9.3975,9.4471,9.1111,9.1541,3952296
2010-02-09,9.2696,9.3622,9.1484,9.1484,4191838
2010-02-10,9.1846,9.2696,9.1484,9.2276,4807732
2010-02-11,9.1913,9.4347,9.1302,9.4233,5939943
2010-02-12,9.4471,9.606,9.2095,9.4471,2717744
2010-02-15,9.3927,9.575,9.2944,9.575,2011204
2010-02-16,9.4777,9.569,9.1608,9.2209,5221015
2010-02-17,9.2763,9.3431,9.1846,9.282,2441765
2010-02-18,9.2095,9.3192,9.1789,9.2648,4489481
2010-02-19,9.1665,9.386,9.1665,9.1913,2566389
2010-02-22,9.2581,9.4042,9.2161,9.3746,3397285
2010-02-23,9.503,9.679,9.4529,9.606,11027544
