Date,Open,High,Low,Close,Volume
2018-06-26,1.99,1.99,1.73,1.73,221427
2018-06-27,1.7,1.72,1.4,1.52,45731
2018-06-28,1.54,1.54,1.45,1.52,19976
2018-06-29,1.46,1.46,1.36,1.4,15281
2018-07-02,1.49,1.5,1.36,1.4,1842
2018-07-03,1.33,1.44,1.2,1.36,7471
2018-07-04,1.32,1.44,1.26,1.44,1316
2018-07-05,1.49,1.49,1.32,1.49,11548
2018-07-06,1.48,1.48,1.4,1.45,7005
2018-07-09,1.35,1.45,1.35,1.4,9810
2018-07-10,1.45,1.45,1.3,1.36,3469
2018-07-11,1.35,1.38,1.2,1.29,28179
2018-07-12,1.2,1.27,1.1,1.26,12030
2018-07-13,1.25,1.3,1.15,1.3,4486
2018-07-16,1.48,1.48,1.44,1.44,7754
2018-07-17,1.39,1.58,1.39,1.58,37322
2018-07-18,1.5,1.59,1.48,1.59,23765
2018-07-19,1.51,1.56,1.25,1.55,11255
2018-07-20,1.55,1.57,1.42,1.55,18113
2018-07-23,1.5,1.5,1.31,1.49,2192
2018-07-24,1.49,1.49,1.49,1.49,1
2018-07-25,1.42,1.42,1.39,1.42,5515
2018-07-26,1.41,1.51,1.41,1.51,2204
2018-07-27,1.4,1.43,1.4,1.43,3051
2018-07-30,1.43,1.49,1.39,1.46,2654
2018-07-31,1.47,1.47,1.39,1.46,4101
2018-08-01,1.46,1.5,1.42,1.5,3509
2018-08-02,1.46,1.5,1.44,1.5,797
2018-08-03,1.49,1.5,1.49,1.5,11
2018-08-06,1.41,1.49,1.35,1.43,2894
2018-08-07,1.43,1.43,1.36,1.43,816
2018-08-08,1.41,1.54,1.35,1.54,1761
2018-08-09,1.54,1.54,1.49,1.51,5235
2018-08-10,1.54,1.74,1.52,1.55,8469
2018-08-13,1.55,1.55,1.52,1.52,815
2018-08-14,1.51,1.66,1.5,1.64,10269
2018-08-16,1.52,1.52,1.4,1.52,1860
2018-08-17,1.46,1.52,1.46,1.52,258
2018-08-20,1.5,1.5,1.5,1.5,2050
2018-08-21,1.44,1.55,1.41,1.55,11287
2018-08-22,1.55,1.55,1.41,1.41,2079
2018-08-23,1.54,1.55,1.48,1.52,689
2018-08-24,1.5,1.52,1.47,1.52,951
2018-08-27,1.52,1.52,1.51,1.52,61
2018-08-28,1.47,1.48,1.38,1.48,1725
2018-08-29,1.48,1.48,1.48,1.48,1000
2018-08-30,1.44,1.5,1.43,1.5,2306
2018-08-31,1.5,1.5,1.4,1.49,722
2018-09-03,1.5,1.5,1.4,1.47,770
2018-09-04,1.47,1.47,1.4,1.47,20008
2018-09-05,1.47,1.53,1.44,1.52,4362
2018-09-06,1.55,1.55,1.47,1.55,271
2018-09-07,1.55,1.55,1.46,1.54,711
2018-09-10,1.45,1.54,1.45,1.54,701
2018-09-11,1.42,1.44,1.4,1.44,906
2018-09-12,1.4,1.44,1.25,1.44,3503
2018-09-13,1.44,1.44,1.44,1.44,200
2018-09-14,1.4,1.5,1.4,1.5,2402
2018-09-17,1.5,1.5,1.38,1.41,746
2018-09-18,1.4,1.4,1.26,1.4,276
2018-09-19,1.26,1.5,1.26,1.5,6791
2018-09-20,1.33,1.54,1.33,1.54,3054
2018-09-21,1.54,1.55,1.47,1.55,1649
2018-09-24,1.55,1.55,1.38,1.55,860
2018-09-25,1.55,1.55,1.55,1.55,10
2018-09-26,1.55,1.55,1.55,1.55,10
2018-09-27,1.49,1.49,1.49,1.49,10
2018-09-28,1.49,1.49,1.49,1.49,5
2018-10-01,1.49,1.49,1.49,1.49,10
2018-10-02,1.49,1.49,1.31,1.41,5447
2018-10-03,1.48,1.49,1.41,1.49,821
2018-10-04,1.49,1.49,1.36,1.47,1930
2018-10-08,1.48,1.54,1.4,1.42,19961
2018-10-09,1.41,1.48,1.41,1.48,101
2018-10-11,1.48,1.48,1.39,1.48,528
2018-10-12,1.4,1.45,1.39,1.44,2208
2018-10-15,1.44,1.54,1.44,1.54,101
2018-10-16,1.48,1.57,1.48,1.55,5995
2018-10-17,1.58,1.63,1.52,1.57,1800
2018-10-18,1.57,1.57,1.57,1.57,1
