Date,Open,High,Low,Close,Volume
2010-01-04,96.754,100.21,96.359,100.04,1471098
2010-01-05,100.56,101.93,100.1,101.63,1208011
2010-01-06,101.63,101.63,100.75,101.46,330505
2010-01-07,100.21,101.22,99.91,100.98,504552
2010-01-08,101.52,102.64,101.09,102.05,950056
2010-01-11,102.77,104.36,102.41,103.89,761450
2010-01-12,103.83,104.19,103.11,103.58,1711865
2010-01-13,102.7,104.9,102.7,104.49,460843
2010-01-14,105.67,105.67,103.58,104.19,650867
2010-01-15,104.19,105.32,103.83,103.89,854595
2010-01-18,103.95,104.49,103.89,104.49,240105
2010-01-19,104.49,106.57,103.95,106.57,585308
2010-01-20,106.14,106.62,105.5,106.26,722996
2010-01-21,106.14,106.85,106.09,106.45,1366400
2010-01-22,104.9,105.5,102.11,102.11,1185937
2010-01-25,102.11,103,100.1,100.93,1252913
2010-01-26,100.04,100.04,98.144,98.548,1342936
2010-01-27,98.191,99.084,97.712,98.548,696639
2010-01-28,99.74,100.93,98.661,98.849,1027091
2010-01-29,99.15,101.52,98.37,101.52,1455403
2010-02-01,100.32,101.28,99.79,100.32,458862
2010-02-02,100.69,101.09,98.905,99.74,523064
2010-02-03,100.93,100.98,98.661,99.14,774164
2010-02-04,99.084,99.74,96.472,96.472,773596
2010-02-05,94.988,94.988,91.599,92.08,1315900
2010-02-08,92.675,93.616,89.414,90.297,1136208
2010-02-09,92.019,92.483,90.533,90.533,1176691
2010-02-10,91.302,92.203,90.411,90.411,1038813
2010-02-11,91.416,91.722,87.271,88.041,788083
2010-02-12,89.528,91.014,88.46,90.533,1254650
2010-02-15,91.128,94.809,90.882,94.687,1083078
2010-02-16,94.988,95.702,92.561,92.788,610878
2010-02-17,94.809,94.988,94.039,94.866,591048
2010-02-18,93.86,94.452,92.317,92.605,576724
2010-02-19,90.411,93.208,90.411,90.839,513206
2010-02-22,92.447,93.261,91.416,92.605,380813
2010-02-23,92.605,93.983,92.256,92.85,653622
2010-02-24,92.08,93.208,90.882,92.08,223758
2010-02-25,92.08,93.673,90.297,90.839,764786
2010-02-26,91.128,93.436,90.953,93.436,741677
2010-03-01,93.795,94.687,92.019,94.396,290310
2010-03-02,94.687,97.834,92.963,97.365,1043007
2010-03-03,97.956,99.196,96.247,97.365,922220
2010-03-04,97.656,98.492,96.247,98.257,663168
2010-03-05,97.956,100.28,97.956,99.441,341266
2010-03-08,100.32,100.93,98.849,100.93,808750
2010-03-09,101.52,101.52,99.51,100.04,505507
2010-03-10,100.28,101.75,99.79,100.32,400503
2010-03-11,100.4,101.75,100.32,100.75,1321686
2010-03-12,101.75,101.87,100.32,100.63,779190
2010-03-15,99.74,100.93,98.605,99.14,1003610
2010-03-16,99.196,101.05,99.196,101.05,509182
2010-03-17,101.87,102.88,100.32,101.39,528730
2010-03-18,101.39,101.39,98.605,98.849,446944
2010-03-19,99.196,101.52,97.599,98.548,2076988
2010-03-22,99.74,99.74,97.534,99.14,440568
2010-03-23,99.74,99.98,97.712,98.257,619258
2010-03-24,100.32,100.51,97.956,98.548,393882
2010-03-25,99.55,101.46,98.849,101.22,1090314
2010-03-26,100.32,101.52,98.793,99.319,750348
2010-03-29,100.04,100.93,98.548,98.548,377112
2010-03-30,99.196,100.21,99.196,99.55,257154
2010-03-31,99.54,100.56,98.144,98.548,689908
2010-04-01,99.67,101.28,99.14,101.09,851369
2010-04-06,101.09,103.89,101.09,102.7,1282574
2010-04-07,102.11,103.07,101.57,102.64,1059398
2010-04-08,101.52,102.41,100.28,100.93,1061507
2010-04-09,102.29,102.7,101.75,102.23,1132933
