Date,Open,High,Low,Close,Volume
2010-01-04,3.0036,3.0348,2.9801,2.9801,3031142
2010-01-05,2.9879,3.0585,2.9879,2.9879,4898061
2010-01-06,3.0192,3.0192,2.9721,2.9801,6062119
2010-01-07,2.9721,2.9801,2.9017,2.9017,6799675
2010-01-08,2.9566,2.9566,2.8781,2.8781,7896145
2010-01-11,2.8938,2.9408,2.8938,2.9329,7866603
2010-01-12,2.9408,2.9408,2.8938,2.9173,5220262
2010-01-13,2.9017,2.9329,2.8938,2.9173,3196505
2010-01-14,2.9252,2.9721,2.9173,2.9643,7124660
2010-01-15,2.9801,3.0427,2.9408,3.0036,10386805
2010-01-18,3.0192,3.0192,2.9801,2.9957,2910607
2010-01-19,2.9957,2.9957,2.9566,2.9879,4407868
2010-01-20,2.9879,2.9879,2.9095,2.9408,3560123
2010-01-21,2.9408,2.9487,2.8858,2.9017,6639252
2010-01-22,2.8938,2.9017,2.8546,2.8546,6126849
2010-01-25,2.8625,2.9721,2.8625,2.9643,6817833
2010-01-26,2.9173,2.9643,2.9095,2.9566,3260877
2010-01-27,2.9643,2.9957,2.9173,2.9252,7993029
2010-01-28,2.9721,2.9879,2.9408,2.9643,4778185
2010-01-29,2.9838,2.9917,2.9677,2.9917,3237519
2010-02-01,2.9566,2.9879,2.9487,2.9721,2553068
2010-02-02,2.9721,3.0036,2.9487,2.9643,4045757
2010-02-03,2.9957,3.0036,2.9643,2.9957,3931065
2010-02-04,2.9801,2.9957,2.8625,2.9173,7544151
2010-02-05,2.8625,2.9252,2.7761,2.7839,11840578
2010-02-08,2.8232,2.8546,2.7605,2.7996,4642450
2010-02-09,2.8468,2.8781,2.7761,2.7761,5274827
2010-02-10,2.8232,2.8468,2.7527,2.7605,4713040
2010-02-11,2.7996,2.8074,2.729,2.729,7241333
2010-02-12,2.7605,2.8389,2.7605,2.8154,9412977
2010-02-15,2.8311,2.8389,2.7996,2.8074,5051709
2010-02-16,2.8232,2.8232,2.7839,2.8074,14055609
2010-02-17,2.8232,2.8625,2.8154,2.8154,5307612
2010-02-18,2.8154,2.8389,2.7527,2.7682,6277590
2010-02-19,2.7446,2.8468,2.7446,2.8389,5101429
2010-02-22,2.8546,2.8625,2.8074,2.8468,3277571
2010-02-23,2.8311,2.8546,2.8074,2.8074,4479728
2010-02-24,2.8074,2.8468,2.8074,2.8468,2589985
2010-02-25,2.8311,2.8546,2.7682,2.7761,6517791
2010-02-26,2.7996,2.8154,2.7682,2.7839,5748692
2010-03-01,2.8074,2.8074,2.7446,2.7682,12006991
2010-03-02,2.7839,2.7919,2.7527,2.7839,12762752
2010-03-03,2.7839,2.8074,2.7682,2.7919,11697640
2010-03-04,2.7919,2.8074,2.7761,2.7839,1785749
2010-03-05,2.8074,2.8154,2.7919,2.8074,3412039
2010-03-08,2.8154,2.8232,2.7839,2.8154,5306698
2010-03-09,2.8154,2.8154,2.7761,2.7996,3411982
2010-03-10,2.7996,2.8232,2.7839,2.8154,9824787
2010-03-11,2.8154,2.9017,2.8074,2.9017,11338420
2010-03-12,2.9095,2.9487,2.8546,2.8625,9823123
2010-03-15,2.8781,2.8938,2.8468,2.8625,11551729
2010-03-16,2.8625,2.9252,2.8625,2.9173,8801709
2010-03-17,2.9408,2.9487,2.8858,2.9095,6746285
2010-03-18,2.9252,2.9252,2.8546,2.8625,9874559
2010-03-19,2.8625,2.9566,2.8546,2.8701,20283533
2010-03-22,2.9173,2.9487,2.8625,2.8938,4867272
2010-03-23,2.8938,2.9329,2.8781,2.9017,3425245
2010-03-24,2.9017,2.9173,2.8546,2.8858,16678442
2010-03-25,2.8858,2.9017,2.8546,2.8701,11583672
2010-03-26,2.8781,2.8938,2.8625,2.8781,4988831
2010-03-29,2.8781,2.8858,2.8625,2.8625,2224724
2010-03-30,2.8781,2.8781,2.8546,2.8701,3449396
2010-03-31,2.8714,2.8794,2.8553,2.8714,4553120
2010-04-01,2.8701,2.8858,2.8625,2.8858,2824086
2010-04-06,2.9017,2.9095,2.8625,2.9017,6579629
2010-04-07,2.9095,2.9173,2.8858,2.9017,3435493
2010-04-08,2.9017,2.9095,2.8701,2.8781,2227396
2010-04-09,2.8938,2.9017,2.8625,2.8701,2656459
2010-04-12,2.8701,2.9017,2.8546,2.8546,4712804
2010-04-13,2.8546,2.8781,2.8468,2.8781,4390874
2010-04-14,2.8781,2.8858,2.8625,2.8858,2195052
2010-04-15,2.8701,2.8781,2.8625,2.8781,1314923
2010-04-16,2.8781,2.8781,2.8311,2.8546,3155195
2010-04-19,2.8311,2.8389,2.7919,2.7919,5638419
2010-04-20,2.8074,2.8311,2.7996,2.8154,2963340
2010-04-21,2.8232,2.8311,2.7839,2.8074,2574005
2010-04-22,2.8074,2.8154,2.7605,2.7605,5191252
2010-04-23,2.7913,2.7913,2.7592,2.7913,3145948
2010-04-26,2.8154,2.8546,2.7996,2.7996,2387596
2010-04-27,2.8154,2.8311,2.7369,2.7446,7409017
2010-04-28,2.7369,2.7605,2.7212,2.7527,3927645
2010-04-29,2.7682,2.7761,2.7527,2.7682,1985840
2010-04-30,2.7834,2.7834,2.7351,2.7351,3558051
2010-05-04,2.7682,2.7682,2.6428,2.6428,5334180
2010-05-05,2.6507,2.6819,2.6035,2.6271,6718789
2010-05-06,2.6271,2.6662,2.6035,2.6035,4648545
2010-05-07,2.5801,2.6035,2.5173,2.533,8885160
2010-05-10,2.6115,2.6351,2.5721,2.6271,6215563
2010-05-11,2.6271,2.7212,2.6115,2.6977,6027887
2010-05-12,2.7055,2.7055,2.6271,2.6662,10063144
2010-05-13,2.6742,2.69,2.588,2.5957,5803290
2010-05-14,2.5957,2.6271,2.5644,2.5644,6302710
2010-05-17,2.5721,2.6271,2.5566,2.6271,3786997
2010-05-18,2.6507,2.6662,2.6351,2.6662,3696412
2010-05-19,2.6351,2.6351,2.5407,2.5488,7806800
2010-05-20,2.5644,2.5957,2.4703,2.4782,8324417
2010-05-21,2.5017,2.533,2.4623,2.533,4362238
2010-05-24,2.5488,2.5801,2.5253,2.5407,5540634
