Date,Open,High,Low,Close,Volume
2010-01-04,29.495,30.126,29.495,30.103,1235860
2010-01-05,30.274,30.61,30.002,30.002,2979383
2010-01-06,30.071,30.165,29.823,30.15,1173976
2010-01-07,29.931,30.119,29.574,30.002,2045507
2010-01-08,30.235,30.336,29.807,30.079,1875557
2010-01-11,30.079,30.399,30.079,30.274,2440600
2010-01-12,30.204,30.266,29.923,30.04,2415204
2010-01-13,29.807,30.266,29.62,30.119,1252562
2010-01-14,30.266,30.274,29.971,30.119,4207393
2010-01-15,30.103,30.235,29.931,30.025,3723432
2010-01-18,30.103,30.274,29.985,30.274,982396
2010-01-19,30.274,31.13,30.227,31.13,6690026
2010-01-20,31.13,31.699,31.053,31.364,3257163
2010-01-21,31.364,31.566,30.982,31.48,2925861
2010-01-22,30.826,31.168,30.749,30.935,4711498
2010-01-25,30.982,31.48,30.85,31.324,6392157
2010-01-26,31.091,31.231,30.508,30.664,6518058
2010-01-27,30.664,31.045,30.585,30.664,2959808
2010-01-28,31.13,31.216,30.664,30.687,3032002
2010-01-29,30.661,30.799,30.352,30.548,2982637
2010-02-01,30.352,30.547,30.274,30.352,1818217
2010-02-02,30.547,30.547,30.204,30.352,2418111
2010-02-03,30.547,30.779,30.329,30.655,2242476
2010-02-04,30.647,30.647,29.028,29.028,2971153
2010-02-05,28.406,28.64,27.286,27.286,4405142
2010-02-08,27.628,28.28,27.371,27.371,3628754
2010-02-09,27.901,28.188,27.783,27.823,3317343
2010-02-10,28.017,28.507,27.861,28.095,3595752
2010-02-11,28.329,28.398,27.339,27.41,2083621
2010-02-12,28.009,28.382,27.861,28.25,3409748
2010-02-15,28.484,29.807,28.329,29.69,4987066
2010-02-16,29.823,30.15,29.052,29.238,2716527
2010-02-17,29.885,29.916,29.495,29.722,2216931
2010-02-18,29.224,29.488,28.647,28.842,3521990
2010-02-19,28.562,29.231,28.414,28.718,1315392
2010-02-22,29.247,29.277,28.788,28.873,822131
2010-02-23,28.794,28.95,28.275,28.275,1584083
