Date,Open,High,Low,Close,Volume
2010-01-04,3.9727,4.2358,3.9727,4.2358,17936
2010-01-05,4.2868,4.2868,4.0745,4.2868,10496
2010-01-06,4.3291,4.3716,4.0491,4.3207,42139
2010-01-07,4.1339,4.4566,4.1339,4.4055,80914
2010-01-08,4.431,4.7536,4.3291,4.7451,23825
2010-01-11,4.8469,4.9658,4.6433,4.9233,38476
2010-01-12,4.9148,4.9148,4.6093,4.8215,13701
2010-01-13,4.7111,4.8215,4.7111,4.8045,9305
2010-01-14,4.8384,4.8384,4.6601,4.6601,7247
2010-01-15,4.8299,4.8553,4.7536,4.8553,25376
2010-01-18,4.8979,4.9828,4.8553,4.9658,10464
2010-01-19,4.9828,4.9828,4.8979,4.8979,1423
2010-01-20,5.0168,5.0168,5.0083,5.0083,6442
2010-01-21,5.0083,5.0083,4.9913,4.9913,1609
2010-01-22,4.9233,4.9913,4.9233,4.9913,2108
2010-01-25,4.7111,4.8215,4.6262,4.7111,13787
2010-01-26,4.6772,4.6857,4.499,4.499,18897
2010-01-27,4.5923,4.5923,4.4225,4.5839,1606
2010-01-28,4.5669,4.6008,4.4225,4.4395,7808
2010-01-29,4.4905,4.4905,4.3802,4.4733,2750
2010-02-01,4.4905,4.499,4.3716,4.499,3077
2010-02-02,4.499,4.5328,4.4225,4.5328,39495
2010-02-03,4.5328,4.6346,4.5328,4.5669,4301
2010-02-04,4.6687,4.7536,4.6517,4.6687,22177
2010-02-05,4.5075,4.5499,4.414,4.499,11888
2010-02-08,4.499,4.6177,4.499,4.6093,4902
2010-02-09,4.6177,4.7366,4.6093,4.6687,24650
2010-02-10,4.7111,4.7536,4.7111,4.7536,2768
2010-02-11,4.7536,4.7536,4.5923,4.7111,458
2010-02-12,4.7366,4.813,4.6601,4.7706,17548
2010-02-15,4.7111,4.8215,4.7111,4.8215,1667
2010-02-16,4.8215,4.8639,4.8215,4.8639,2282
2010-02-17,4.8895,5.1695,4.8469,5.1271,33121
2010-02-18,5.1355,5.212,5.0931,5.1866,8916
2010-02-19,5.0931,5.2714,5.0931,5.2714,18610
2010-02-22,5.3478,5.4496,5.2883,5.4326,21551
2010-02-23,5.195,5.4157,5.1866,5.4157,27095
2010-02-24,5.4242,5.942,5.3308,5.8571,22539
2010-02-25,5.9844,5.993,5.8995,5.8995,3440
2010-02-26,5.8146,5.8911,5.6789,5.8911,15768
