Date,Open,High,Low,Close,Volume
2010-01-04,1.2404,1.2404,1.2049,1.2191,26655
2010-01-05,1.1978,1.2545,1.1978,1.2545,1063101
2010-01-06,1.2545,1.2615,1.2191,1.2262,72145
2010-01-07,1.2404,1.2404,1.212,1.2262,13305
2010-01-08,1.2333,1.2404,1.2191,1.2404,17771
2010-01-11,1.2404,1.2404,1.212,1.2333,34216
2010-01-12,1.2191,1.2191,1.1907,1.212,43949
2010-01-13,1.1907,1.212,1.1695,1.212,58017
2010-01-14,1.212,1.212,1.1837,1.2049,15777
2010-01-15,1.1837,1.1907,1.1695,1.1907,448379
2010-01-18,1.1837,1.1978,1.1695,1.1695,39951
2010-01-19,1.1553,1.1907,1.1553,1.1907,81771
2010-01-20,1.1907,1.212,1.1907,1.212,28645
2010-01-21,1.1766,1.2191,1.0915,1.2191,212127
2010-01-22,1.1695,1.212,1.1482,1.2049,374771
2010-01-25,1.2049,1.212,1.1907,1.2049,139161
2010-01-26,1.1978,1.1978,1.134,1.134,103536
2010-01-27,1.134,1.1623,1.134,1.1623,33508
2010-01-28,1.1553,1.1766,1.1482,1.1766,40953
2010-01-29,1.1482,1.1623,1.1198,1.1411,63598
2010-02-01,1.134,1.1482,1.134,1.1411,34177
2010-02-02,1.1623,1.1623,1.1411,1.1623,32791
2010-02-03,1.1411,1.1766,1.1411,1.1695,6801
2010-02-04,1.1482,1.1766,1.1198,1.1269,61845
2010-02-05,1.1057,1.1057,1.0489,1.056,81539
2010-02-08,1.0419,1.0489,0.9711,1.0136,85312
2010-02-09,1.0136,1.0489,0.9993,1.0419,57990
2010-02-10,1.0632,1.0632,1.0277,1.056,6885
2010-02-11,1.0632,1.0632,1.0065,1.0347,33387
2010-02-12,1.0277,1.0419,1.0065,1.0419,7352
2010-02-15,1.0277,1.0489,1.0277,1.0489,15184
2010-02-16,1.0489,1.0632,1.0206,1.0632,28002
2010-02-17,1.0632,1.0915,1.0632,1.0915,36723
2010-02-18,1.0987,1.0987,1.0774,1.0915,14224
2010-02-19,1.0915,1.0987,1.0774,1.0987,27624
2010-02-22,1.0987,1.1128,1.0774,1.1128,6773
2010-02-23,1.0845,1.1128,1.0632,1.0987,49270
2010-02-24,1.0632,1.0987,1.0632,1.0987,19663
2010-02-25,1.0915,1.0915,1.056,1.0703,26944
2010-02-26,1.0419,1.0632,1.0419,1.0632,23923
2010-03-01,1.0489,1.0774,1.0419,1.0774,51496
2010-03-02,1.0774,1.0915,1.0419,1.0915,26382
2010-03-03,1.0703,1.1057,1.0703,1.1057,33171
2010-03-04,1.0845,1.1198,1.0845,1.1198,57699
2010-03-05,1.1198,1.1198,1.1057,1.1198,146373
2010-03-08,1.1482,1.1553,1.134,1.1553,18764
2010-03-09,1.1623,1.1695,1.1269,1.1553,78079
2010-03-10,1.1695,1.1907,1.1695,1.1907,28411
2010-03-11,1.1978,1.2615,1.1978,1.2545,252284
2010-03-12,1.2615,1.2615,1.2333,1.2404,79204
2010-03-15,1.2049,1.2049,1.1837,1.2049,55591
2010-03-16,1.2049,1.2262,1.2049,1.212,87079
2010-03-17,1.212,1.2476,1.212,1.2404,76241
2010-03-18,1.2476,1.2615,1.2404,1.2404,43510
2010-03-19,1.2404,1.2476,1.2333,1.2404,52926
2010-03-22,1.2476,1.2615,1.2404,1.2545,21054
2010-03-23,1.2262,1.2615,1.2262,1.2404,11892
2010-03-24,1.2686,1.2686,1.2404,1.2404,20923
2010-03-25,1.2404,1.2545,1.2404,1.2545,10316
2010-03-26,1.2404,1.2545,1.2404,1.2545,33295
2010-03-29,1.2476,1.2545,1.2333,1.2404,13573
2010-03-31,1.2404,1.2404,1.2333,1.2404,15796
2010-04-01,1.2476,1.2757,1.2404,1.2686,49026
2010-04-06,1.2757,1.297,1.2757,1.297,32542
2010-04-07,1.29,1.3042,1.2829,1.29,66304
2010-04-08,1.2757,1.2829,1.2686,1.2829,42459
2010-04-09,1.2757,1.3042,1.2757,1.29,24356
2010-04-12,1.2829,1.3112,1.2757,1.2757,25153
2010-04-13,1.2757,1.297,1.2686,1.297,12554
2010-04-14,1.297,1.3112,1.29,1.3042,11691
2010-04-15,1.3112,1.382,1.3112,1.382,101160
2010-04-16,1.382,1.4105,1.382,1.3963,48083
2010-04-19,1.3538,1.3892,1.3538,1.3609,105159
2010-04-20,1.3609,1.4105,1.3609,1.4105,251825
2010-04-21,1.3963,1.4884,1.3963,1.4884,168990
2010-04-22,1.4814,1.5734,1.4387,1.4814,740953
2010-04-23,1.5167,1.5167,1.4387,1.4387,208798
2010-04-26,1.4387,1.5097,1.3112,1.4034,168298
2010-04-27,1.4034,1.4105,1.2686,1.2757,1157570
