Date,Open,High,Low,Close,Volume
2010-01-04,30.761,31.277,30.761,31.277,75310780
2010-01-05,31.443,31.91,31.443,31.754,90002481
2010-01-06,31.888,32.044,31.629,32.018,38297352
2010-01-07,31.855,32.116,31.673,31.986,61610775
2010-01-08,31.866,31.918,31.453,31.789,69141471
2010-01-11,31.837,32.198,31.786,31.786,64348801
2010-01-12,32.072,32.124,31.297,31.297,69200931
2010-01-13,30.942,31.122,30.609,30.84,69647203
2010-01-14,31.007,31.083,30.52,30.955,60541719
2010-01-15,31.139,31.396,30.42,30.42,105255822
2010-01-18,30.389,30.389,30.007,30.261,37411362
2010-01-19,30.101,30.888,29.847,30.786,108975124
2010-01-20,30.898,31.18,29.795,30.026,90259979
2010-01-21,30.492,30.518,28.732,29.043,158441578
2010-01-22,28.853,28.879,27.95,28.853,170771628
2010-01-25,28.544,28.982,28.44,28.44,88991247
2010-01-26,28.021,28.614,27.711,28.588,94268894
2010-01-27,28.183,28.287,27.146,27.302,148951883
2010-01-28,27.674,28.14,26.717,26.717,120392623
2010-01-29,26.872,27.511,26.54,27.128,98855967
2010-02-01,26.682,27.448,26.58,27.295,87095884
2010-02-02,27.45,28.036,27.195,27.883,90689369
2010-02-03,28.284,28.413,26.897,27.025,127308436
2010-02-04,27.516,27.803,24.801,24.879,218438046
2010-02-05,24.394,25.736,23.579,25.026,299178883
2010-02-08,25.339,25.602,24.316,25.444,140013094
2010-02-09,25.262,26.095,24.845,25.835,117911810
2010-02-10,26.578,27.02,26.291,26.76,136484982
2010-02-11,26.792,26.792,25.249,25.712,113045848
2010-02-12,25.775,26.213,25.13,25.362,105423856
2010-02-15,25.449,26.07,25.398,25.708,138695075
2010-02-16,25.376,25.835,25.12,25.682,203124540
2010-02-17,25.923,26.152,25.744,26.025,133769285
2010-02-18,26.159,26.415,25.826,26.364,179287949
2010-02-19,26.274,26.555,25.584,26.555,106833625
2010-02-22,26.41,26.613,25.775,25.876,89506342
2010-02-23,26.163,26.368,24.879,25.085,96786660
2010-02-24,24.777,24.93,23.908,24.598,117498318
2010-02-25,24.591,24.846,24.08,24.31,105468425
2010-02-26,24.496,24.901,24.116,24.901,92070222
2010-03-01,24.736,25.314,24.384,25.012,60950075
2010-03-02,24.962,25.138,24.485,25.062,71895905
2010-03-03,24.977,25.652,24.552,25.602,90884924
2010-03-04,25.585,26.135,25.31,25.86,128229035
2010-03-05,25.725,26.694,25.675,26.62,98624654
2010-03-08,26.525,26.773,26.525,26.624,69581978
2010-03-09,26.679,26.754,26.084,26.406,77396621
2010-03-10,26.495,26.893,26.37,26.893,69083900
2010-03-11,26.88,26.98,26.479,26.654,60274362
2010-03-12,26.524,26.948,26.499,26.624,52904231
2010-03-15,26.607,26.632,26.207,26.282,71887495
2010-03-16,26.135,26.433,25.887,26.384,65227539
2010-03-17,26.416,26.614,26.218,26.515,94535676
2010-03-18,26.398,26.522,25.975,26.149,85285520
