Date,Open,High,Low,Close,Volume
2015-12-17,3.5195,5.6978,3.5195,5.6978,387597
2015-12-18,5.812,5.9832,3.7288,3.7478,536826
2015-12-21,3.6146,4.0332,2.2734,2.2734,1033350
2015-12-22,2.1973,2.2829,1.4078,1.4744,674622
2015-12-23,1.4078,1.8168,1.2651,1.7598,676265
2015-12-28,1.8263,2.1402,1.8073,2.0356,403582
2015-12-29,2.0451,2.9773,1.9785,2.9773,1602119
2015-12-30,2.9773,3.101,2.3876,2.4541,852347
2016-01-04,2.359,2.5207,1.9976,1.9976,819244
2016-01-05,2.0451,2.8727,1.7122,2.3115,2729246
2016-01-07,2.2829,2.7585,2.0927,2.2259,1288523
2016-01-08,2.302,2.4351,1.6646,1.7788,1462453
2016-01-11,1.7978,1.8834,1.598,1.7312,563706
2016-01-12,1.7598,1.8073,1.2746,1.3698,1603528
2016-01-13,1.3983,1.4744,1.2937,1.3222,174448
2016-01-14,1.3602,1.3602,1.2461,1.2841,320880
2016-01-15,1.2746,1.4934,1.2556,1.3127,667307
2016-01-18,1.3222,1.3698,1.2461,1.2937,286408
2016-01-19,1.2937,1.3983,1.2461,1.3602,297660
2016-01-20,1.3507,1.541,1.2461,1.2841,1220664
2016-01-21,1.3032,1.3317,1.0463,1.0463,1559454
2016-01-22,1.0368,1.0749,0.9512,0.9607,592773
2016-01-25,0.9893,1.0654,0.9607,1.0273,505325
2016-01-26,1.0463,1.1034,0.9988,1.0178,380940
2016-01-27,1.0178,1.2651,0.9512,1.132,2110372
2016-01-28,1.151,1.208,1.1224,1.1605,550172
2016-01-29,1.1415,1.208,1.0749,1.0844,423378
2016-02-01,1.0844,1.0844,1.0083,1.0368,266497
2016-02-02,1.0178,1.0368,0.9893,0.9988,127297
2016-02-03,0.9988,1.0178,0.9702,0.9988,176114
2016-02-04,0.9988,1.0178,0.9512,0.9893,225868
2016-02-05,0.9893,1.0844,0.9607,1.0844,444527
2016-02-08,1.0939,1.1605,0.9132,1.0083,1115854
2016-02-09,0.9988,1.0178,0.9227,0.9322,399603
2016-02-10,0.9227,0.9322,0.8466,0.8466,794163
2016-02-11,0.8466,0.8941,0.742,0.7515,951049
2016-02-12,0.7515,0.78,0.6754,0.6944,780550
2016-02-15,0.7134,0.8941,0.6944,0.8466,876471
2016-02-16,0.7324,0.8561,0.6849,0.6849,1382774
2016-02-17,0.6944,0.7515,0.6373,0.6944,1107623
2016-02-18,0.7229,0.761,0.6849,0.742,904898
2016-02-19,0.761,0.8276,0.6183,0.6659,2001284
2016-02-22,0.6754,0.6849,0.6468,0.6659,253401
2016-02-23,0.6849,0.6849,0.6373,0.6563,231550
2016-02-24,0.6659,0.6659,0.5327,0.5612,1823708
2016-02-25,0.5612,0.5898,0.5041,0.5327,1063560
2016-02-26,0.5422,0.6183,0.5422,0.5802,1006604
2016-02-29,0.5707,0.6088,0.5517,0.5707,194569
2016-03-01,0.5802,0.6183,0.5517,0.5612,493355
2016-03-02,0.5517,0.5802,0.5422,0.5707,180809
2016-03-03,0.5802,0.5898,0.5327,0.5707,170190
2016-03-04,0.5707,0.5802,0.5327,0.5612,180070
2016-03-07,0.5517,0.6563,0.5327,0.6373,639841
2016-03-08,0.6468,0.6754,0.5612,0.5612,487727
2016-03-09,0.5612,0.5802,0.5232,0.5422,450020
2016-03-10,0.5327,0.5612,0.5041,0.5327,548817
2016-03-11,0.5327,0.5517,0.48512,0.49463,549612
2016-03-14,0.48512,0.5422,0.47561,0.5232,339898
2016-03-15,0.5327,0.5612,0.5232,0.5327,299294
2016-03-16,0.5422,0.5517,0.5327,0.5422,15533
2016-03-17,0.5422,0.6278,0.5232,0.5517,531900
2016-03-18,0.5517,0.5802,0.5422,0.5517,73118
2016-03-21,0.5517,0.5898,0.5517,0.5612,94084
2016-03-22,0.5707,0.5898,0.5517,0.5802,76508
2016-03-23,0.5802,0.5898,0.5707,0.5802,87476
2016-03-24,0.5993,0.6754,0.5802,0.6468,554305
2016-03-29,0.6659,0.7324,0.6563,0.7229,608837
2016-03-30,0.7515,0.7515,0.6468,0.6563,473918
2016-03-31,0.6468,0.7039,0.6183,0.6849,284218
2016-04-01,0.6944,0.6944,0.6278,0.6468,144256
2016-04-04,0.6563,0.6754,0.6278,0.6563,87898
2016-04-05,0.6373,0.6468,0.6278,0.6373,43705
2016-04-06,0.6373,0.6563,0.6183,0.6468,36196
2016-04-07,0.6468,0.6944,0.6373,0.6563,124842
2016-04-08,0.6659,0.6849,0.6468,0.6754,45266
2016-04-11,0.7134,0.8085,0.7134,0.78,795582
2016-04-12,0.799,0.8085,0.742,0.761,195205
2016-04-13,0.7515,0.8846,0.7515,0.8846,924859
2016-04-14,0.9037,0.9322,0.8466,0.8941,580792
2016-04-15,0.8941,0.8941,0.8371,0.8656,162211
2016-04-18,0.9227,1.0654,0.9132,0.9798,881816
2016-04-19,0.9798,1.0939,0.9512,1.0844,926609
2016-04-20,1.0749,1.132,1.0463,1.0463,490178
2016-04-21,1.0463,1.0654,0.9988,1.0368,181028
2016-04-22,0.9988,1.0368,0.9322,0.9988,440435
2016-04-25,1.0083,1.1795,0.9702,1.1605,732146
2016-04-26,1.17,1.189,1.0844,1.0939,483710
2016-04-27,1.0844,1.132,1.0463,1.0844,185934
2016-04-28,1.0939,1.0939,1.0368,1.0939,129643
2016-04-29,1.0749,1.0844,1.0368,1.0654,85169
2016-05-02,1.0939,1.189,1.0559,1.132,286288
2016-05-04,1.151,1.2841,1.151,1.2176,678738
2016-05-05,1.2366,1.2461,1.17,1.2176,383732
2016-05-06,1.2176,1.2937,1.2176,1.2651,189708
2016-05-09,1.3032,1.4554,1.2937,1.3983,651130
2016-05-10,1.3983,1.4744,1.3317,1.4363,344291
2016-05-11,1.4363,1.4554,1.3507,1.3507,164867
2016-05-12,1.3602,1.3793,1.2461,1.3602,224145
2016-05-13,1.3602,1.4173,1.3127,1.3602,294891
2016-05-16,1.3602,1.4078,1.3032,1.3698,143496
2016-05-17,1.208,1.3032,1.17,1.2841,547100
2016-05-18,1.2461,1.2556,1.132,1.132,348967
2016-05-19,1.1129,1.2556,1.0368,1.208,588115
2016-05-20,1.189,1.2176,1.1605,1.1985,146065
2016-05-23,1.2176,1.3317,1.2176,1.2841,225949
2016-05-24,1.3032,1.3127,1.2461,1.2651,77293
2016-05-25,1.2651,1.2841,1.1605,1.189,187713
2016-05-27,1.1985,1.2271,1.1415,1.2271,224992
2016-05-30,1.2366,1.2366,1.1415,1.1415,144313
2016-05-31,1.132,1.132,1.0463,1.0844,208867
2016-06-01,1.0749,1.2176,1.0463,1.17,556900
2016-06-02,1.1129,1.1415,0.9417,0.9607,508465
2016-06-03,0.8656,1.0368,0.8656,0.9798,333481
2016-06-06,0.9988,0.9988,0.9227,0.9322,104684
2016-06-07,0.9417,0.9512,0.9037,0.9417,74270
2016-06-08,0.9227,1.0559,0.9227,1.0083,176804
2016-06-09,1.0083,1.0273,0.9798,1.0083,38428
2016-06-10,0.9702,1.0083,0.9322,0.9607,101903
2016-06-13,0.9702,0.9988,0.6659,0.7324,643213
2016-06-14,0.7229,0.78,0.6373,0.7324,292013
2016-06-15,0.761,0.8846,0.7229,0.761,328714
2016-06-16,0.761,0.799,0.7039,0.7134,164548
2016-06-17,0.7134,0.742,0.6659,0.6944,148324
2016-06-20,0.7324,0.78,0.7039,0.761,147812
2016-06-21,0.78,0.818,0.7229,0.761,128200
2016-06-22,0.7515,0.761,0.7229,0.7515,58686
2016-06-23,0.7515,0.78,0.7039,0.7705,94057
2016-06-24,0.6659,0.7515,0.6563,0.7229,186287
2016-06-27,0.7515,0.761,0.7134,0.742,28835
2016-06-28,0.742,0.799,0.742,0.78,91675
2016-06-29,0.7515,0.78,0.742,0.7705,16370
2016-06-30,0.761,0.761,0.7229,0.7324,49658
2016-07-01,0.7324,0.761,0.7039,0.761,27803
2016-07-04,0.761,0.78,0.7324,0.7515,27197
2016-07-05,0.742,0.761,0.6659,0.7134,84467
2016-07-06,0.742,0.742,0.6944,0.7324,20159
2016-07-07,0.7324,0.7324,0.7039,0.7229,18068
2016-07-08,0.7134,0.7229,0.7039,0.7229,12362
2016-07-11,0.7229,0.7515,0.6944,0.7515,53461
2016-07-12,0.7515,0.7705,0.7324,0.761,32342
2016-07-13,0.742,0.761,0.742,0.742,13735
2016-07-14,0.742,0.8751,0.742,0.8371,262901
2016-07-15,0.8751,0.9798,0.8276,0.9417,350114
2016-07-18,0.94171,1.11293,0.92268,0.99878,496079
2016-07-19,1.03683,1.03683,0.97024,0.97024,96062
2016-07-20,0.97024,1.00829,0.9322,0.97976,151292
2016-07-21,0.99878,1.00829,0.9322,0.9322,58184
2016-07-22,0.92268,0.95122,0.90366,0.95122,36872
2016-07-25,0.95122,0.96073,0.90366,0.95122,16558
2016-07-26,0.95122,0.95122,0.87512,0.89415,71552
2016-07-27,0.86561,0.89415,0.81805,0.87512,26543
2016-07-28,0.86561,0.90366,0.72293,0.78,168525
2016-07-29,0.81,0.85,0.8,0.82,77553
2016-08-01,0.85,0.85,0.78,0.82,98401
2016-08-02,0.82,0.87,0.8,0.84,101302
2016-08-03,0.83,0.83,0.78,0.81,49861
2016-08-04,0.81,0.82,0.8,0.81,42762
2016-08-05,0.79,0.82,0.78,0.81,45537
2016-08-08,0.82,0.84,0.81,0.82,23874
2016-08-09,0.83,0.85,0.82,0.85,14942
2016-08-10,0.84,0.84,0.78,0.79,74260
2016-08-11,0.79,0.79,0.77,0.78,48860
2016-08-12,0.78,0.81,0.76,0.79,41985
2016-08-16,0.79,0.8,0.75,0.8,35485
2016-08-17,0.8,0.82,0.77,0.78,46748
2016-08-18,0.76,0.79,0.74,0.78,61916
2016-08-19,0.76,0.78,0.74,0.76,48742
2016-08-22,0.74,0.89,0.73,0.78,472807
2016-08-23,0.8,0.81,0.76,0.78,62866
2016-08-24,0.77,0.82,0.75,0.76,453001
2016-08-25,0.77,0.77,0.72,0.74,136955
2016-08-26,0.74,0.76,0.73,0.75,37621
2016-08-29,0.75,0.79,0.71,0.79,134699
2016-08-30,0.78,0.78,0.74,0.77,23182
2016-08-31,0.74,0.74,0.73,0.74,81139
2016-09-01,0.74,0.74,0.7,0.71,69111
2016-09-02,0.73,0.75,0.72,0.75,22075
2016-09-05,0.75,0.75,0.7,0.73,57613
2016-09-06,0.77,0.8,0.75,0.75,120520
2016-09-07,0.75,0.76,0.74,0.75,50221
2016-09-08,0.76,0.77,0.75,0.76,24099
2016-09-09,0.75,0.75,0.72,0.75,27245
2016-09-12,0.75,0.76,0.72,0.73,57124
2016-09-13,0.73,0.74,0.73,0.74,18370
2016-09-14,0.73,0.74,0.7,0.73,48087
2016-09-15,0.72,0.74,0.71,0.74,23469
2016-09-16,0.74,0.78,0.73,0.73,41123
2016-09-19,0.74,0.8,0.73,0.77,57188
2016-09-20,0.8,0.83,0.78,0.82,86994
2016-09-21,0.81,0.83,0.8,0.82,36793
2016-09-22,0.82,0.82,0.74,0.77,81633
2016-09-23,0.77,0.78,0.75,0.77,48457
2016-09-26,0.77,0.77,0.74,0.74,45245
2016-09-27,0.75,0.77,0.73,0.77,22828
2016-09-28,0.77,0.79,0.76,0.77,22131
2016-09-29,0.77,0.79,0.74,0.76,32864
2016-09-30,0.76,0.76,0.74,0.75,13402
2016-10-03,0.75,0.75,0.73,0.74,25372
2016-10-04,0.74,0.76,0.74,0.76,33287
2016-10-05,0.76,0.76,0.73,0.74,21676
2016-10-06,0.74,0.76,0.74,0.76,18245
2016-10-07,0.76,0.81,0.75,0.78,110943
2016-10-10,0.77,0.77,0.74,0.76,59664
2016-10-11,0.76,0.76,0.73,0.75,19410
2016-10-12,0.75,0.75,0.73,0.73,9549
2016-10-13,0.73,0.76,0.71,0.73,126279
2016-10-14,0.72,0.75,0.7,0.75,71121
2016-10-17,0.74,0.74,0.72,0.74,70355
2016-10-18,0.72,0.76,0.72,0.76,80940
2016-10-19,0.73,0.75,0.72,0.74,74896
2016-10-20,0.72,0.74,0.72,0.74,51196
2016-10-21,0.74,0.86,0.7,0.83,621591
2016-10-24,0.82,0.82,0.76,0.77,215480
2016-10-25,0.79,0.8,0.7,0.74,370169
2016-10-26,0.74,0.74,0.65,0.71,289857
2016-10-27,0.7,0.73,0.69,0.7,48824
2016-10-28,0.7,0.72,0.7,0.71,23377
2016-10-31,0.71,0.73,0.7,0.73,27906
2016-11-02,0.73,0.77,0.7,0.75,66701
2016-11-03,0.75,0.76,0.71,0.74,30015
2016-11-04,0.71,0.74,0.71,0.71,40347
2016-11-07,0.74,0.74,0.68,0.73,29072
2016-11-08,0.73,0.73,0.69,0.72,23192
2016-11-09,0.71,0.72,0.7,0.71,43022
2016-11-10,0.71,0.73,0.7,0.71,46972
2016-11-14,0.71,0.72,0.7,0.72,2632
2016-11-15,0.66,0.69,0.62,0.66,152126
2016-11-16,0.63,0.66,0.61,0.63,74207
2016-11-17,0.64,0.64,0.61,0.61,21049
2016-11-18,0.61,0.63,0.58,0.63,18762
2016-11-21,0.6,0.63,0.6,0.63,16892
2016-11-22,0.6,0.64,0.6,0.64,19041
2016-11-23,0.65,0.68,0.64,0.65,48334
2016-11-24,0.64,0.68,0.64,0.65,19059
2016-11-25,0.68,0.68,0.65,0.67,9931
2016-11-28,0.67,0.69,0.65,0.65,13933
2016-11-29,0.67,0.72,0.66,0.66,129164
2016-11-30,0.7,0.7,0.66,0.67,16680
2016-12-01,0.69,0.69,0.66,0.68,21265
2016-12-02,0.67,0.7,0.66,0.69,16486
2016-12-05,0.69,0.69,0.66,0.66,6356
2016-12-06,0.66,0.69,0.65,0.69,10107
2016-12-07,0.69,0.7,0.63,0.63,72771
2016-12-08,0.65,0.66,0.62,0.63,24759
2016-12-09,0.62,0.66,0.62,0.65,10749
2016-12-12,0.63,0.66,0.62,0.66,24271
2016-12-13,0.63,0.66,0.6,0.62,102756
2016-12-14,0.63,0.63,0.59,0.62,78916
2016-12-15,0.61,0.61,0.59,0.6,33086
