Date,Open,High,Low,Close,Volume
2010-01-04,23.861,23.919,23.627,23.89,1627
2010-01-05,23.861,23.977,23.686,23.919,2097
2010-01-06,23.919,23.919,23.919,23.919,2
2010-01-07,23.89,23.89,23.51,23.802,312
2010-01-08,23.802,23.802,23.336,23.773,1318
2010-01-11,23.791,23.791,23.336,23.371,1753
2010-01-12,23.627,23.627,23.33,23.341,748
2010-01-13,23.615,23.615,23.341,23.341,635
2010-01-14,23.51,23.51,23.341,23.341,407
2010-01-15,23.452,23.452,23.341,23.341,1780
2010-01-18,23.452,23.452,23.336,23.336,250
2010-01-19,23.394,23.429,23.336,23.429,290
2010-01-20,23.452,23.452,23.33,23.394,550
2010-01-21,23.394,23.394,22.811,23.336,2405
2010-01-22,23.336,23.336,22.752,22.758,1350
2010-01-25,22.752,22.84,22.519,22.811,1400
2010-01-26,22.811,22.811,22.46,22.811,1177
2010-01-27,22.811,22.811,22.46,22.811,1010
2010-01-28,22.811,22.811,22.49,22.49,187
2010-01-29,22.812,22.812,22.518,22.812,175
2010-02-01,22.811,22.811,22.495,22.519,140
2010-02-02,22.525,22.927,22.519,22.758,548
2010-02-03,22.752,22.811,22.495,22.525,482
2010-02-04,22.752,22.752,22.519,22.519,5742
2010-02-05,22.495,22.495,22.18,22.46,3287
2010-02-08,22.432,22.752,22.432,22.723,4443
2010-02-09,22.227,23.19,22.227,23.19,600
2010-02-10,22.752,23.277,22.321,23.277,842
2010-02-11,23.266,23.266,22.402,23.219,148
2010-02-12,23.073,23.219,22.466,23.219,768
2010-02-15,23.219,23.219,22.525,22.583,533
2010-02-16,23.201,23.201,22.636,23.19,105
2010-02-17,23.26,23.26,22.636,22.869,308
2010-02-18,22.869,22.869,22.682,22.869,325
2010-02-19,22.519,22.811,22.46,22.811,105
2010-02-22,22.869,22.869,21.929,22.752,868
2010-02-23,22.781,22.781,22.291,22.775,87
2010-02-24,22.775,22.775,21.76,22.636,1047
2010-02-25,22.169,22.198,22.169,22.169,4937
2010-02-26,22.705,22.752,22.169,22.752,930
2010-03-01,22.705,22.705,22.705,22.705,78
2010-03-02,22.175,22.752,22.169,22.752,165
2010-03-03,22.811,22.811,22.28,22.28,95
2010-03-04,22.636,22.636,22.227,22.636,610
2010-03-05,22.636,22.636,22.636,22.636,485
2010-03-08,22.664,22.752,22.664,22.752,835
2010-03-09,22.752,22.752,22.636,22.752,393
2010-03-10,22.752,22.752,22.46,22.49,938
2010-03-11,22.746,22.746,22.49,22.49,590
2010-03-12,22.519,22.752,22.519,22.723,1270
2010-03-15,22.752,22.752,22.111,22.169,5500
2010-03-16,22.49,22.519,22.07,22.186,2267
2010-03-17,22.694,22.694,22.46,22.67,1307
2010-03-18,22.46,22.735,22.46,22.735,1138
2010-03-19,22.729,22.811,22.577,22.811,2395
2010-03-22,22.869,22.869,22.577,22.577,2082
2010-03-23,22.256,22.752,22.227,22.244,1528
2010-03-24,22.052,22.694,22.052,22.315,1375
2010-03-25,22.636,22.636,22.169,22.169,1930
2010-03-26,22.186,22.682,22.186,22.46,637
2010-03-29,22.454,22.454,22.198,22.198,543
2010-03-30,22.169,22.432,22.052,22.432,3528
2010-03-31,22.422,22.422,22.176,22.176,223
2010-04-01,22.198,22.426,22.169,22.426,588
2010-04-06,22.426,22.426,22.169,22.169,1018
2010-04-07,22.175,22.256,22.029,22.256,797
2010-04-08,22.256,22.256,22.111,22.256,133
2010-04-09,22.227,22.227,22.111,22.169,5210
2010-04-12,22.169,22.169,22.052,22.169,575
2010-04-13,22.169,22.256,22.058,22.163,652
2010-04-14,22.163,22.315,22.163,22.169,447
2010-04-15,22.169,22.396,22.169,22.396,275
2010-04-16,22.169,22.169,22.169,22.169,757
2010-04-19,22.111,22.111,21.877,21.877,358
2010-04-20,21.819,21.877,21.819,21.877,353
2010-04-21,22.111,22.169,21.76,22.111,345
2010-04-22,21.994,21.994,21.731,21.994,58
2010-04-23,22.11,22.11,21.876,21.876,42
2010-04-26,22.111,22.111,21.586,21.586,1337
2010-04-27,21.591,21.702,21.527,21.586,792
2010-04-28,21.469,22.058,21.294,22.058,612
2010-04-29,22.052,22.256,21.562,22.256,645
2010-04-30,22.254,22.404,22.254,22.404,207
2010-05-04,22.385,22.385,21.801,22.344,638
2010-05-05,22.254,22.254,21.588,21.588,2145
2010-05-06,21.876,21.876,21.762,21.762,5
2010-05-07,21.12,21.408,20.418,21.294,1725
2010-05-10,21.588,21.588,21.18,21.294,2030
2010-05-11,21.294,21.294,21.06,21.072,1012
2010-05-12,21.594,21.756,21.474,21.54,602
2010-05-13,21.768,21.768,21.36,21.54,492
2010-05-14,21.54,21.54,21.126,21.3,1302
2010-05-17,21.3,21.3,21.12,21.3,110838
2010-05-18,21.12,21.12,21,21.09,558
2010-05-19,21.06,21.06,19.8,20.97,1727
2010-05-20,20.94,20.958,20.4,20.934,117
2010-05-21,20.7,20.7,19.998,20.1,1085
2010-05-24,20.1,20.22,20.04,20.22,1095
2010-05-25,20.214,20.214,19.86,20.16,277
2010-05-26,20.1,20.22,19.8,19.86,1258
2010-05-27,20.1,20.22,20.1,20.22,912
2010-05-28,20.22,20.22,20.19,20.19,780
2010-05-31,20.22,20.4,20.22,20.4,1217
2010-06-01,20.4,20.4,20.196,20.196,238
2010-06-02,20.4,20.4,19.866,19.872,855
2010-06-04,20.34,20.34,19.896,19.896,505
2010-06-07,20.4,20.4,19.806,20.34,522
2010-06-08,20.394,20.394,20.394,20.394,2
2010-06-09,20.394,20.394,19.812,19.818,907
2010-06-10,20.04,20.04,19.824,19.824,203
2010-06-11,20.04,20.04,19.818,20.04,1843
2010-06-14,19.95,20.046,19.5,20.046,1355
2010-06-15,20.046,20.046,19.5,19.5,302
2010-06-16,19.26,19.26,19.26,19.26,167
2010-06-17,19.08,19.08,19.08,19.08,83
2010-06-18,19.74,19.74,19.08,19.08,447
2010-06-21,18.636,19.5,18.6,18.6,2810
2010-06-22,18.6,18.6,17.61,18.6,1522
2010-06-23,18.6,18.6,18.6,18.6,2
2010-06-24,18.6,18.6,18.18,18.6,303
2010-06-25,18.6,18.6,17.67,18.516,1052
2010-06-28,18.06,18.9,17.766,18.9,573
2010-06-29,19.374,19.374,18.384,18.6,775
2010-06-30,18.33,18.33,18.33,18.33,55
2010-07-01,19.38,19.5,18.6,19.35,712
2010-07-02,18.63,19.404,18.63,19.14,768
2010-07-05,19.368,19.368,19.368,19.368,2
2010-07-06,19.368,19.374,19.368,19.374,342
2010-07-07,19.374,19.374,18.9,19.374,622
2010-07-08,19.374,19.374,19.374,19.374,122
2010-07-09,19.68,19.68,19.2,19.2,752
2010-07-12,19.44,19.44,19.2,19.44,965
2010-07-13,19.23,19.5,19.23,19.5,335
2010-07-14,19.68,20.1,19.332,19.332,1203
2010-07-15,19.35,19.806,19.35,19.806,823
2010-07-16,19.89,20.16,19.8,19.8,450
2010-07-19,20.106,20.4,19.92,20.1,5195
2010-07-20,20.394,20.4,20.088,20.1,572
2010-07-21,20.4,20.7,20.22,20.7,2705
2010-07-22,20.7,20.7,20.43,20.43,408
2010-07-23,20.67,20.67,20.4,20.574,870
2010-07-26,20.7,20.7,20.43,20.448,368
2010-07-27,20.7,20.7,20.574,20.574,115
2010-07-28,20.58,20.58,20.4,20.4,475
2010-07-29,20.4,20.52,20.4,20.52,243
2010-07-30,20.7,20.7,20.4,20.4,265
2010-08-02,20.16,20.694,20.16,20.4,373
2010-08-03,20.46,20.46,20.4,20.4,127
2010-08-04,20.7,20.7,20.4,20.4,260
2010-08-05,20.4,20.4,20.28,20.4,217
2010-08-06,20.58,20.67,20.43,20.46,588
2010-08-09,20.64,21.36,20.64,20.82,5118
2010-08-10,20.7,21,20.7,21,12
2010-08-11,21,21.294,21,21.294,1850
2010-08-12,21.18,21.3,21.18,21.3,525
2010-08-13,20.43,21.3,20.43,21.288,700
2010-08-16,20.43,21.24,20.43,21.24,122
2010-08-17,21.234,21.234,20.994,20.994,453
2010-08-18,20.43,20.994,20.43,20.58,268
2010-08-19,20.586,20.586,20.58,20.58,33
2010-08-20,20.994,20.994,20.4,20.7,925
2010-08-23,20.52,21.3,20.04,21.18,2623
2010-08-24,21.21,21.21,20.76,21.21,760
2010-08-25,20.7,21.3,20.7,21.3,418
2010-08-26,21.294,21.294,21.294,21.294,2
2010-08-27,20.79,21.3,20.79,21.3,400
2010-08-30,21.24,21.24,21.24,21.24,123
2010-08-31,20.88,21.21,20.88,21.21,310
2010-09-01,20.94,20.946,20.82,20.82,500
2010-09-02,21.3,21.3,20.82,21.21,157
2010-09-03,21.3,21.3,20.82,21.15,172
2010-09-06,21.294,21.294,21.15,21.294,397
2010-09-07,21.294,21.294,20.34,21.294,517
2010-09-08,20.34,21.288,20.34,21.288,167
2010-09-09,21.294,21.294,21.27,21.27,18
2010-09-10,21.294,21.294,20.346,20.448,497
2010-09-13,21.24,21.24,20.88,20.88,52
2010-09-14,21,21,20.46,20.46,52
2010-09-15,20.874,20.874,20.454,20.454,42
2010-09-16,21,21,20.166,20.73,480
2010-09-17,20.994,20.994,20.994,20.994,25
2010-09-20,20.43,20.994,20.43,20.994,83
2010-09-21,20.994,20.994,20.88,20.88,277
2010-09-22,20.82,20.82,20.76,20.76,8
2010-09-23,20.76,20.76,20.76,20.76,2
2010-09-24,20.76,20.76,20.76,20.76,2
2010-09-27,20.73,20.886,20.19,20.886,242
2010-09-28,20.94,20.94,20.19,20.94,173
2010-09-29,20.994,22.788,20.994,22.23,25518
2010-09-30,22.206,22.47,22.08,22.14,2788
2010-10-01,22.14,22.14,22.14,22.14,2
2010-10-04,21.6,22.2,21.6,22.2,3288
2010-10-05,22.2,22.5,22.2,22.488,697
2010-10-06,22.2,22.47,22.2,22.2,175
2010-10-07,22.5,22.5,22.2,22.2,28
2010-10-08,21.396,22.2,21.396,22.2,228
2010-10-11,22.194,22.194,21.396,21.84,548
2010-10-12,21.798,22.188,21.768,21.84,473
2010-10-13,21.78,22.074,21.78,22.074,303
2010-10-14,22.074,22.074,21.714,21.714,410
2010-10-15,21.75,21.75,21.6,21.6,218
2010-10-18,22.05,22.074,21.156,21.21,257
2010-10-19,21.15,21.15,21.12,21.126,85
2010-10-20,20.1,20.922,20.1,20.922,277
2010-10-21,22.008,22.008,21.12,21.12,98
2010-10-22,21.984,21.984,20.94,21.54,143
2010-10-25,21.54,21.96,21.54,21.96,68
2010-10-26,22.05,22.05,21.6,22.014,102
2010-10-27,22.002,22.002,22.002,22.002,2
2010-10-28,21.978,21.978,21.978,21.978,2
2010-10-29,21.96,21.96,21.96,21.96,335
2010-11-02,21.96,21.96,21.96,21.96,2
2010-11-03,21.216,21.216,20.94,20.94,367
2010-11-04,21.948,21.948,21.006,21.84,168
2010-11-05,21.84,21.96,21.24,21.96,898
2010-11-08,21.96,21.96,21.312,21.6,255
2010-11-09,21.978,21.978,21.81,21.828,308
2010-11-10,21.984,22.134,21.72,21.72,433
2010-11-12,22.11,22.11,21.222,22.086,545
2010-11-15,21.216,22.086,21.216,22.068,688
2010-11-16,21.222,21.816,20.76,21.534,278
2010-11-17,21.51,21.6,21,21.492,857
2010-11-18,21.858,21.858,20.82,21.66,883
2010-11-19,21.66,21.66,20.61,20.796,1633
2010-11-22,21.768,21.768,20.4,21.234,493
2010-11-23,21.384,21.384,20.304,21,55
2010-11-24,21.36,21.36,21.36,21.36,2
2010-11-25,21.36,21.36,21,21.024,263
2010-11-26,21.012,21.012,20.4,20.4,43
2010-11-29,20.7,20.7,20.16,20.16,205
2010-11-30,20.16,20.7,20.16,20.16,288
2010-12-01,20.7,20.7,20.16,20.16,35
2010-12-02,20.7,20.7,20.7,20.7,2
2010-12-03,20.7,20.7,20.7,20.7,2
2010-12-06,20.7,20.7,20.7,20.7,2
2010-12-07,20.7,20.7,20.7,20.7,38
2010-12-08,20.682,20.682,20.4,20.4,77
2010-12-09,20.868,20.868,20.4,20.724,257
2010-12-10,20.724,20.724,20.244,20.688,163
2010-12-13,20.682,20.682,20.25,20.25,77
2010-12-14,20.688,20.688,20.196,20.196,183
2010-12-15,20.682,20.682,20.196,20.196,40
2010-12-16,20.196,20.4,20.178,20.28,320
2010-12-17,20.07,20.07,20.07,20.07,150
2010-12-20,20.268,20.268,19.86,19.86,808
2010-12-21,20.25,20.274,19.35,20.208,783
2010-12-22,20.232,20.274,20.232,20.274,140
2010-12-23,20.274,20.34,19.638,19.68,1718
2010-12-27,19.2,19.8,19.08,19.662,823
2010-12-28,19.662,19.662,18.84,18.84,435
2010-12-29,19.968,19.968,19.968,19.968,17
2010-12-30,19.02,19.914,19.02,19.914,405
2010-12-31,19.914,19.914,19.2,19.86,70
2011-01-03,19.854,19.854,19.08,19.848,192
2011-01-04,19.842,19.842,19.842,19.842,85
2011-01-05,19.842,19.86,19.152,19.8,1342
2011-01-07,19.8,19.8,18.936,19.71,530
2011-01-10,19.71,19.71,18.3,18.48,3165
2011-01-11,19.14,19.14,19.14,19.14,2
2011-01-12,19.08,19.08,18.96,18.96,222
2011-01-13,18.96,18.96,18.276,18.276,1360
2011-01-14,18.954,18.954,18.186,18.6,1152
2011-01-17,18.6,18.948,18.42,18.942,498
2011-01-18,18.426,18.96,18.426,18.942,85
2011-01-19,18.948,18.948,18.156,18.75,367
2011-01-20,18.924,18.924,18.714,18.714,17
2011-01-21,18.936,18.936,18.708,18.708,93
2011-01-24,18.72,18.72,18.72,18.72,50
2011-01-25,18.33,18.33,18.06,18.18,302
2011-01-26,18.18,18.948,18.06,18.948,357
2011-01-27,18.936,18.936,18.6,18.72,242
2011-01-28,18.936,18.936,18.936,18.936,10
2011-01-31,18.936,18.936,18.93,18.93,73
2011-02-01,19.05,19.05,19.05,19.05,1500
2011-02-02,19.044,19.044,19.044,19.044,2
