Date,Open,High,Low,Close,Volume
2010-01-05,0.55,0.66,0.55,0.66,1050
2010-01-06,0.72,0.72,0.72,0.72,100
2010-01-07,0.72,0.76,0.72,0.76,16400
2010-01-08,0.76,0.78,0.76,0.78,500
2010-01-11,0.78,0.78,0.78,0.78,450
2010-01-12,0.78,0.9,0.78,0.82,36361
2010-01-13,0.8,0.85,0.75,0.81,4781
2010-01-14,0.76,0.8,0.75,0.8,9760
2010-01-15,0.74,0.86,0.73,0.81,15861
2010-01-18,0.81,0.84,0.81,0.84,6000
2010-01-19,0.77,0.86,0.77,0.86,1111
2010-01-20,0.75,0.85,0.74,0.85,18172
2010-01-28,0.73,0.83,0.72,0.83,9151
2010-02-03,0.77,0.77,0.72,0.72,5800
2010-02-04,0.78,0.86,0.78,0.86,8115
2010-02-05,0.82,0.85,0.81,0.85,4586
2010-02-08,0.82,0.82,0.75,0.75,7688
2010-02-09,0.76,0.82,0.75,0.82,26501
2010-02-11,0.8,0.8,0.76,0.76,6000
2010-02-12,0.79,0.79,0.79,0.79,300
2010-02-15,0.76,0.76,0.7,0.7,31132
2010-02-16,0.65,0.72,0.64,0.66,14296
2010-02-17,0.63,0.66,0.62,0.66,7171
2010-02-18,0.62,0.62,0.6,0.61,18600
2010-02-19,0.63,0.63,0.62,0.62,3000
2010-02-23,0.61,0.61,0.58,0.61,2696
2010-02-25,0.61,0.61,0.56,0.56,9758
2010-02-26,0.59,0.59,0.55,0.55,39087
2010-03-01,0.55,0.55,0.54,0.54,700
2010-03-02,0.53,0.59,0.53,0.59,25603
2010-03-03,0.59,0.59,0.59,0.59,6731
2010-03-04,0.6,0.6,0.6,0.6,2000
2010-03-05,0.6,0.6,0.6,0.6,3261
2010-03-08,0.6,0.6,0.58,0.58,7790
2010-03-09,0.55,0.55,0.55,0.55,7969
2010-03-10,0.58,0.58,0.56,0.56,3988
2010-03-11,0.56,0.56,0.56,0.56,1000
2010-03-12,0.58,0.62,0.58,0.62,15668
2010-03-15,0.61,0.62,0.59,0.62,32300
2010-03-16,0.59,0.59,0.59,0.59,2000
2010-03-17,0.62,0.64,0.62,0.64,16990
2010-03-19,0.64,0.64,0.58,0.61,20047
2010-03-22,0.62,0.64,0.62,0.63,7469
2010-03-23,0.63,0.64,0.63,0.64,6541
2010-03-25,0.61,0.62,0.6,0.62,13877
2010-03-26,0.6,0.61,0.6,0.6,7071
2010-03-29,0.62,0.66,0.62,0.66,35280
2010-03-30,0.69,0.7,0.66,0.7,64719
2010-03-31,0.73,0.73,0.73,0.73,4290
2010-04-01,0.73,0.73,0.73,0.73,5401
2010-04-06,0.64,0.71,0.64,0.71,8738
2010-04-07,0.72,0.72,0.72,0.72,546
2010-04-09,0.71,0.72,0.71,0.72,2000
2010-04-13,0.69,0.69,0.69,0.69,30
2010-04-14,0.65,0.65,0.63,0.63,8300
2010-04-15,0.64,0.64,0.63,0.63,9694
2010-04-19,0.62,0.62,0.62,0.62,1200
2010-04-20,0.63,0.63,0.63,0.63,2783
2010-04-21,0.63,0.64,0.59,0.61,41833
2010-04-22,0.61,0.65,0.61,0.62,12474
2010-04-23,0.64,0.65,0.64,0.65,2178
2010-04-26,0.64,0.65,0.64,0.65,2570
2010-04-27,0.69,0.69,0.69,0.69,2900
2010-04-29,0.62,0.62,0.6,0.6,5900
2010-04-30,0.63,0.64,0.63,0.64,3833
2010-05-05,0.62,0.63,0.6,0.6,5500
2010-05-06,0.61,0.63,0.61,0.63,1500
2010-05-07,0.6,0.6,0.6,0.6,3000
2010-05-10,0.62,0.65,0.59,0.6,51362
2010-05-11,0.61,0.61,0.56,0.56,22653
2010-05-12,0.57,0.57,0.54,0.54,37016
2010-05-13,0.57,0.57,0.55,0.55,36358
2010-05-14,0.55,0.55,0.52,0.54,58646
2010-05-17,0.54,0.55,0.54,0.54,5100
2010-05-18,0.55,0.55,0.55,0.55,10300
2010-05-20,0.54,0.54,0.52,0.52,3585
2010-05-21,0.58,0.58,0.57,0.57,1100
2010-05-24,0.57,0.58,0.57,0.58,5000
2010-05-25,0.57,0.57,0.53,0.55,26450
2010-05-26,0.56,0.59,0.56,0.56,27303
2010-05-27,0.54,0.56,0.54,0.55,20753
2010-05-28,0.55,0.58,0.54,0.54,8240
2010-05-31,0.54,0.55,0.48,0.48,22500
2010-06-01,0.48,0.5,0.48,0.48,15000
2010-06-02,0.51,0.56,0.51,0.56,30028
2010-06-04,0.56,0.58,0.54,0.55,39642
2010-06-07,0.56,0.63,0.56,0.63,278408
2010-06-08,0.62,0.63,0.6,0.62,57136
2010-06-09,0.6,0.6,0.58,0.58,39500
2010-06-10,0.57,0.57,0.55,0.57,177079
2010-06-11,0.57,0.59,0.57,0.59,40740
2010-06-14,0.59,0.6,0.59,0.6,30770
2010-06-16,0.59,0.59,0.59,0.59,13000
2010-06-17,0.59,0.59,0.56,0.56,4480
2010-06-18,0.56,0.56,0.56,0.56,1470
2010-06-21,0.57,0.58,0.55,0.58,16600
2010-06-22,0.58,0.58,0.56,0.56,18616
2010-06-23,0.57,0.57,0.56,0.56,19500
2010-06-24,0.55,0.56,0.5,0.56,15500
2010-06-28,0.55,0.55,0.5,0.54,33950
2010-06-29,0.52,0.54,0.52,0.54,26050
2010-06-30,0.53,0.54,0.53,0.54,3500
2010-07-01,0.52,0.54,0.51,0.54,21150
2010-07-02,0.54,0.55,0.54,0.55,52900
2010-07-05,0.53,0.57,0.52,0.54,31648
2010-07-06,0.53,0.55,0.53,0.54,31000
2010-07-07,0.53,0.53,0.53,0.53,93530
2010-07-08,0.53,0.53,0.52,0.53,17821
2010-07-09,0.53,0.53,0.52,0.52,9910
2010-07-12,0.52,0.53,0.52,0.53,49600
2010-07-13,0.52,0.52,0.51,0.51,20000
2010-07-14,0.52,0.54,0.52,0.54,22760
2010-07-15,0.55,0.57,0.54,0.57,24391
2010-07-16,0.57,0.61,0.57,0.6,38384
2010-07-19,0.62,0.62,0.62,0.62,500
2010-07-20,0.59,0.6,0.59,0.6,11000
2010-07-21,0.57,0.59,0.55,0.59,14500
2010-07-22,0.54,0.58,0.54,0.54,10251
2010-07-23,0.54,0.55,0.52,0.55,24626
2010-07-26,0.56,0.57,0.56,0.57,3199
2010-07-28,0.57,0.58,0.56,0.57,17533
2010-07-29,0.58,0.6,0.56,0.59,5021
2010-07-30,0.6,0.6,0.6,0.6,100
2010-08-03,0.56,0.58,0.56,0.56,40488
2010-08-04,0.55,0.55,0.55,0.55,5000
2010-08-05,0.54,0.57,0.54,0.57,1211
2010-08-06,0.55,0.55,0.54,0.55,45671
2010-08-09,0.56,0.56,0.54,0.54,22320
2010-08-10,0.54,0.54,0.52,0.52,30865
2010-08-11,0.51,0.51,0.5,0.5,44983
2010-08-12,0.49,0.49,0.47,0.47,20186
2010-08-13,0.48,0.48,0.47,0.47,14112
2010-08-16,0.47,0.47,0.45,0.45,92540
2010-08-17,0.46,0.46,0.43,0.46,147200
2010-08-18,0.45,0.46,0.44,0.45,173101
2010-08-19,0.46,0.47,0.45,0.46,51865
2010-08-20,0.47,0.47,0.41,0.44,112933
2010-08-23,0.46,0.52,0.46,0.52,176701
2010-08-24,0.52,0.52,0.49,0.49,11200
2010-08-25,0.48,0.5,0.47,0.48,15426
2010-08-26,0.48,0.48,0.46,0.46,15031
2010-08-27,0.45,0.45,0.43,0.44,234904
2010-08-30,0.44,0.46,0.43,0.45,66346
2010-08-31,0.46,0.47,0.44,0.45,34520
2010-09-01,0.45,0.5,0.45,0.48,155030
2010-09-02,0.48,0.49,0.46,0.46,58216
2010-09-03,0.47,0.48,0.47,0.48,5300
2010-09-06,0.48,0.49,0.48,0.48,7300
2010-09-07,0.49,0.52,0.49,0.51,34900
2010-09-08,0.52,0.52,0.48,0.51,20160
2010-09-09,0.51,0.51,0.49,0.49,15006
2010-09-10,0.51,0.51,0.5,0.5,8850
2010-09-13,0.51,0.53,0.5,0.51,47501
2010-09-14,0.5,0.51,0.5,0.51,27456
2010-09-15,0.5,0.53,0.5,0.53,10950
2010-09-16,0.53,0.54,0.52,0.52,24081
2010-09-17,0.54,0.54,0.52,0.54,29200
2010-09-20,0.55,0.55,0.51,0.51,13717
