Date,Open,High,Low,Close,Volume
2012-06-11,0.39,0.39,0.29,0.3,304634
2012-06-12,0.32,0.32,0.2,0.2,250051
2012-06-13,0.2,0.24,0.2,0.21,34678
2012-06-14,0.23,0.28,0.23,0.25,55620
2012-06-15,0.29,0.29,0.24,0.25,61202
2012-06-18,0.24,0.26,0.23,0.23,7249
2012-06-19,0.25,0.25,0.24,0.25,16143
2012-06-20,0.25,0.26,0.25,0.25,2200
2012-06-21,0.25,0.26,0.25,0.26,491
2012-06-22,0.26,0.26,0.26,0.26,185
2012-06-25,0.26,0.26,0.26,0.26,161
2012-06-26,0.25,0.25,0.25,0.25,1000
2012-06-27,0.24,0.24,0.23,0.24,18110
2012-06-28,0.25,0.25,0.25,0.25,101176
2012-06-29,0.25,0.25,0.25,0.25,600
2012-07-02,0.25,0.26,0.24,0.24,5300
2012-07-03,0.24,0.24,0.24,0.24,12357
2012-07-04,0.24,0.24,0.24,0.24,800
2012-07-05,0.24,0.24,0.24,0.24,1000
2012-07-06,0.25,0.25,0.23,0.23,3550
2012-07-09,0.23,0.23,0.23,0.23,13688
2012-07-10,0.22,0.23,0.22,0.23,9305
2012-07-11,0.23,0.24,0.23,0.24,320
2012-07-12,0.24,0.24,0.24,0.24,3001
2012-07-17,0.23,0.23,0.23,0.23,4958
2012-07-18,0.23,0.23,0.21,0.23,161420
2012-07-25,0.23,0.24,0.23,0.24,2524
2012-07-26,0.23,0.23,0.23,0.23,5738
2012-07-31,0.23,0.23,0.23,0.23,6168
2012-08-03,0.23,0.23,0.22,0.23,10100
2012-08-07,0.23,0.23,0.22,0.22,2000
2012-08-08,0.21,0.21,0.21,0.21,15000
2012-08-09,0.21,0.21,0.21,0.21,2000
2012-08-10,0.2,0.22,0.19,0.2,10502
2012-08-13,0.2,0.24,0.2,0.24,12662
2012-08-14,0.23,0.28,0.23,0.28,17592
2012-08-16,0.29,0.3,0.29,0.3,19883
2012-08-17,0.3,0.31,0.3,0.31,2634
2012-08-20,0.31,0.34,0.31,0.34,52242
2012-08-21,0.34,0.34,0.32,0.32,600
2012-08-22,0.32,0.32,0.32,0.32,2176
2012-08-23,0.32,0.33,0.32,0.33,2100
2012-08-24,0.34,0.34,0.3,0.32,4100
2012-08-27,0.32,0.32,0.32,0.32,7743
2012-08-28,0.32,0.33,0.32,0.33,1876
2012-08-29,0.33,0.33,0.33,0.33,3990
2012-08-30,0.34,0.34,0.33,0.34,8390
2012-08-31,0.34,0.37,0.34,0.37,29382
2012-09-03,0.37,0.41,0.37,0.41,25803
2012-09-04,0.41,0.41,0.41,0.41,200
2012-09-05,0.41,0.41,0.37,0.37,1100
2012-09-06,0.37,0.4,0.37,0.4,1533
2012-09-07,0.4,0.42,0.4,0.41,20437
