Date,Open,High,Low,Close,Volume
2010-01-04,4.8593,4.8593,4.8593,4.8593,41
2010-01-11,4.8516,4.8516,4.8516,4.8516,199
2010-02-16,4.8516,4.8516,4.8516,4.8516,78
2010-02-17,4.7758,4.7758,4.7758,4.7758,78
2010-03-01,6.0647,6.0647,6.0647,6.0647,3
2010-03-08,4.8516,6.0266,4.5483,6.0266,366
2010-03-17,4.5483,4.5483,4.5483,4.5483,131
2010-03-18,4.6243,4.6243,4.6243,4.6243,131
2010-03-25,5.2687,5.2687,5.2687,5.2687,2
2010-04-06,3.7904,5.2687,3.7904,5.2687,2
2010-04-30,4.5483,4.5483,4.5483,4.5483,47
2010-05-04,5.2687,5.2687,4.6243,4.6243,139
2010-05-12,5.6856,5.6856,5.6856,5.6856,131
2010-05-13,5.6856,5.6856,4.6243,5.6856,132
2010-05-27,5.6856,6.0647,5.6856,6.0647,293
2010-05-28,5.6856,5.6856,5.6856,5.6856,131
2010-06-07,4.5483,4.5483,4.5483,4.5483,151
2010-06-09,5.6856,5.6856,5.6856,5.6856,132
2010-06-25,5.6856,5.6856,5.6856,5.6856,131
2010-07-16,4.5561,4.5561,4.5561,4.5561,36
2010-07-22,5.3064,5.3064,5.3064,5.3064,155
2010-08-11,5.6856,5.6856,5.6856,5.6856,78
2010-08-20,4.7,4.7,4.7,4.7,78
2010-09-03,4.5561,4.5561,3.7904,3.7904,1221
2010-09-07,4.1693,4.1693,4.1693,4.1693,131
2010-09-16,5.6856,5.6856,5.6856,5.6856,5
2010-10-20,5.6856,5.6856,5.6856,5.6856,138
2010-11-22,4.5483,4.5483,4.5483,4.5483,93
2010-11-23,6.0647,6.0647,6.0647,6.0647,5
2010-11-24,5.3064,5.3064,5.3064,5.3064,1093
2010-11-30,4.5483,4.5483,4.5483,4.5483,23
2010-12-02,5.3064,5.3064,5.3064,5.3064,125
2010-12-13,5.6856,5.6856,5.6856,5.6856,131
2010-12-14,5.6856,5.6856,5.6856,5.6856,131
2010-12-15,6.0647,7.9596,6.0647,7.9596,565
2010-12-17,6.8226,6.8226,6.8226,6.8226,184
2010-12-22,6.8226,6.8226,6.5953,6.8226,2393
2010-12-23,6.8226,6.8226,6.8226,6.8226,131
2010-12-28,6.0647,6.7468,6.0647,6.7468,903
2011-01-10,7.9596,7.9596,7.9596,7.9596,73
2011-01-13,6.0647,6.0647,6.0647,6.0647,792
2011-01-25,6.0647,6.0647,6.0647,6.0647,459
2011-02-11,5.6856,5.6856,5.6856,5.6856,661
2011-02-15,5.6856,5.6856,5.6856,5.6856,732
2011-02-16,5.6856,5.6856,5.6856,5.6856,61
2011-02-17,5.693,5.693,5.6856,5.6856,263
2011-03-14,5.7007,5.7007,5.7007,5.7007,221
2011-03-15,5.7007,5.7007,5.6856,5.6856,360
2011-03-28,5.6856,5.6856,5.6856,5.6856,132
2011-04-18,6.0647,7.2016,6.0647,7.2016,264
2011-05-05,7.9596,7.9596,7.9596,7.9596,188
2011-05-20,5.6856,5.6856,5.3064,5.3064,9
2011-05-25,7.2016,7.2016,7.2016,7.2016,2
2011-05-27,7.2016,7.9596,7.2016,7.9596,242
2011-05-30,5.6856,5.6856,5.3064,5.3064,263
2011-05-31,7.9596,7.9596,7.9596,7.9596,1
2011-06-03,5.3597,5.3597,5.3597,5.3597,58
2011-06-06,6.0647,6.0647,6.0647,6.0647,1
2011-06-07,5.3597,5.3597,5.3597,5.3597,184
2011-06-10,6.0647,7.7325,6.0647,7.5732,661
2011-06-17,7.5428,15.123,6.8226,6.8226,2328
2011-06-20,6.8984,6.8984,6.8984,6.8984,131
2011-06-21,9.0982,9.0982,9.0982,9.0982,131
2011-06-24,8.3392,8.3392,8.3392,8.3392,89
2011-07-08,8.3392,8.3392,8.3392,8.3392,11
2011-07-12,8.3392,8.3392,8.3392,8.3392,19
2011-07-14,8.3392,8.3392,8.3392,8.3392,45
2011-07-15,8.3392,8.3392,8.3392,8.3392,68
2011-07-18,8.3392,8.3392,6.0723,6.0723,2478
2011-07-26,7.5048,7.5048,7.5048,7.5048,11
2011-07-27,7.5048,8.9229,7.5048,8.9229,210
2011-07-28,9.0982,9.0982,9.0982,9.0982,5
2011-08-01,6.8226,6.8226,6.8226,6.8226,199
2011-08-02,7.5048,7.5048,6.8226,6.8226,1294
2011-08-03,6.4438,6.4438,6.216,6.216,396
2011-08-04,5.693,6.0647,5.693,6.0647,42
2011-08-05,5.3064,6.0647,4.9729,6.0647,585
2011-08-09,4.5561,5.6779,4.5561,5.6779,104
2011-08-10,4.5561,5.3064,4.5561,5.3064,30
2011-08-18,4.594,5.6248,4.5483,5.6248,200
2011-08-19,5.4581,5.6856,5.4581,5.6856,989
2011-08-25,4.9274,5.3064,4.9274,5.3064,1255
2011-08-30,5.3064,5.3064,4.9274,4.9274,436
2011-08-31,5.3064,5.3064,5.3064,5.3064,1
2011-09-01,5.3064,5.3064,5.3064,5.3064,1
2011-09-05,5.3064,5.3064,5.3064,5.3064,1
