,symbol,ticker
0,TAURONPE,TPE
1,PRESENT24-NC,P24
2,EXAMOBILE-NC,EXA
3,EDINVEST,EDI
4,KRVITAMIN,KVT
5,JWA-NC,JWA
6,VIVID,VVD
7,BORUTA-NC,BRU
8,UHYECA-NC,ECA
9,RONSON,RON
10,SANTANDER,SAN
11,GREMPCO-NC,GRM
12,BITEVIL-NC,BIT
13,ADVERTIGO-NC,AVE
14,HEMP,HMP
15,NGGAMES,NGG
16,4MASS,4MS
17,ELEMENTAL,EMT
18,WODKAN-NC,WOD
19,BIZTECH-NC,BTK
20,EFENERGII-NC,EFE
21,PGE,PGE
22,ULMA,ULM
23,MBANK,MBK
24,STARHEDGE,SHG
25,AKCEPTFIN-NC,AFC
26,RAINBOW,RBW
27,SOFTBLUE-NC,SBE
28,GETIN,GTN
29,PEKAO,PEO
30,PKOBP,PKO
31,ARTIFEX,ART
32,AQUABB-NC,AQU
33,MAKOLAB-NC,MLB
34,DEKTRA-NC,DKR
35,PEPEES,PPS
36,APSENERGY-NC,APS
37,PGNIG,PGN
38,MLSYSTEM,MLS
39,CIGAMES,CIG
40,LOTOS,LTS
41,ORANGEPL,OPL
42,PLAY,PLY
43,WIG20,WIG20
