,date_time,symbol,ticker,site,num_of_share,stock_price,value
0,2020-07-08 09:15:06,APSENERGY-NC,APSENERGY-NC,K,300,2.67,801.0
1,2020-07-08 09:10:54,JWA-NC,JWA-NC,S,1000,1.06,1060.0
2,2020-07-07 16:40:17,EFENERGII-NC,EFENERGII-NC,S,1000,0.4,400.0
3,2020-07-07 09:00:00,JWA-NC,JWA-NC,K,1000,0.85,850.0
4,2020-07-06 14:21:00,NGGAMES,NGGAMES,S,3000,0.302,906.0
5,2020-07-03 11:27:57,GREMPCO-NC,GREMPCO-NC,S,2000,0.35,700.0
6,2020-06-25 09:04:23,4MASS,4MASS,S,500,0.222,111.0
7,2020-06-24 14:05:29,4MASS,4MASS,S,500,0.2,100.0
8,2020-06-23 13:25:29,LOTOS,LOTOS,K,13,60.22,782.86
9,2020-06-23 13:23:29,ORANGEPL,ORANGEPL,K,120,6.305,756.6
10,2020-06-23 13:19:51,PLAY,PLAY,K,27,29.54,797.58
11,2020-06-19 09:38:03,TAURONPE,TAURONPE,S,500,2.6,1300.0
12,2020-06-19 09:37:35,AKCEPTFIN-NC,AKCEPTFIN-NC,S,500,0.46,230.0
13,2020-06-18 11:30:50,TAURONPE,TAURONPE,S,200,2.3,460.0
14,2020-06-17 15:19:31,PRESENT24-NC,PRESENT24-NC,K,5200,0.146,759.2
15,2020-06-16 09:18:25,EXAMOBILE-NC,EXAMOBILE-NC,S,300,3.6,1080.0
16,2020-06-15 16:35:58,EDINVEST,EDINVEST,S,100,2.4,240.0
17,2020-06-15 13:59:18,KRVITAMIN,KRVITAMIN,S,150,4.7,705.0
18,2020-06-15 10:58:25,JWA-NC,JWA-NC,S,200,0.7,140.0
19,2020-06-10 15:23:46,VIVID,VIVID,S,100,1.86,186.0
20,2020-06-09 09:47:17,BORUTA-NC,BORUTA-NC,S,1995,0.298,594.51
21,2020-06-09 09:39:47,BORUTA-NC,BORUTA-NC,S,5,0.298,1.49
22,2020-06-08 15:41:56,JWA-NC,JWA-NC,S,800,0.32,256.0
23,2020-06-08 15:41:04,JWA-NC,JWA-NC,S,1000,0.32,320.0
24,2020-06-04 09:01:44,UHYECA-NC,UHYECA-NC,S,200,0.6,120.0
25,2020-06-02 09:00:43,RONSON,RONSON,S,900,0.95,855.0
26,2020-05-28 16:24:16,JWA-NC,JWA-NC,K,1900,0.22,418.0
27,2020-05-28 13:48:40,BORUTA-NC,BORUTA-NC,K,2000,0.255,510.0
28,2020-05-26 10:06:03,BORUTA-NC,BORUTA-NC,K,2000,0.278,556.0
29,2020-05-25 16:20:13,SANTANDER,SANTANDER,K,100,8.72,872.0
30,2020-05-25 15:44:46,GREMPCO-NC,GREMPCO-NC,K,2500,0.266,665.0
31,2020-05-25 14:42:36,BITEVIL-NC,BITEVIL-NC,S,245,1.47,360.15
32,2020-05-25 14:02:29,JWA-NC,JWA-NC,S,900,0.318,286.2
33,2020-05-25 13:40:11,ADVERTIGO-NC,ADVERTIGO-NC,S,3000,0.26,780.0
34,2020-05-25 11:22:07,JWA-NC,JWA-NC,S,1000,0.304,304.0
35,2020-05-22 16:35:46,RONSON,RONSON,K,1000,0.872,872.0
36,2020-05-22 15:51:46,HEMP,HEMP,S,990,0.705,697.95
37,2020-05-21 15:53:15,NGGAMES,NGGAMES,K,2000,0.265,530.0
38,2020-05-21 15:53:06,NGGAMES,NGGAMES,K,1000,0.265,265.0
39,2020-05-21 14:19:44,4MASS,4MASS,S,5000,0.1385,692.5
40,2020-05-21 11:40:27,4MASS,4MASS,K,4000,0.1345,538.0
41,2020-05-20 16:49:52,HEMP,HEMP,S,10,0.68,6.8
42,2020-05-20 14:24:32,BITEVIL-NC,BITEVIL-NC,S,240,1.21,290.4
43,2020-05-20 14:17:19,BITEVIL-NC,BITEVIL-NC,S,10,1.21,12.1
44,2020-05-20 11:09:55,HEMP,HEMP,K,1000,0.66,660.0
45,2020-05-19 10:56:39,ELEMENTAL,ELEMENTAL,S,499,1.4080000000000001,702.59
46,2020-05-19 10:54:51,ELEMENTAL,ELEMENTAL,S,1,1.41,1.41
47,2020-05-15 16:34:07,WODKAN-NC,WODKAN-NC,K,10,10.0,100.0
48,2020-05-15 13:29:57,JWA-NC,JWA-NC,K,2000,0.23199999999999998,464.0
49,2020-05-15 11:51:33,BIZTECH-NC,BIZTECH-NC,K,2000,0.183,366.0
50,2020-05-15 11:10:29,EFENERGII-NC,EFENERGII-NC,K,2000,0.318,636.0
51,2020-05-13 16:47:09,BORUTA-NC,BORUTA-NC,S,6191,0.33,2043.03
52,2020-05-13 16:47:09,BORUTA-NC,BORUTA-NC,S,3809,0.33,1256.97
53,2020-05-13 15:30:11,BORUTA-NC,BORUTA-NC,S,92,0.33,30.36
54,2020-05-13 15:08:07,BORUTA-NC,BORUTA-NC,S,4500,0.33,1485.0
55,2020-05-13 14:11:08,BORUTA-NC,BORUTA-NC,S,5408,0.33,1784.64
56,2020-05-13 12:50:17,BORUTA-NC,BORUTA-NC,K,20000,0.336,6720.0
57,2020-05-13 09:49:26,PGE,PGE,S,200,4.08,816.0
58,2020-05-12 10:19:24,HEMP,HEMP,K,500,0.78,390.0
59,2020-05-12 10:05:03,ULMA,ULMA,K,10,51.0,510.0
60,2020-05-12 10:00:26,MBANK,MBANK,K,5,184.4,922.0
61,2020-05-12 09:54:05,MBANK,MBANK,K,5,185.1,925.5
62,2020-05-12 09:26:13,NGGAMES,NGGAMES,S,2000,0.26,520.0
63,2020-05-12 09:00:00,STARHEDGE,STARHEDGE,S,500,0.475,237.5
64,2020-05-11 16:19:48,HEMP,HEMP,K,200,0.815,163.0
65,2020-05-11 15:08:37,AKCEPTFIN-NC,AKCEPTFIN-NC,K,500,0.37799999999999995,189.0
